sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno593;671166.78;4924673.77;0;24223.48;49816.5;44.453353;11.15034;43.8;0.43;9.8;3.78;0.14;2.7;17.99;0.7;1.53;0.11;19.02;69;112;8;64;62;86;11;69;352;18;146;6;428;21;52;25;27;8;3;381
Reno594;677290.16;4926837.03;0;30346.86;51979.76;44.471339;11.227987;46.3;0.47;11.17;4.08;0.1;2.95;15.25;0.71;1.71;0.11;17.16;78;118;11;68;40;80;11;83;359;18;142;7;436;23;45;21;15;0;2;375
Reno595;673841.43;4928947.46;0;26898.13;54090.19;44.491162;11.185368;57.14;0.59;12.72;4.73;0.13;2.34;8.92;0.95;1.78;0.12;10.58;87;131;13;63;52;85;12;74;140;19;124;6;353;22;51;23;19;3;4;311
Reno596;675896.61;4938524.78;0;28953.31;63667.51;44.576821;11.214461;56.81;0.48;11.75;4.34;0.09;2.31;8.48;1.04;1.71;0.23;12.76;76;121;12;55;46;162;10;88;192;23;163;8;344;27;56;14;35;8;2;363
Reno597;662392.3;4909877.96;0;15449;35020.69;44.322256;11.035506;61.58;0.36;10.3;2.43;0.06;2.08;10.04;1.2;1.87;0.14;9.95;46;118;3;43;10;41;6;72;200;18;139;5;330;16;37;16;12;10;3;112
Reno598;662567.7;4910599.2;0;15624.4;35741.93;44.328706;11.037929;52.73;0.43;10.4;3.21;0.08;2.29;12.28;1.06;1.61;0.14;15.77;60;111;6;56;25;60;6;79;277;21;179;8;328;25;35;16;15;18;2;243
Reno599;663791.61;4912039.09;0;16848.31;37181.82;44.341386;11.053722;45.79;0.63;14.73;5.03;0.08;2.99;11.71;0.59;1.65;0.15;16.64;117;137;15;60;36;91;19;89;239;20;133;12;333;32;49;19;14;10;5;342
Reno600;663904.41;4914520.95;0;16961.11;39663.68;44.36369;11.055917;39.29;0.53;12.34;4.3;0.08;2.6;17.19;0.53;1.46;0.12;21.55;98;110;12;57;36;75;12;72;289;19;105;10;290;37;45;23;14;4;7;418
Reno601;665445.89;4916822.04;0;18502.59;41964.77;44.384043;11.075981;44.5;0.66;13.77;5.94;0.11;2.87;15.38;0.44;2.14;0.1;14.09;119;119;21;61;65;109;21;99;301;20;114;10;308;32;63;33;16;8;6;591
Reno602;666648.03;4918932.14;0;19704.73;44074.87;44.402752;11.091739;46.66;0.54;14.18;5.17;0.16;2.84;11.3;0.5;1.86;0.09;16.69;100;96;16;56;41;87;14;99;262;24;140;9;445;32;58;23;18;13;2;567
Reno603;667917.91;4921259.68;0;20974.61;46402.41;44.423399;11.108428;46.17;0.54;13.37;5.13;0.16;2.83;12.96;0.64;1.87;0.09;16.24;91;94;14;50;34;80;14;90;259;24;140;9;478;29;62;24;21;3;3;436
Reno604;668602.56;4924305.17;0;21659.26;49447.9;44.450639;11.118013;49.08;0.49;12.3;4.38;0.13;2.76;12.5;0.83;1.81;0.1;15.62;79;94;12;50;35;74;12;97;288;25;180;9;492;39;56;19;13;2;3;716
Reno605;668112.24;4926903.6;0;21168.94;52046.33;44.47413;11.112698;47.19;0.46;12.28;4.58;0.14;2.62;13.21;0.63;1.87;0.08;16.94;73;90;11;46;44;71;12;94;284;24;180;8;518;34;52;20;13;2;3;1069
Reno606;666362.12;4927594.31;0;19418.82;52737.04;44.480749;11.09093;47.756;0.45;11.81;4.32;0.16;2.57;14.51;0.76;1.78;0.09;15.8;70;88;9;49;30;95;8;78;264;19;138;8;656;23;50;23;23;4;2;977
Reno607;665614.52;4932412.35;0;18671.22;57555.08;44.524267;11.083079;48.1;0.38;9.83;3.72;0.19;2.26;16.57;0.89;1.58;0.1;16.39;54;88;8;42;32;67;7;69;306;24;223;7;1038;22;35;23;15;4;2;711
Reno608;670217.52;4936762.13;0;23274.22;61904.86;44.562328;11.142399;50.54;0.46;11.4;4.29;0.15;2.47;13.19;0.94;1.65;0.09;14.82;71;92;10;50;38;63;8;84;261;26;195;8;363;21;56;19;16;6;4;104
Reno609;674357.6;4940080.92;0;27414.3;65223.65;44.591194;11.195618;47.81;0.39;9.99;3.81;0.2;2.34;16.7;0.9;1.57;0.13;16.79;61;95;7;49;32;74;9;73;304;24;217;7;904;24;50;23;16;6;3;496
Reno610;653844.09;4912170;0;6900.79;37312.73;44.344739;10.929043;52.65;0.44;11.03;2.97;0.05;1.8;12.86;0.85;1.52;0.13;15.71;72;110;5;42;21;68;12;64;196;15;138;6;298;18;34;16;15;11;3;305
Reno611;660967.15;4914529.13;0;14023.85;39671.86;44.364421;11.019081;49.96;0.56;13.72;5.47;0.18;3.16;10.62;0.6;1.84;0.11;15.79;101;118;21;77;39;99;14;95;197;23;123;9;345;36;51;21;16;16;2;287
Reno612;662381.19;4913737.66;0;15437.89;38880.39;44.356985;11.036569;51.62;0.66;15.42;5.59;0.13;3.86;6.46;0.64;1.99;0.09;13.53;109;97;18;57;40;84;13;103;113;23;120;12;248;29;62;20;16;12;8;319
Reno613;663455.48;4914834.13;0;16512.18;39976.86;44.366609;11.050385;45.54;0.56;13.04;4.81;0.12;2.98;12.92;0.64;1.81;0.08;17.51;92;93;15;49;34;86;11;82;284;19;127;7;439;23;48;24;12;0;2;536
