sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno655;699839.86;4899581.34;0;52896.56;24724.07;44.220314;11.500791;44.75;0.58;12.35;4.49;0.12;3.79;14;0.87;2.11;0.13;16.81;80;107;6;56;32;80;18;115;232;24;161;16;358;22;46;17;10;10;5;516
Reno656;692498.17;4894272.65;0;45554.87;19415.38;44.174536;11.407016;48.29;0.7;15.78;6.1;0.12;2.82;9.4;0.28;2.37;0.11;14.03;124;126;18;61;47;105;20;131;286;27;143;19;445;30;68;21;12;12;4;1097
Reno657;692059.41;4891428.32;0;45116.11;16571.05;44.149066;11.400494;50.23;0.74;16.93;6.47;0.12;2.69;7.43;0.3;2.63;0.09;12.36;120;121;23;63;49;110;21;141;250;26;158;20;434;36;62;19;9;9;13;1490
Reno658;690671.67;4886616.97;0;43728.37;11759.7;44.106149;11.381416;52.73;0.76;17.3;6.8;0.14;2.93;5.28;0.48;2.54;0.11;10.92;131;144;26;82;55;113;16;147;214;25;146;18;373;36;73;19;22;19;4;545
Reno659;694905.9;4884767.94;0;47962.6;9910.67;44.088402;11.433593;55.44;0.58;13.68;4.99;0.13;2.55;7.89;1.04;2.15;0.13;11.42;88;107;15;59;35;90;17;113;242;24;227;15;388;29;54;15;20;7;9;920
Reno660;694668.69;4887114.42;0;47725.39;12257.15;44.109572;11.431498;52.94;0.54;12.43;4.27;0.1;3.57;10.18;1.4;2.11;0.13;12.31;71;93;10;55;28;80;17;103;277;20;148;13;387;18;35;14;20;9;4;1349
Reno661;693759.37;4918177.01;0;46816.07;43319.74;44.38922;11.431637;40.54;0.5;12.25;4.49;0.09;3.03;16.33;0.47;1.62;0.08;20.59;96;124;9;73;39;92;17;101;465;20;112;10;348;28;58;29;16;1;2;847
Reno662;693619.78;4924545.65;0;46676.48;49688.38;44.446541;11.432261;52.98;0.45;10.72;4.06;0.15;2.04;12.89;0.86;1.9;0.17;13.78;59;124;8;55;34;106;15;89;337;20;148;10;418;18;37;0;12;5;3;976
Reno663;706980.41;4931801.48;0;60037.11;56944.21;44.508098;11.602903;51.63;0.61;14.14;4.98;0.13;2.69;9.13;0.68;2.49;0.24;13.28;81;101;12;52;40;111;19;119;253;27;203;16;532;27;59;9;21;12;9;926
Reno664;704931.14;4925940.13;0;57987.84;51082.86;44.455968;11.574827;46.74;0.64;16.17;6.18;0.13;3.2;7.27;0.34;2.66;0.1;16.57;117;116;22;69;49;114;21;153;279;25;124;17;381;36;57;10;20;9;4;935
Reno665;702223.68;4922145.56;0;55280.38;47288.29;44.422602;11.53935;51.04;0.61;13.69;4.69;0.17;2.22;9.14;0.51;1.83;0.19;15.91;79;111;14;52;41;112;15;94;220;27;212;14;357;27;56;9;34;14;7;1082
Reno666;703539.84;4921506.64;0;56596.54;46649.37;44.416487;11.555617;48.86;0.68;15;5.83;0.15;2.98;9.07;0.47;2.55;0.11;14.3;96;107;17;59;45;100;20;131;263;32;197;18;405;33;65;11;20;17;16;1433
Reno667;702148.45;4919440.3;0;55205.15;44583.03;44.398292;11.537353;51.22;0.66;15.65;5.77;0.13;3;7.42;0.55;2.69;0.11;12.79;95;102;19;57;46;98;21;137;239;30;183;16;425;32;58;10;16;18;7;1237
Reno668;701772.43;4918031.28;0;54829.13;43174.01;44.385724;11.532089;47.08;0.63;15.87;5.89;0.13;3.1;8.8;0.35;2.74;0.09;15.32;105;111;19;64;52;102;22;144;313;26;143;19;387;27;73;10;18;13;5;1656
Reno669;701283.62;4917524.18;0;54340.32;42666.91;44.381299;11.525762;45.17;0.63;15.74;5.95;0.12;3.13;8.57;0.37;2.68;0.1;17.54;106;111;19;62;46;104;25;137;293;27;131;17;329;33;68;10;17;9;4;1617
Reno670;699779.5;4916960.62;0;52836.2;42103.35;44.376646;11.506682;48.09;0.52;12.6;4.45;0.13;2.46;12.47;0.52;2.27;0.11;16.38;78;97;11;58;39;88;17;119;389;25;190;15;422;23;50;8;13;9;5;697
Reno671;705344.71;4932891.16;0;58401.41;58033.89;44.518365;11.582779;47.21;0.62;14.82;5.62;0.1;2.62;8.42;0.35;2.42;0.25;16.47;98;202;15;96;68;644;20;124;273;25;155;16;359;26;61;9;21;12;7;4125
Reno672;709612.7;4936648.14;0;62669.4;61790.87;44.550925;11.637952;47.71;0.63;15.14;5.73;0.12;2.75;8.42;0.35;2.42;0.25;16.47;100;135;18;73;52;244;22;129;255;25;152;18;365;27;51;10;15;13;7;1564
Reno673;699553.89;4919666.02;0;52610.59;44808.75;44.401041;11.504891;46.23;0.64;14.38;5.5;0.12;2.73;10.82;0.36;2.33;0.13;16.76;95;103;15;56;41;106;20;118;313;26;210;18;375;29;59;11;13;11;13;1070
Reno674;699441.1;4920567.7;0;52497.8;45710.43;44.409182;11.503822;47.49;0.66;16.26;6.08;0.1;2.91;7.72;0.23;2.6;0.09;15.85;113;121;18;70;47;113;22;145;286;23;122;17;317;35;63;9;17;12;5;964
Reno675;696771.24;4918275.96;0;49827.94;43418.69;44.389299;11.469454;46.23;0.62;14.39;5.69;0.11;2.54;10.55;0.28;2.25;0.1;17.24;97;102;14;58;48;104;21;122;317;25;141;17;301;26;55;10;12;13;6;1432
Reno676;696771.21;4917129.92;0;49827.91;42272.65;44.378991;11.46902;48.56;0.65;15.21;5.86;0.12;2.57;7.88;0.22;2.4;0.11;16.43;102;110;19;64;47;107;23;131;275;27;155;15;407;36;63;10;16;13;8;717
Reno677;696451.5;4915157.42;0;49508.2;40300.15;44.361336;11.464266;48.02;0.58;13.91;5.13;0.16;3.32;10.43;0.63;2.47;0.1;15.26;92;126;20;90;47;99;19;132;373;26;147;17;449;21;55;10;13;13;14;649
Reno678;697974.53;4918614.01;0;51031.23;43756.74;44.392012;11.484676;43.21;0.66;14.54;6.15;0.12;2.59;12.32;0.25;2.04;0.09;18.03;104;111;21;62;43;103;21;107;345;24;138;18;265;24;55;11;13;13;2;743
Reno679;699798.24;4924193.45;0;52854.94;49336.18;44.441694;11.509699;46.56;0.55;12.96;4.78;0.12;2.55;12.91;0.44;2.11;0.18;16.85;74;103;11;53;54;129;17;104;356;24;207;14;776;27;45;10;19;10;3;2405
Reno680;700512.75;4928946.35;0;53569.45;54089.08;44.484244;11.520509;46.26;0.64;15.88;5.77;0.09;2.74;6.77;0.32;2.41;0.23;18.9;109;198;17;90;79;764;23;141;271;26;136;18;319;27;60;10;30;9;4;3248
Reno681;702829.94;4886897.75;0;55886.64;12040.48;44.105408;11.533298;37.29;0.47;9.61;3.73;0.1;2.99;22.31;0.79;1.62;0.12;20.98;63;76;5;53;23;61;16;90;478;23;152;13;292;19;39;21;4;7;5;980
Reno682;701288.87;4885887.9;0;54345.57;11030.63;44.09675;11.513676;33.29;0.45;9.51;3.68;0.11;3.21;25.46;0.67;1.56;0.12;21.94;58;80;6;52;31;58;13;81;475;18;150;12;303;24;44;26;15;10;6;940
Reno683;702064.9;4887690.84;0;55121.6;12833.57;44.112753;11.524052;36.2;0.48;9.69;3.75;0.11;2.81;22.78;0.75;1.65;0.17;21.6;66;82;6;54;33;68;13;90;457;21;154;12;323;19;42;23;16;9;6;1140
Reno684;703368.95;4888284.66;0;56425.65;13427.39;44.117733;11.540561;35.44;0.54;10.04;4.22;0.11;3.43;23.59;0.59;1.7;0.13;20.2;64;88;9;57;30;65;16;83;451;22;154;14;323;24;49;25;16;3;11;1330
Reno685;705428.92;4886441.5;0;58485.62;11584.23;44.10058;11.565562;26.53;0.39;7.99;3.43;0.1;2.81;29.51;0.44;1.36;0.07;27.37;60;68;6;53;36;58;13;87;428;17;112;12;284;18;34;24;6;8;5;1260
Reno686;704229.9;4887597.64;0;57286.6;12740.37;44.111314;11.551044;27.37;0.46;8.66;3.58;0.11;2.65;29.78;0.37;1.39;0.12;25.53;58;74;5;56;30;60;14;76;513;17;126;10;274;26;53;28;11;0;4;1120
Reno687;704461.89;4888466.61;0;57518.59;13609.34;44.119065;11.554277;37.02;0.49;10.32;4.02;0.11;3.22;18.74;0.53;1.64;0.24;23.67;78;88;9;62;44;110;12;93;424;20;126;12;343;23;45;22;16;8;2;1875
Reno688;705231.94;4891318.61;0;58288.64;16461.34;44.144501;11.565002;27.9;0.42;8.23;3.37;0.11;3.22;30.37;0.5;1.45;0.08;24.35;50;70;6;46;36;57;19;72;440;13;100;12;277;17;38;28;4;4;4;1000
Reno689;706294.93;4891062.45;0;59351.63;16205.18;44.141898;11.578179;21.84;0.33;6.69;2.64;0.09;2.6;34.26;0.41;1.07;0.06;30;44;55;0;39;31;51;15;65;584;13;89;10;260;20;42;31;13;10;3;1000
Reno690;707145.96;4891720.4;0;60202.66;16863.13;44.147575;11.589067;30.74;0.45;9.01;3.71;0.12;3.44;27.47;0.55;1.55;0.1;22.86;57;71;6;52;28;56;15;79;527;15;124;11;277;22;48;27;15;8;4;960
Reno691;707017.98;4893092.39;0;60074.68;18235.12;44.159951;11.588008;28.74;0.38;7.52;2.98;0.11;2.67;31.42;0.5;1.25;0.11;24.32;50;72;3;44;29;58;11;60;505;15;121;11;273;20;42;28;15;0;8;1430
Reno692;706713.99;4893466.42;0;59770.69;18609.15;44.163401;11.584357;25.33;0.39;7.91;3.35;0.12;2.76;31.04;0.35;1.36;0.1;27.3;60;73;5;50;37;60;11;71;486;14;88;11;306;23;40;28;10;8;4;1000
Reno693;706941.93;4894737.44;0;59998.63;19880.17;44.174768;11.587705;30.41;0.48;8.99;3.7;0.12;3.39;27.42;0.51;1.57;0.1;23.32;60;68;5;52;28;57;15;68;428;13;106;10;296;18;36;27;17;0;12;1080
Reno694;707548.98;4894382.33;0;60605.68;19525.06;44.171402;11.595151;28.59;0.47;9.07;3.82;0.1;2.74;27.06;0.41;1.54;0.1;26.1;66;78;6;58;60;69;17;95;541;19;119;14;284;24;48;24;17;6;3;920
Reno695;707356.93;4895137.45;0;60413.63;20280.18;44.178248;11.593049;38.71;0.54;11.37;4.53;0.11;3.87;17.13;0.73;1.94;0.12;20.94;85;97;11;69;23;76;16;120;438;25;134;13;334;20;36;20;13;10;3;810
Reno696;705248.92;4896827.63;0;58305.62;21970.36;44.194045;11.567364;34.34;0.51;11.15;4.29;0.1;3.95;19.76;0.42;1.85;0.11;23.53;81;92;10;66;35;76;13;115;437;25;115;14;308;26;50;19;21;4;4;770
Reno697;707901.99;4896735.42;0;60958.69;21878.15;44.192465;11.600493;38.06;0.54;11.49;4.54;0.11;3.86;17.48;0.7;1.94;0.12;21.15;79;98;10;63;30;76;16;117;429;24;120;16;315;22;47;19;18;14;3;840
Reno698;708028.93;4897483.39;0;61085.63;22626.12;44.199156;11.602376;36.85;0.5;11.33;4.39;0.1;4.29;18.83;0.54;1.9;0.12;21.14;82;96;10;69;32;78;17;114;425;25;118;15;299;29;54;20;16;0;6;1510
Reno699;708912.95;4897446.31;0;61969.65;22589.04;44.19857;11.613413;41.82;0.43;9.52;3.31;0.1;4.04;18.65;1.02;1.69;0.11;19.31;62;71;3;44;33;66;12;92;342;19;166;13;303;22;41;18;30;10;2;830
Reno700;708682.97;4899026.32;0;61739.67;24169.05;44.212846;11.611166;52.77;0.6;13.5;4.11;0.11;4.27;9.72;1.28;2.31;0.2;11.14;72;84;9;47;16;59;12;101;173;25;168;14;350;28;50;17;19;4;11;330
Reno701;709771;4899601.17;0;62827.7;24743.9;44.217704;11.625001;46.38;0.61;13.55;4.714;0.12;4.15;11.76;0.79;2.24;0.18;15.51;83;100;11;65;31;78;15;118;230;27;158;16;336;24;46;18;21;13;10;430
Reno702;709447.97;4900126.23;0;62504.67;25268.96;44.222519;11.621171;38.86;0.5;11.14;4.16;0.11;3.82;18.61;0.64;1.88;0.14;20.13;71;88;9;63;34;73;13;98;357;18;112;12;323;22;43;22;18;6;10;1080
Reno703;711666.01;4901086.07;0;64722.71;26228.8;44.230511;11.649298;50.82;0.66;12.43;4.26;0.12;4.15;11.83;1.13;2.06;0.19;12.35;82;96;10;50;24;65;13;101;257;32;264;16;325;34;69;17;12;15;7;570
Reno704;710201.01;4901164.15;0;63257.71;26306.88;44.231637;11.631005;48.45;0.65;13.35;4.83;0.13;4.25;11.58;0.93;2.22;0.19;13.42;86;99;12;57;29;93;16;97;214;29;180;15;314;30;54;18;18;10;8;650
Reno705;710567.03;4901736.18;0;63623.73;26878.91;44.236676;11.635813;48.7;1.07;12.4;5.35;0.17;4.31;13.74;1.06;1.95;0.23;11.03;87;130;8;46;21;70;16;80;248;49;462;17;286;46;100;22;13;19;6;630
Reno706;712103.03;4903450.03;0;65159.73;28592.76;44.251644;11.655721;40.45;0.56;11.76;4.59;0.22;4.07;16.7;0.56;1.93;0.2;18.96;82;99;10;67;39;122;15;105;418;29;180;15;306;28;55;19;24;9;15;900
Reno707;712317;4902460;0;65373.7;27602.73;44.242678;11.657997;48.77;0.7;12.21;4.23;0.13;4.89;13.73;1.23;2.02;0.2;11.9;74;108;10;49;25;58;15;86;258;28;219;15;324;33;65;20;15;19;4;870
Reno708;712080.98;4902552.99;0;65137.68;27695.72;44.243583;11.655082;48.68;0.58;11.88;4.05;0.11;3.92;12.86;1.2;2.04;0.16;14.52;73;83;8;49;25;65;17;105;323;29;210;15;338;26;46;14;19;9;6;750
Reno709;713324.04;4904849.91;0;66380.74;29992.64;44.263877;11.671569;39.87;0.58;11.61;4.61;0.12;2.87;17.11;0.45;1.76;0.13;20.87;88;106;11;64;24;80;16;106;574;23;171;15;250;30;56;20;9;9;10;2380
Reno710;715133.02;4904996.7;0;68189.72;30139.43;44.264665;11.694268;43.2;0.6;12.21;4.83;0.12;2.97;15.69;0.54;1.85;0.17;17.82;83;106;11;62;27;79;14;96;497;25;180;13;289;29;53;21;12;7;8;2940
Reno711;715383.08;4905396.67;0;68439.78;30539.4;44.268188;11.697562;48.63;0.6;11.46;4.13;0.11;3.77;13.25;1.19;1.95;0.18;14.74;73;85;8;51;22;67;12;104;328;26;220;15;329;30;60;17;19;11;12;930
Reno712;716254.03;4905330.63;0;69310.73;30473.36;44.267336;11.708435;40.58;0.54;11.04;4.31;0.14;3.21;17.86;0.63;1.67;0.19;19.83;74;90;10;58;26;78;15;88;412;24;148;12;273;24;46;19;18;6;10;1350
Reno713;719933.1;4905105.31;0;72989.8;30248.04;44.264208;11.754383;39.61;0.56;11.48;4.4;0.13;3.73;17.81;0.57;1.84;0.15;19.72;79;92;11;59;31;73;15;98;434;25;154;15;298;29;53;21;12;9;23;940
Reno714;715449.08;4900825.65;0;68505.78;25968.38;44.227061;11.696508;49.52;0.65;11.32;3.87;0.12;4.05;13.85;1.23;1.86;0.17;13.36;70;87;6;47;16;57;10;97;328;32;278;15;301;34;74;15;21;16;8;690
Reno715;713389.01;4898765.92;0;66445.71;23908.65;44.209143;11.669905;42.16;0.54;11.17;4.02;0.11;3.79;17.48;0.84;1.89;0.13;17.87;68;84;9;54;27;65;15;102;357;24;164;15;326;21;44;21;11;3;7;660
Reno716;710276.01;4894059.18;0;63332.71;19201.91;44.167716;11.629098;38.7;0.52;10.29;3.86;0.11;3.47;20.55;0.8;1.76;0.12;19.81;67;82;6;56;27;60;15;102;468;23;178;15;302;16;30;18;21;8;5;700
Reno717;711683.05;4896087;0;64739.75;21229.73;44.185547;11.647495;35.33;0.51;10.81;4.07;0.11;3.8;21.55;0.54;1.79;0.12;21.38;69;89;8;63;34;67;13;95;413;20;124;12;295;25;44;23;18;10;4;800
Reno718;718200.11;4905975.43;0;71256.81;31118.16;44.272554;11.733059;43.01;0.59;12.37;4.55;0.12;3.92;14.98;0.72;2;0.18;17.56;84;102;10;61;31;87;15;100;332;23;153;14;319;30;56;20;22;13;12;1210
Reno719;725730.16;4911250.62;0;78786.86;36393.35;44.317693;11.829578;47.43;0.6;11.45;4.13;0.11;3.34;14.17;1;1.79;0.16;15.65;73;92;9;51;38;69;12;101;338;29;252;15;321;25;49;19;15;11;6;750
Reno720;728681.24;4915095.34;0;81737.94;40238.07;44.351341;11.868224;46.75;0.52;10.2;3.99;0.12;3.26;15.96;1.05;1.69;0.15;16.32;71;102;11;53;21;71;11;89;364;25;181;14;309;19;39;28;18;8;11;900
Reno721;734201.3;4922643.73;0;87258;47786.46;44.417449;11.940793;45.75;0.53;11.37;4.5;0.12;3.66;14.4;0.9;1.88;0.17;16.72;83;104;10;64;37;89;17;101;337;20;148;14;295;29;56;29;21;10;4;710
Reno722;736289.27;4928316.41;0;89345.97;53459.14;44.467772;11.96957;46.69;0.5;11.02;4.31;0.13;3.28;14.81;0.98;1.76;0.15;16.37;79;101;16;64;34;72;12;94;348;25;126;12;330;23;49;27;15;8;5;680
Reno723;742266.43;4932695.69;0;95323.13;57838.42;44.505164;12.04666;44.88;0.54;12.07;4.54;0.11;3.83;13.79;0.86;2.05;0.14;17.18;85;99;11;66;28;80;17;108;481;22;147;13;360;28;47;24;15;11;4;710
Reno724;714397.03;4905642.86;0;67453.73;30785.59;44.270693;11.685322;46.5;0.53;10.29;3.62;0.13;3.51;17.1;1.09;1.69;0.17;15.36;63;93;10;48;22;53;12;74;336;24;230;14;328;28;54;26;23;5;12;420
Reno725;716096.07;4905889.64;0;69152.77;31032.37;44.27241;11.706689;54.39;0.59;13.54;3.79;0.12;2.65;9.91;1.01;1.89;0.14;11.96;71;96;9;45;28;59;12;91;210;23;194;14;357;30;57;20;15;10;11;150
Reno726;695126.84;4928605.57;0;48183.54;53748.3;44.482653;11.452713;53.83;0.65;15.43;5.42;0.1;2.79;6.98;0.66;1.95;0.09;12.1;114;154;16;72;34;100;18;125;238;25;147;13;411;30;56;22;19;8;6;160
Reno727;696575.83;4931545.51;0;49632.53;56688.24;44.508703;11.472035;51.06;0.45;11.21;3.82;0.1;2.58;13.27;0.92;1.71;0.27;14.61;67;156;7;62;47;148;16;85;335;22;198;8;508;25;51;23;23;7;4;950
Reno728;694579.84;4931545.67;0;47636.54;56688.4;44.509245;11.446947;50.49;0.62;15.35;5.65;0.12;3.01;7.71;0.79;2.29;0.1;13.87;95;117;15;70;36;103;22;124;226;25;141;10;332;30;56;18;16;8;4;420
Reno729;699751.83;4934678.23;0;52808.53;59820.96;44.536007;11.513165;54.58;0.35;9.41;3.43;0.13;1.77;13.39;1.27;1.8;0.14;13.73;44;173;6;53;35;113;12;78;317;20;183;5;593;20;37;14;22;3;6;640
Reno730;700910.89;4937018.16;0;53967.59;62160.89;44.55673;11.528651;58.37;0.29;8.38;2.53;0.11;1.57;13.45;1.55;1.79;0.11;11.85;29;112;0;37;22;78;12;69;313;18;200;5;356;18;38;12;11;0;4;500
Reno731;706151.97;4939674.76;0;59208.67;64817.49;44.579142;11.595638;51.94;0.49;10.9;4.22;0.12;2.29;12.98;0.9;1.95;0.22;13.99;60;120;7;62;49;159;16;91;339;20;182;9;330;20;36;0;25;12;10;1970
Reno732;693345.83;4928758.7;0;46402.53;53901.43;44.484509;11.430394;55.56;0.36;9.87;3.1;0.12;2.36;14.55;1.09;1.7;0.08;11.21;47;101;5;46;29;45;9;78;337;25;226;7;316;15;39;21;14;8;3;440
Reno733;733384.26;4937912.85;0;86440.96;63055.58;44.554995;11.937431;46.15;0.61;13.8;5.16;0.12;3.23;12.76;0.63;2.15;0.12;15.27;91;115;12;61;38;94;19;94;259;18;110;12;324;30;60;11;13;10;3;1630
Reno734;733508.24;4937444.83;0;86564.94;62587.56;44.550747;11.938778;50.23;0.45;11;3.78;0.13;3.15;14.33;1.12;1.52;0.12;14.17;66;94;10;43;27;73;8;68;237;18;139;6;351;23;50;20;15;0;3;480
Reno735;728726.18;4915056.32;0;81782.88;40199.05;44.350976;11.86877;49.04;0.63;11.87;4.07;0.12;3.56;15.22;0.85;1.79;0.16;12.69;73;90;8;52;28;66;14;92;310;31;245;14;301;34;61;21;11;6;10;490
Reno736;734085.25;4922667.7;0;87141.95;47810.43;44.417702;11.939348;46.8;0.65;12.27;4.15;0.11;3.2;12.66;1;1.82;0.15;17.19;75;88;9;52;31;68;15;111;303;32;237;17;313;30;65;17;11;9;8;390
Reno737;736215.27;4928007.51;0;89271.97;53150.24;44.465019;11.9685;47.6;0.59;12.71;4.51;0.12;3.31;12.41;0.87;1.93;0.16;15.79;88;101;9;57;33;79;14;114;327;28;214;17;320;30;64;16;19;9;7;510
Reno738;742671.4;4932639.62;0;95728.1;57782.35;44.504524;12.051721;44.55;0.61;12.76;4.49;0.12;3.63;13.88;0.68;1.93;0.15;17.2;88;101;10;58;34;78;14;117;354;32;206;19;339;27;52;18;16;8;6;680
Reno739;712109.98;4921210.12;0;65166.68;46352.85;44.411362;11.663031;39.73;0.61;12.99;5.67;0.12;4.99;13.09;0.69;2.35;0.1;19.66;61;99;9;53;37;79;11;85;334;19;218;13;486;24;31;15;24;12;13;3521
Reno740;742671.4;4932639.62;0;95728.1;57782.35;44.504524;12.051721;48.69;0.49;11.22;3.61;0.1;3.88;14.87;1.15;1.64;0.13;14.22;67;86;12;38;26;71;15;65;194;16;118;5;329;25;43;24;13;0;5;430
Reno741;721293.14;4937658.23;0;74349.84;62800.96;44.556518;11.785271;48.1;0.57;13.47;5.17;0.14;3.09;11.65;0.62;1.76;0.1;15.33;93;106;16;57;40;97;16;78;190;19;111;7;438;33;51;22;21;3;13;630
Reno742;724336.18;4919688.84;0;77392.88;44831.57;44.394001;11.815753;42.35;0.63;13.35;5.63;0.11;4.8;12.32;0.65;2.46;0.09;17.61;68;92;11;54;32;83;13;91;307;20;189;11;337;28;47;18;18;15;10;2250
Reno743;730972.22;4935572.2;0;84028.92;60714.93;44.534727;11.906053;40.96;0.56;12.66;5.09;0.1;5.1;13.01;0.72;2.32;0.09;19.39;76;88;8;58;30;90;15;95;321;21;191;13;334;28;56;16;19;11;15;2025
Reno744;713357.99;4922203.95;0;66414.69;47346.68;44.419933;11.679097;41.15;0.57;12.64;5.13;0.11;4.64;13;0.57;2.31;0.09;19.79;70;106;11;57;27;79;13;91;350;21;169;13;662;24;53;17;11;8;13;3079
Reno745;717782.07;4926742.58;0;70838.77;51885.31;44.45943;11.736514;41.6;0.57;13.1;5.18;0.1;4.61;12.03;0.65;2.4;0.1;19.66;78;94;12;58;35;82;12;103;324;22;169;13;506;31;56;18;17;8;8;4275
