sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno335;655647.67;4877757.8;0;8704.37;2900.53;44.034716;10.941462;64.45;0.55;14.05;4.34;0.1;3.25;2.08;1.59;2.01;0.13
Reno336;656670.67;4876419.7;0;9727.37;1562.43;44.022458;10.953826;62.83;0.6;15.14;4.59;0.13;3.5;0.86;1.63;2.05;0.16
Reno337;652091.83;4879189.68;0;5148.53;4332.41;44.048346;10.897521;55.81;0.59;14.57;4.78;0.15;3.47;1.8;1.08;1.99;0.16
Reno338;651882.41;4878850.69;0;4939.11;3993.42;44.045339;10.894811;65.63;0.54;14.12;3.93;0.08;3.3;0.64;2.05;2.03;0.14
Reno339;681521.66;4895072.23;0;34578.36;20214.96;44.184539;11.270093;61.49;0.53;14.11;3.41;0.05;2.18;6.59;1.45;2.09;0.1
Reno340;682355.73;4895489.16;0;35412.43;20631.89;44.188082;11.280665;58.83;0.55;14.1;3.45;0.06;1.77;7.57;1.23;2.28;0.1
Reno341;680953.71;4894164.28;0;34010.41;19307.01;44.176512;11.26268;54.77;0.6;14.54;3.86;0.06;2.03;9.78;1.02;2.23;0.09
Reno342;681066.67;4897457.27;0;34123.37;22600;44.206108;11.265227;41.02;0.62;14.9;4.48;0.13;2.34;12.28;0.5;2.19;0.11
Reno343;683415.73;4898139.09;0;36472.43;23281.82;44.211655;11.294843;62.62;0.56;14.69;3.18;0.06;1.78;4.79;1.41;2.29;0.1
Reno344;681824.68;4898782.24;0;34881.38;23924.97;44.217839;11.275166;58.66;0.55;14.24;3.24;0.07;1.86;7.92;1.41;2.33;0.16
Reno345;681559.66;4899539.25;0;34616.36;24681.98;44.224715;11.272113;62.1;0.46;12.73;2.76;0.06;1.51;7.63;1.57;2.12;0.11
Reno346;680915.7;4902795.35;0;33972.4;27938.08;44.254167;11.265181;61.86;0.44;11.97;2.6;0.06;1.42;8.67;1.56;2.09;0.12
Reno347;682203.66;4902227.2;0;35260.36;27369.93;44.248735;11.281104;42.72;0.56;12.14;3.81;0.06;1.8;19.43;0.62;1.69;0.06
Reno348;682923.73;4903135.22;0;35980.43;28277.95;44.256723;11.290433;48.83;0.63;14.44;3.59;0.08;2.17;12.52;0.98;2.18;0.14
Reno349;682420.7;4905666.26;0;35477.4;30808.99;44.279618;11.285019;42.62;0.48;11.01;3.36;0.07;1.68;19.28;0.74;1.68;0.1
Reno350;683433.69;4904664.19;0;36490.39;29806.92;44.270349;11.297352;30.46;0.37;8.46;2.47;0.04;1.38;29.73;0.5;1.25;0.04
Reno351;682452.69;4904397.23;0;35509.39;29539.96;44.268194;11.284977;51.74;0.56;13.2;3.64;0.07;2.07;13.04;0.91;2.1;0.22
Reno352;683344.73;4906446.2;0;36401.43;31588.93;44.286402;11.296863;75.3;0.21;10.49;0.98;0.04;0.75;3.92;1.94;2.88;0.06
Reno353;682788.72;4907604.21;0;35845.42;32746.94;44.296959;11.290305;40.56;0.37;9.05;2.72;0.06;1.38;22.03;0.78;1.5;0.11
Reno354;682852.08;4909319.01;0;35908.78;34461.74;44.312369;11.291699;77.08;0.13;10.59;0.69;0.02;0.85;3.01;2.09;2.92;0.07
