sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno457;675906.72;4905011.95;0;28963.42;30154.68;44.275335;11.203229;79.3;0.34;8.31;1.36;0.09;0.53;2.82;1.71;2.14;0.06
Reno458;674238.59;4902650.79;0;27295.29;27793.52;44.254494;11.181555;80.26;0.11;8.42;0.64;0.03;0.4;2.53;1.81;2.39;0.07
Reno459;674148.53;4903667.79;0;27205.23;28810.52;44.263665;11.180766;71.07;0.27;9.08;1.48;0.06;1.09;5.8;1.72;2.25;0.08
Reno460;674379.21;4904193.24;0;27435.91;29335.97;44.268337;11.183829;60.17;0.4;11.69;3.4;0.11;1.9;7.89;1.34;1.9;0.07
Reno461;678218.87;4895828.59;0;31275.57;20971.32;44.192157;11.229058;51.97;0.5;11.62;4.54;0.11;2.6;11.25;0.83;1.58;0.09
Reno462;678534.86;4897340.24;0;31591.56;22482.97;44.205679;11.233523;53.92;0.41;12.11;3.65;0.1;2.22;10.39;1.07;1.83;0.09
Reno463;681465.79;4912235.77;0;34522.49;37378.5;44.338955;11.275345;60.53;0.38;10.86;2.54;0.06;1.06;8.95;1.57;1.68;0.07
Reno464;681167.25;4913832.24;0;34223.95;38974.97;44.353391;11.272158;55.02;0.32;9.48;2.22;0.06;0.98;13.33;1.44;1.58;0.1
Reno465;681229.98;4913313.29;0;34286.68;38456.02;44.348707;11.272764;61.12;0.33;9.9;2.31;0.05;1.01;9.84;1.44;1.68;0.12
Reno466;679715.36;4914995.23;0;32772.06;40137.96;44.364214;11.254356;52.26;0.42;11.68;3.07;0.06;1.37;12.47;0.98;1.7;0.11
Reno467;679492.65;4913860.26;0;32549.35;39002.99;44.354059;11.251172;49.53;0.35;9.81;2.6;0.06;1.15;16.26;1.04;1.51;0.11
Reno468;680195.84;4915711.13;0;33252.54;40853.86;44.370535;11.260629;42.93;0.41;10.32;3.02;0.07;1.44;20.13;0.74;1.48;0.07
Reno469;680791.7;4914703.58;0;33848.4;39846.31;44.361323;11.267752;42.17;0.42;10.53;3.27;0.06;1.53;19.44;0.72;1.6;0.08
Reno470;682183.91;4912017.53;0;35240.61;37160.26;44.336812;11.28427;40.92;0.41;10.3;3.07;0.06;1.43;22.8;0.7;1.51;0.07
Reno471;680946.1;4910593.17;0;34002.8;35735.9;44.324308;11.268261;47.09;0.34;9.29;2.64;0.06;1.21;20.02;0.96;1.53;0.07
Reno472;682218.87;4914767.93;0;35275.57;39910.66;44.361545;11.28567;42.62;0.26;7.42;2.04;0.05;0.99;23.58;0.92;1.39;0.06
Reno473;679796.79;4910850.03;0;32853.49;35992.76;44.326904;11.253947;39.69;0.27;6.99;2.1;0.05;0.9;24.07;0.79;1.24;0.08
Reno474;679397.54;4909545.38;0;32454.24;34688.11;44.315266;11.248495;40.7;0.25;6.67;1.9;0.05;1.4;22.48;0.94;1.21;0.07
Reno475;678945.45;4909214.52;0;32002.15;34357.25;44.312401;11.242717;44.13;0.59;15.24;4.38;0.05;2.13;12.82;0.49;1.89;0.06
Reno476;678279.41;4908019.15;0;31336.11;33161.88;44.301811;11.233964;12.82;0.15;3.87;1.32;0.02;0.83;42.19;0.19;0.55;0
Reno477;677703.62;4906072.11;0;30760.32;31214.84;44.284436;11.226089;47.86;0.3;8.56;2.27;0.09;1.22;19.03;1.02;1.49;0.07
Reno478;679082.8;4906064.34;0;32139.5;31207.07;44.284028;11.243358;25.03;0.24;5.84;1.86;0.05;1;31.94;0.47;0.97;0.05
Reno479;681095.56;4906486.87;0;34152.26;31629.6;44.287331;11.26871;45.76;0.46;11.48;3.27;0.06;1.63;16.64;0.87;1.69;0.07
Reno480;680551.07;4911815.92;0;33607.77;36958.65;44.335406;11.263734;62.01;0.31;10.13;3.2;0.09;1.06;9.54;1.12;1.7;0.07
Reno481;706447.7;4919051.98;0;59504.4;44194.71;44.393588;11.59113;41.36;0.51;11.92;4.74;0.15;2.65;16.22;0.54;1.9;0.05
Reno482;705977.51;4917059.05;0;59034.21;42201.78;44.375798;11.584443;46.05;0.55;13.66;5.28;0.12;2.92;11.78;0.61;2.17;0.07
Reno483;705280.32;4916540.62;0;58337.02;41683.35;44.371333;11.575496;47.19;0.57;13.41;4.94;0.13;2.68;11.86;0.74;1.72;0.08
Reno484;705523.51;4915876.25;0;58580.21;41018.98;44.365289;11.578283;46.78;0.55;13.7;5.4;0.12;2.9;11.45;0.65;2.21;0.08
Reno485;664402.54;4899870.14;0;17459.24;25012.87;44.231762;11.057554;68;0.32;11.97;2.96;0.08;1.72;4.56;1.47;2.44;0.06
Reno486;660472.5;4895795.31;0;13529.2;20938.04;44.195974;11.007128;66.88;0.34;12.49;2.96;0.08;1.85;4.66;1.51;2.59;0.08
Reno487;659907.51;4894885.29;0;12964.21;20028.02;44.18791;10.999785;53.5;0.62;16.82;5.38;0.13;2.95;7.09;0.79;2.33;0.1
Reno488;659122.46;4894445.35;0;12179.16;19588.08;44.184123;10.989835;51.2;0.67;16.3;5.53;0.15;2.79;7.92;0.85;2.27;0.11
Reno489;658542.46;4894085.35;0;11599.16;19228.08;44.18101;10.982474;59.3;0.47;14.81;4.38;0.14;2.46;5.48;1.01;2.59;0.08
Reno490;657932.45;4894395.3;0;10989.15;19538.03;44.183931;10.97494;63.44;0.41;13.89;2.99;0.08;2.25;5.87;1.4;2.85;0.09
Reno491;657082.43;4894685.34;0;10139.13;19828.07;44.186724;10.964398;49.66;0.65;16.09;5.54;0.14;2.8;8.5;0.72;2.22;0.1
Reno492;656932.43;4895270.45;0;9989.13;20413.18;44.192021;10.962697;51.45;0.63;16.36;5.27;0.13;2.8;8.4;0.9;2.35;0.09
Reno493;656107.42;4894595.42;0;9164.12;19738.15;44.186124;10.952179;51.68;0.64;16.2;5.16;0.12;2.74;8.51;0.88;2.27;0.1
Reno494;656307.41;4895520.39;0;9364.11;20663.12;44.194404;10.954955;52.11;0.63;16.28;5.5;0.13;3.17;7.94;0.85;2.14;0.11
Reno495;655482.43;4893795.42;0;8539.13;18938.15;44.179059;10.944127;51.96;0.64;16.93;5.13;0.12;2.83;8.23;0.85;2.34;0.09
Reno496;664082.49;4899720.09;0;17139.19;24862.82;44.230484;11.053502;51.95;0.66;17.31;5.56;0.12;2.92;7.25;0.74;2.34;0.09
Reno497;654897.42;4894255.49;0;7954.12;19398.22;44.183323;10.936948;50.69;0.63;16.27;5.25;0.12;2.84;8.37;0.84;2.22;0.1
Reno498;652342.38;4893120.54;0;5399.08;18263.27;44.173648;10.90467;51.77;0.65;17.11;5.56;0.12;2.89;6.86;0.71;2.28;0.08
Reno499;651707.39;4893920.58;0;4764.09;19063.31;44.180979;10.896962;55.71;0.58;16.19;4.8;0.12;2.51;6.98;0.89;2.24;0.09
Reno500;651607.43;4893195.57;0;4664.13;18338.3;44.174476;10.895503;48.69;0.67;17.36;5.89;0.15;3.06;7.26;0.63;2.33;0.09
Reno501;652157.45;4893065.58;0;5214.15;18208.31;44.173192;10.902342;50.55;0.68;17.58;5.99;0.13;2.92;7.22;0.68;2.4;0.09
Reno502;651972.41;4892935.5;0;5029.11;18078.23;44.17206;10.899991;58.69;0.52;14.92;3.72;0.09;2.27;7.69;1.26;2.38;0.1
Reno503;652597.44;4892545.56;0;5654.14;17688.29;44.168421;10.907692;55.72;0.54;15.81;4.87;0.1;2.56;7.37;1.05;2.27;0.09
Reno504;652672.39;4892745.57;0;5729.09;17888.3;44.170205;10.908687;61.3;0.43;15.21;3.62;0.09;2.06;5.41;1.66;2.63;0.1
Reno505;654407.42;4893520.47;0;7464.12;18663.2;44.176813;10.930605;47.69;0.57;15.95;4.8;0.1;2.64;5.8;0.69;1.97;0.08
Reno506;652332.42;4891195.48;0;5389.12;16338.21;44.156328;10.903988;54.41;0.59;16.17;5.22;0.11;2.77;7.32;0.95;2.16;0.09
Reno507;663057.51;4899485.14;0;16114.21;24627.87;44.2286;11.040603;49.34;0.72;18.32;6.58;0.15;3.14;6.42;0.57;2.62;0.09
Reno508;652257.42;4891345.55;0;5314.12;16488.28;44.157694;10.903094;51.42;0.66;17.01;5.85;0.13;2.97;7.26;0.7;2.31;0.08
Reno509;651957.4;4890420.55;0;5014.1;15563.28;44.149433;10.899077;53.05;0.67;17.27;5.89;0.11;2.83;5.41;0.93;2.62;0.14
Reno510;650597.4;4889285.52;0;3654.1;14428.25;44.139501;10.881756;50.68;0.7;17.68;5.97;0.1;3.22;6.41;0.84;2.47;0.1
Reno511;649952.42;4889170.55;0;3009.12;14313.28;44.138599;10.873664;54;0.61;16.29;5.26;0.1;2.63;7.5;0.85;2.12;0.1
Reno512;649732.43;4889145.54;0;2789.13;14288.27;44.138419;10.870908;47.88;0.72;17.84;6.8;0.17;2.91;7.07;0.54;2.43;0.08
Reno513;648632.35;4887545.57;0;1689.05;12688.3;44.124246;10.856711;49.9;0.73;18.62;6.16;0.16;2.94;5.79;0.69;2.56;0.09
Reno514;653182.41;4889835.5;0;6239.11;14978.23;44.143913;10.914216;55.68;0.63;16.3;5.43;0.11;3.79;5.73;1.09;2.2;0.12
Reno515;651822.45;4888670.54;0;4879.15;13813.27;44.133714;10.896886;58.97;0.59;14.51;4.68;0.08;4.41;5.21;1.58;2.09;0.15
Reno516;649652.36;4887495.55;0;2709.06;12638.28;44.123588;10.869439;58.36;0.62;15.36;4.92;0.09;4.79;4.16;1.47;2.26;0.16
Reno517;648982.4;4892945.63;0;2039.1;18088.36;44.172767;10.862612;53.08;0.43;11.82;4.13;0.1;2.61;9.09;1.44;1.97;0.11
Reno518;662382.49;4899070.17;0;15439.19;24212.9;44.225017;11.032028;57.97;0.66;16.67;5.52;0.1;3.77;2.48;1.15;2.26;0.13
Reno519;650207.38;4892195.59;0;3264.08;17338.32;44.165767;10.877713;61.71;0.62;14.97;4.91;0.1;4.12;2.07;1.59;2.26;0.15
Reno520;653782.46;4892045.51;0;6839.16;17188.24;44.163673;10.92236;56.56;0.63;16.06;5.22;0.1;3.28;4.26;1.13;2.02;0.13
Reno521;652872.45;4893295.55;0;5929.15;18438.28;44.175112;10.911348;59.02;0.64;15.79;5.5;0.1;5.23;1.83;1.41;2.14;0.14
Reno522;655182.46;4896945.49;0;8239.16;22088.22;44.207467;10.941307;55.63;0.67;16.71;5.73;0.19;3.21;0.98;0.94;2.27;0.15
Reno523;661872.51;4897845.23;0;14929.21;22987.96;44.214109;11.025269;53.89;0.64;16.86;5.8;0.17;3.01;4.04;0.9;2.89;0.11
Reno524;660612.48;4896375.22;0;13669.18;21517.95;44.201161;11.009056;60.45;0.6;14.93;4.13;0.06;3.49;1.52;1.95;2.04;0.13
Reno525;660807.47;4894520.27;0;13864.17;19663;44.184428;11.010927;49.99;0.69;17.46;6.27;0.14;2.42;4.37;0.65;2.64;0.14
Reno526;661732.53;4895395.2;0;14789.23;20537.93;44.192096;11.022763;51.08;0.71;17.92;6.56;0.15;2.48;4.56;0.65;2.79;0.14
Reno527;661494.19;4898221.46;0;14550.89;23364.19;44.217578;11.020652;53.29;0.64;16.16;4.28;0.06;1.99;7.75;1.13;3.03;0.008
Reno528;660512.71;4898999.82;0;13569.41;24142.55;44.224798;11.008611;51.39;0.7;18.27;6.37;0.16;2.97;4.6;0.63;3.01;0.08
Reno529;661418.61;4897150.86;0;14475.31;22293.59;44.207962;11.019377;50.95;0.68;18.48;6.4;0.18;3.13;4.65;0.65;3.07;0.08
Reno530;661222.9;4896451.08;0;14279.6;21593.81;44.201709;11.016714;48.82;0.49;12.87;3.62;0.06;1.89;14.61;1.06;2.41;0.05
Reno531;660638.69;4895499.73;0;13695.39;20642.46;44.193278;11.009116;33.99;0.41;10.46;3.69;0.14;1.76;21.94;0.5;1.73;0.05
Reno532;672892.9;4893596.37;0;25949.6;18739.1;44.173355;11.161727;70.34;0.44;13.14;3.15;0.07;2.59;1.19;2.1;1.72;0.1
Reno533;672537.2;4891451.04;0;25593.9;16593.77;44.154138;11.156577;69.83;0.46;12.77;3.39;0.08;2.27;1.56;2.03;1.61;0.09
Reno534;670827;4891224.45;0;23883.7;16367.18;44.152501;11.135132;62.84;0.52;14.09;4.08;0.11;2.53;3.07;1.6;1.76;0.12
Reno535;670440;4890628.22;0;23496.7;15770.95;44.147227;11.130103;60.9;0.56;15.34;4.54;0.1;2.69;3.72;1.37;1.89;0.1
Reno536;667341.16;4886473.86;0;20397.86;11616.59;44.110565;11.090063;62.29;0.49;14.49;3.99;0.09;2.5;5.41;1.46;1.82;0.1
Reno537;668358.56;4887768.18;0;21415.26;12910.91;44.121977;11.103181;61.7;0.47;14.12;4.03;0.09;2.44;5.38;1.46;1.77;0.1
Reno538;678313.67;4896990.98;0;31370.37;22133.71;44.202591;11.230638;50.55;0.66;17.1;5.77;0.12;2.88;7.07;0.7;2.18;0.09
Reno539;677800.14;4899019.22;0;30856.84;24161.95;44.220963;11.224903;51.8;0.6;16.02;5.56;0.11;2.76;7.41;0.82;2.02;0.1
Reno540;677719.73;4899736.12;0;30776.43;24878.85;44.227432;11.22414;54.5;0.62;16.74;5.55;0.11;2.82;7.01;0.93;2.15;0.09
Reno541;678296.67;4901416.92;0;31353.37;26559.65;44.242412;11.23193;56.75;0.52;14.59;4.93;0.1;2.61;7.11;1.14;1.98;0.09
Reno542;677015.92;4900780.19;0;30072.62;25922.92;44.236996;11.215687;52.33;0.63;16.79;5.57;0.11;2.789;6.53;0.84;2.16;0.09
Reno543;677502.77;4902459.26;0;30559.47;27601.99;44.251983;11.222348;51.39;0.58;15.47;5.35;0.11;3.07;7.87;0.88;1.97;0.1
Reno544;678064.28;4902961.92;0;31120.98;28104.65;44.256368;11.229547;52.37;0.6;15.7;5.41;0.1;3.04;7.13;0.9;2.09;0.1
Reno545;677267.25;4903471.76;0;30323.95;28614.49;44.261149;11.219743;52.49;0.59;14.84;5.17;0.1;2.83;7.84;1.02;2.04;0.09
Reno546;677581.34;4904170.44;0;30638.04;29313.17;44.267358;11.223912;53.19;0.58;15.17;5.13;0.09;2.86;7.72;0.99;2.08;0.09
Reno547;676533.65;4904502.05;0;29590.35;29644.78;44.270596;11.210907;53.54;0.53;14.55;5.02;0.1;2.82;8.23;1.14;1.93;0.1
Reno548;675507.79;4905281.03;0;28564.49;30423.76;44.277852;11.198324;54.1;0.57;14.79;4.89;0.1;2.81;7.62;1.07;1.98;0.08
Reno549;674305.34;4902721.37;0;27362.04;27864.1;44.255113;11.182414;53.87;0.59;15.55;5.61;0.1;2.67;6.78;0.99;2.07;0.09
Reno550;672445.93;4904694.94;0;25502.63;29837.67;44.273311;11.159789;54.81;0.54;14.92;5.11;0.11;2.7;7.46;1.11;1.94;0.1
Reno551;674523.4;4905022.41;0;27580.1;30165.14;44.275762;11.185911;58.02;0.58;15.15;5.03;0.11;3.27;4.4;1.35;1.88;0.11
Reno552;675729.49;4890417.25;0;28786.19;15559.98;44.144077;11.196123;48.78;0.67;17.66;6;0.12;2.88;7.34;0.62;2.24;0.09
Reno553;675807.79;4890452.46;0;28864.49;15595.19;44.144375;11.197113;48.12;0.53;13.52;3.94;0.07;2.1;13.64;1;2.12;0.08
Reno554;676021.64;4890354.36;0;29078.34;15497.09;44.143441;11.199752;59.18;0.44;13.14;3.19;0.07;1.66;6.93;1.57;1.96;0.15
Reno555;676243.31;4891428.26;0;29300.01;16570.99;44.153049;11.202881;63.49;0.41;10.53;2.52;0.07;2.3;7.67;1.58;1.64;0.08
Reno556;676001.32;4892961.71;0;29058.02;18104.44;44.166903;11.20037;50.5;0.44;10.15;3.27;0.04;2.71;11.3;0.55;1.59;0.1
Reno557;676313.85;4893647.01;0;29370.55;18789.74;44.172993;11.204506;59.42;0.53;13.54;4.43;0.11;2.72;4.68;1.36;1.68;0.12
Reno558;676406.51;4894045.88;0;29463.21;19188.61;44.176559;11.205798;47.85;0.59;13.82;5.27;0.11;2.45;10.52;0.67;1.68;0.09
Reno559;676623.8;4893771.05;0;29680.5;18913.78;44.174034;11.208422;48.05;0.68;17.72;6.24;0.13;3.02;7.61;0.66;2.08;0.09
Reno560;678269.98;4893416.55;0;31326.68;18559.28;44.170445;11.228879;58.67;0.47;12.76;3.88;0.07;2.45;7.19;1.39;1.67;0.12
Reno561;678583.73;4895604.85;0;31640.43;20747.58;44.190055;11.233544;54.83;0.62;16.74;6.13;0.18;2.69;6.34;0.88;2.23;0.09
Reno562;678398.24;4897807.06;0;31454.94;22949.79;44.209912;11.231973;58.02;0.58;15.15;5.03;0.11;3.27;4.4;1.35;1.88;0.11
Reno563;675813.04;4894284.18;0;28869.74;19426.91;44.178846;11.198459;58.01;0.61;15.93;5.4;0.11;2.91;7.41;0.95;1.97;0.1
Reno564;676482.07;4891400.32;0;29538.77;16543.05;44.15274;11.205855;54.51;0.53;14.71;4.87;0.1;2.66;7.82;1.1;1.88;0.1
Reno565;681400.68;4912718.86;0;34457.38;37861.59;44.343317;11.274697;53.09;0.6;16.48;5.56;0.1;3.07;6.43;0.83;2.05;0.11
Reno566;680936.6;4914266.49;0;33993.3;39409.22;44.357355;11.269417;67.5;0.55;14.01;4.18;0.09;3.38;0.6;1.95;1.78;0.12
Reno567;681040.54;4913724.9;0;34097.24;38867.63;44.352457;11.270532;61.13;0.55;14.41;4.52;0.1;3.73;1.27;1.91;1.79;0.12
Reno568;668475.38;4887855.3;0;21532.08;12998.03;44.122734;11.104668;68.09;0.53;13.13;3.93;0.09;3.09;1.26;2.2;1.65;0.12
Reno569;670378.86;4890646.53;0;23435.56;15789.26;44.147406;11.129345;49.05;0.68;17.87;6.41;0.11;2.82;6.65;0.59;2.22;0.08
Reno570;670873.28;4891091.05;0;23929.98;16233.78;44.15129;11.135667;49.55;0.68;17.64;6.2;0.12;2.88;7.16;0.63;2.08;0.09
Reno571;672579.08;4891510.94;0;25635.78;16653.67;44.154667;11.15712;56.56;0.6;16.09;4.98;0.1;2.67;4.16;1.08;1.98;0.23
Reno572;672851.02;4893585.82;0;25907.72;18728.55;44.17327;11.1612;50.82;0.65;16.71;5.98;0.16;2.75;6.84;0.84;2.11;0.13
Reno573;672925.24;4894550.35;0;25981.94;19693.08;44.18193;11.162445;47.72;0.61;16.94;6.27;0.15;2.69;8.57;0.64;2.08;0.09
Reno574;672925.22;4895365.53;0;25981.92;20508.26;44.189264;11.162713;49.12;0.66;17.42;6.13;0.13;2.7;7.68;0.62;2.18;0.11
Reno575;672875.68;4896773.52;0;25932.38;21916.25;44.201943;11.162557;48.09;0.6;15.76;5.49;0.12;2.64;9.82;0.74;2.12;0.01
Reno576;672949.93;4898574.25;0;26006.63;23716.98;44.218126;11.164079;50.29;0.62;16.72;5.53;0.12;2.65;7.9;0.76;2.21;0.09
Reno577;673295.99;4899018.77;0;26352.69;24161.5;44.222043;11.168555;52.66;0.61;16.91;5.95;0.14;2.78;5.99;0.81;2.2;0.08
Reno578;674161.19;4899858.54;0;27217.89;25001.27;44.229392;11.179658;54.83;0.62;16.74;6.13;0.15;2.69;6.34;0.88;2.23;0.09
Reno579;672554.39;4898401.34;0;25611.09;23544.07;44.216664;11.159074;54.55;0.63;17.5;6.08;0.12;2.84;5.16;0.82;2.36;0.08
Reno580;671159.16;4916819.35;0;24215.86;41962.08;44.382693;11.147655;42.25;0.51;12.3;4.58;0.16;2.91;15.43;0.51;1.72;0.09
Reno581;669539.78;4918966.45;0;22596.48;44109.18;44.40239;11.12804;49.93;0.58;12.97;4.86;0.16;3.87;9.83;0.66;1.73;0.08
Reno582;672147.98;4920027.41;0;25204.68;45170.14;44.41132;11.161122;48.85;0.56;13.32;4.79;0.14;3.37;10.28;0.64;1.8;0.09
Reno583;673742.12;4923060.29;0;26798.82;48203.02;44.438224;11.182145;59.6;0.45;12.75;3.86;0.11;2.64;6.24;1.05;2.16;0.09
Reno584;675623.73;4927591.4;0;28680.43;52734.13;44.478532;11.207307;51.22;0.53;13.28;4.78;0.12;3.02;8.38;0.73;2.01;0.16
Reno585;677371.62;4933195.76;0;30428.32;58338.49;44.528521;11.231192;55.96;0.41;12.1;3.72;0.12;2.5;9.93;1.03;2.05;0.11
Reno586;677090.59;4937278.8;0;30147.29;62421.53;44.56532;11.22906;49.89;0.39;10.45;3.5;0.12;2.36;13.1;0.87;1.77;0.11
Reno587;669436.18;4918037.3;0;22492.88;43180.03;44.394055;11.126437;50.93;0.57;14.23;5.07;0.18;3.86;8.69;0.61;1.79;0.08
Reno588;673341.8;4923519.82;0;26398.5;48662.55;44.442454;11.177272;48.28;0.64;16.35;6.33;0.12;2.9;6.67;0.46;2.22;0.08
Reno589;675417.52;4920842;0;28474.22;45984.73;44.417864;11.202432;57.84;0.32;8.5;2.81;0.13;2.38;13.8;1.37;1.4;0.1
Reno590;675171.12;4921780.44;0;28227.82;46923.17;44.426366;11.199656;61.37;0.35;7.65;2.32;0.12;1.78;12.53;1.54;1.36;0.1
Reno591;675200.35;4923631.25;0;28257.05;48773.98;44.443009;11.200648;53.7;0.32;8.98;2.94;0.15;2.26;14.74;1.2;1.56;0.11
Reno592;671465.98;4924244.69;0;24522.68;49387.42;44.449422;11.153956;45.39;0.48;11.82;4.71;0.18;3.05;13.93;0.64;1.79;0.1
Reno593;671166.78;4924673.77;0;24223.48;49816.5;44.453353;11.15034;43.8;0.43;9.8;3.78;0.14;2.7;17.99;0.7;1.53;0.11
Reno594;677290.16;4926837.03;0;30346.86;51979.76;44.471339;11.227987;46.3;0.47;11.17;4.08;0.1;2.95;15.25;0.71;1.71;0.11
Reno595;673841.43;4928947.46;0;26898.13;54090.19;44.491162;11.185368;57.14;0.59;12.72;4.73;0.13;2.34;8.92;0.95;1.78;0.12
Reno596;675896.61;4938524.78;0;28953.31;63667.51;44.576821;11.214461;56.81;0.48;11.75;4.34;0.09;2.31;8.48;1.04;1.71;0.23
Reno597;662392.3;4909877.96;0;15449;35020.69;44.322256;11.035506;61.58;0.36;10.3;2.43;0.06;2.08;10.04;1.2;1.87;0.14
Reno598;662567.7;4910599.2;0;15624.4;35741.93;44.328706;11.037929;52.73;0.43;10.4;3.21;0.08;2.29;12.28;1.06;1.61;0.14
Reno599;663791.61;4912039.09;0;16848.31;37181.82;44.341386;11.053722;45.79;0.63;14.73;5.03;0.08;2.99;11.71;0.59;1.65;0.15
Reno600;663904.41;4914520.95;0;16961.11;39663.68;44.36369;11.055917;39.29;0.53;12.34;4.3;0.08;2.6;17.19;0.53;1.46;0.12
Reno601;665445.89;4916822.04;0;18502.59;41964.77;44.384043;11.075981;44.5;0.66;13.77;5.94;0.11;2.87;15.38;0.44;2.14;0.1
Reno602;666648.03;4918932.14;0;19704.73;44074.87;44.402752;11.091739;46.66;0.54;14.18;5.17;0.16;2.84;11.3;0.5;1.86;0.09
Reno603;667917.91;4921259.68;0;20974.61;46402.41;44.423399;11.108428;46.17;0.54;13.37;5.13;0.16;2.83;12.96;0.64;1.87;0.09
Reno604;668602.56;4924305.17;0;21659.26;49447.9;44.450639;11.118013;49.08;0.49;12.3;4.38;0.13;2.76;12.5;0.83;1.81;0.1
Reno605;668112.24;4926903.6;0;21168.94;52046.33;44.47413;11.112698;47.19;0.46;12.28;4.58;0.14;2.62;13.21;0.63;1.87;0.08
Reno606;666362.12;4927594.31;0;19418.82;52737.04;44.480749;11.09093;47.756;0.45;11.81;4.32;0.16;2.57;14.51;0.76;1.78;0.09
Reno607;665614.52;4932412.35;0;18671.22;57555.08;44.524267;11.083079;48.1;0.38;9.83;3.72;0.19;2.26;16.57;0.89;1.58;0.1
Reno608;670217.52;4936762.13;0;23274.22;61904.86;44.562328;11.142399;50.54;0.46;11.4;4.29;0.15;2.47;13.19;0.94;1.65;0.09
Reno609;674357.6;4940080.92;0;27414.3;65223.65;44.591194;11.195618;47.81;0.39;9.99;3.81;0.2;2.34;16.7;0.9;1.57;0.13
Reno610;653844.09;4912170;0;6900.79;37312.73;44.344739;10.929043;52.65;0.44;11.03;2.97;0.05;1.8;12.86;0.85;1.52;0.13
Reno611;660967.15;4914529.13;0;14023.85;39671.86;44.364421;11.019081;49.96;0.56;13.72;5.47;0.18;3.16;10.62;0.6;1.84;0.11
Reno612;662381.19;4913737.66;0;15437.89;38880.39;44.356985;11.036569;51.62;0.66;15.42;5.59;0.13;3.86;6.46;0.64;1.99;0.09
Reno613;663455.48;4914834.13;0;16512.18;39976.86;44.366609;11.050385;45.54;0.56;13.04;4.81;0.12;2.98;12.92;0.64;1.81;0.08
Reno614;666635.75;4914899.74;0;19692.45;40042.47;44.366476;11.090293;48.04;0.59;14.48;5.93;0.16;3.27;9.29;0.54;1.91;0.09
Reno615;664495.12;4916411.76;0;17551.82;41554.49;44.380568;11.063923;48.56;0.67;16.59;6.3;0.12;3.14;6.19;0.42;2.35;0.08
Reno616;666190.22;4917244.21;0;19246.92;42386.94;44.387671;11.085454;41.47;0.54;13.02;4.6;0.11;2.73;15.89;0.57;1.91;0.07
Reno617;667028.42;4918808.5;0;20085.12;43951.23;44.401552;11.096473;46.29;0.61;15.62;6.04;0.1;3;9.22;0.53;2.27;0.08
Reno618;662467.98;4918702.95;0;15524.68;43845.68;44.401639;11.039208;49.08;0.64;15.6;5.92;0.16;3.22;7.54;0.52;2.15;0.09
Reno619;661817.28;4918873.72;0;14873.98;44016.45;44.403321;11.031095;52.18;0.64;15.27;5.84;0.25;3.05;6.14;0.49;2.01;0.09
Reno620;661211.39;4921347.84;0;14268.09;46490.57;44.425716;11.024259;48.44;0.53;12.55;4.45;0.13;2.95;11.46;0.67;1.89;0.1
Reno621;664168.18;4921480.35;0;17224.88;46623.08;44.426244;11.061423;46.67;0.61;14.94;5.67;0.15;3.11;8.86;0.48;2.06;0.08
Reno622;663427.44;4922693.03;0;16484.14;47835.76;44.437322;11.052505;48.17;0.49;12.21;4.34;0.12;2.89;12.31;0.75;1.82;0.1
Reno623;665505.72;4924198.81;0;18562.42;49341.54;44.450397;11.079083;45.19;0.48;12.43;4.75;0.18;2.78;13.59;0.6;1.84;0.1
Reno624;667226.94;4925180.7;0;20283.64;50323.43;44.458835;11.101018;47.96;0.45;11.52;4.18;0.15;2.94;14.34;0.87;1.7;0.09
Reno625;664258.18;4926715.99;0;17314.88;51858.72;44.473328;11.064212;40.86;0.49;12.55;4.84;0.12;2.57;15.55;0.43;1.55;0.09
Reno626;671484.95;4930998.08;0;24541.65;56140.81;44.510173;11.156432;51.53;0.54;11.54;4.37;0.13;2.76;11.62;0.9;1.68;0.13
Reno627;673151.8;4933656.42;0;26208.5;58799.15;44.53369;11.178279;43.87;0.56;13.26;5.55;0.1;3.19;12.06;0.54;1.9;0.12
Reno628;670413.57;4934714.09;0;23470.27;59856.82;44.543857;11.144189;55.02;0.51;10.5;4.03;0.14;1.86;9.61;1.01;1.44;0.34
Reno629;691627.61;4912642.17;0;44684.31;37784.9;44.340001;11.402859;51.52;0.39;7.82;3.64;0.23;2.2;16.11;0.96;1.43;0.09
Reno630;689311.63;4911826.81;0;42368.33;36969.54;44.333274;11.373535;47.47;0.43;8.42;3.77;0.2;2.42;19.97;0.94;1.38;0.1
Reno631;690031.89;4916258.01;0;43088.59;41400.74;44.372945;11.384178;49.03;0.4;9.64;3.77;0.16;2.98;18.3;0.88;1.73;0.1
Reno632;685636.42;4917735.11;0;38693.12;42877.84;44.38737;11.329581;49.34;0.55;11.98;4.82;0.14;3.05;14.11;0.73;1.76;0.11
