X;Y;Z;reality
m;m;m; 
R+;R+;R;R
;;; 
X;Y;depth;field
;;; 
1493562.7;4916975.2;5.4;25.2
1493563.2;4916973.8;5.2;25.2
1493563.6;4916972.6;5.3;25.2
1493563.8;4916971.5;5.6;25.2
1493563.7;4916970.3;5.8;25.2
1493563.9;4916968.8;6.0;25.2
1493564.2;4916967.4;6.0;25.2
1493564.6;4916966.1;6.1;25.2
1493564.9;4916964.8;5.9;25.2
1493565.3;4916963.4;6.2;25.2
1493565.7;4916962.0;6.5;25.2
1493565.9;4916960.8;6.8;25.2
1493566.0;4916959.7;7.0;25.2
1493566.3;4916958.3;7.4;25.2
1493566.7;4916957.1;7.8;25.2
1493566.9;4916955.6;7.9;25.2
1493567.2;4916953.9;8.2;25.2
1493567.5;4916952.6;8.4;25.2
1493567.7;4916951.2;8.5;25.2
1493567.8;4916950.1;8.7;25.2
1493568.2;4916948.6;8.6;25.2
1493568.7;4916947.3;8.9;25.2
1493569.0;4916946.3;9.0;25.2
1493569.0;4916945.0;9.0;25.2
1493569.5;4916943.4;9.5;25.2
1493569.8;4916942.0;9.9;25.2
1493569.9;4916940.7;9.7;25.2
1493569.9;4916939.9;9.9;25.2
1493570.0;4916939.1;10.2;25.3
1493569.8;4916937.3;11.2;25.3
1493569.6;4916934.2;11.7;25.3
1493569.7;4916933.1;11.8;25.3
1493569.9;4916931.5;11.9;25.3
1493570.1;4916930.0;12.0;25.2
1493570.2;4916928.5;11.9;25.2
1493570.6;4916926.9;11.8;25.2
1493570.9;4916925.1;11.9;25.2
1493571.1;4916923.4;12.0;25.3
1493571.1;4916921.8;12.2;25.3
1493571.2;4916920.3;12.4;25.3
1493571.6;4916918.9;12.4;25.3
1493571.9;4916917.6;12.2;25.3
1493571.8;4916916.8;12.1;25.3
1493571.8;4916916.0;11.9;25.3
1493571.7;4916914.4;11.7;25.3
1493571.7;4916912.9;11.7;25.3
1493571.9;4916911.4;11.5;25.3
1493572.0;4916910.0;11.2;25.3
1493572.2;4916907.3;10.6;25.3
1493572.7;4916905.6;11.3;25.3
1493573.0;4916904.1;11.3;25.3
1493573.2;4916902.6;10.7;25.3
1493573.6;4916901.2;10.0;25.3
1493574.0;4916899.8;9.2;25.3
1493574.4;4916898.4;8.8;25.3
1493574.9;4916897.0;8.5;25.3
1493575.2;4916895.8;8.0;25.3
1493575.5;4916894.7;7.5;25.3
1493575.6;4916893.5;7.1;25.3
1493575.7;4916892.3;6.8;25.3
1493575.5;4916891.2;6.4;25.3
1493575.5;4916889.8;6.0;25.3
1493575.6;4916888.0;5.7;25.3
1493575.6;4916886.4;5.3;25.3
1493575.6;4916885.1;4.6;25.3
1493575.7;4916883.9;3.9;25.3
1493575.9;4916882.9;2.9;25.3
1493576.2;4916881.8;2.5;25.3
1493576.5;4916880.7;2.0;25.3
1493576.5;4916879.4;1.3;25.3
1493576.8;4916877.9;0.5;25.3
1493577.2;4916876.6;-0.1;25.3
1493577.2;4916875.2;-0.7;25.3
1493577.0;4916873.8;-1.2;25.3
1493577.1;4916872.4;-1.6;25.3
1493577.4;4916871.0;-2.0;25.3
1493577.7;4916869.7;-2.6;25.3
1493578.0;4916868.2;-3.0;25.3
1493578.0;4916866.9;-3.5;25.3
1493577.9;4916865.7;-4.1;25.3
1493577.9;4916864.7;-4.7;25.3
1493578.1;4916863.5;-5.1;25.3
1493578.1;4916862.2;-5.7;25.3
1493578.3;4916861.0;-6.2;25.3
1493578.4;4916859.6;-6.7;25.3
1493578.6;4916858.3;-6.9;25.3
1493578.7;4916857.0;-7.1;25.3
1493578.7;4916855.7;-7.4;25.3
1493578.8;4916854.4;-7.6;25.3
1493579.0;4916853.4;-8.1;25.3
1493579.1;4916852.2;-7.5;25.3
1493579.2;4916851.1;-7.2;25.3
1493579.5;4916849.9;-6.6;25.3
1493580.2;4916848.7;-5.5;25.3
1493580.7;4916847.7;-5.1;25.3
1493581.1;4916846.6;-4.4;25.3
1493581.5;4916845.6;-3.9;25.3
1493581.8;4916844.8;-3.9;25.3
1493582.0;4916844.0;-4.1;25.3
1493582.3;4916843.1;-4.7;25.3
1493582.6;4916842.1;-5.4;25.3
1493582.9;4916841.2;-5.9;25.3
1493583.5;4916840.5;-6.5;25.3
1493583.6;4916839.9;-7.0;25.3
1493583.9;4916839.3;-7.6;25.3
1493584.2;4916838.7;-7.6;25.3
1493584.5;4916838.1;-7.8;25.3
1493584.7;4916837.5;-8.3;25.3
1493584.8;4916836.8;-8.5;25.3
1493584.7;4916836.0;-8.5;25.3
1493584.4;4916835.4;-8.5;25.3
1493584.4;4916834.9;-8.2;25.3
1493584.7;4916834.3;-7.9;25.3
1493585.0;4916833.8;-7.8;25.3
1493585.4;4916833.3;-7.7;25.3
1493585.5;4916832.8;-7.6;25.3
1493585.7;4916832.0;-7.6;25.3
1493585.7;4916831.4;-7.5;25.3
1493585.6;4916831.0;-7.7;25.3
1493585.5;4916830.5;-7.7;25.3
1493585.5;4916830.1;-7.8;25.3
1493585.5;4916829.8;-8.1;25.2
1493585.5;4916829.5;-8.0;25.2
1493585.6;4916829.6;-8.0;25.1
1493585.6;4916829.6;-8.1;25.0
1493585.7;4916829.6;-8.1;24.9
1493585.7;4916829.7;-8.2;24.8
1493585.8;4916829.7;-8.1;24.8
1493585.9;4916829.2;-7.9;24.7
1493586.0;4916828.8;-7.6;24.7
1493586.0;4916828.8;-7.7;24.7
1493586.1;4916828.9;-7.7;24.7
1493586.1;4916828.9;-7.6;24.6
1493586.1;4916828.8;-7.6;24.6
1493586.2;4916828.8;-7.5;24.6
1493586.2;4916828.2;-7.4;24.6
1493586.4;4916827.5;-8.4;24.6
1493586.4;4916826.8;-8.7;24.6
1493586.4;4916826.6;-8.6;24.6
1493586.4;4916826.6;-8.7;24.6
1493586.4;4916826.5;-8.7;24.6
1493586.4;4916826.3;-8.7;24.6
1493586.1;4916825.8;-8.8;24.6
1493586.0;4916825.6;-8.8;24.5
1493586.0;4916825.4;-8.9;24.5
1493586.0;4916825.2;-9.0;24.5
1493586.0;4916825.0;-9.0;24.5
1493585.9;4916824.6;-9.2;24.5
1493585.9;4916823.8;-9.1;24.5
1493585.6;4916823.1;-9.0;24.5
1493585.6;4916822.3;-9.3;24.5
1493585.5;4916821.6;-9.3;24.5
1493585.5;4916820.8;-9.2;24.5
1493585.8;4916820.0;-9.0;24.5
1493586.0;4916819.1;-9.0;24.5
1493585.8;4916817.8;-8.8;24.5
1493586.1;4916817.0;-8.9;24.5
1493586.2;4916816.2;-9.3;24.5
1493586.5;4916815.2;-9.1;24.5
1493586.7;4916814.3;-9.4;24.5
1493586.8;4916813.4;-9.4;24.5
1493586.5;4916812.2;-9.4;24.5
1493586.6;4916811.4;-9.8;24.5
1493586.7;4916810.5;-10.1;24.5
1493586.5;4916809.7;-10.4;24.5
1493586.1;4916808.8;-10.5;24.5
1493585.9;4916808.1;-10.5;24.5
1493585.7;4916807.8;-10.8;24.5
1493585.6;4916807.4;-10.9;24.5
1493585.5;4916807.2;-10.9;24.5
1493585.8;4916806.5;-11.7;24.5
1493586.0;4916806.0;-12.3;24.5
1493586.4;4916805.4;-13.0;24.5
1493587.0;4916804.9;-13.4;24.5
1493587.2;4916804.4;-13.7;24.6
1493586.9;4916804.0;-14.2;24.5
1493586.5;4916803.5;-14.3;24.5
1493586.2;4916802.9;-14.3;24.5
1493586.1;4916802.2;-14.3;24.5
1493586.2;4916801.4;-14.1;24.5
1493586.0;4916800.7;-14.3;24.5
1493585.6;4916800.1;-14.5;24.5
1493585.5;4916799.5;-14.2;24.5
1493585.3;4916798.7;-13.8;24.5
1493585.3;4916798.1;-13.6;24.5
1493585.3;4916797.6;-13.4;24.5
1493584.9;4916797.1;-13.5;24.5
1493584.6;4916796.4;-13.4;24.5
1493584.5;4916795.7;-13.0;24.5
1493584.5;4916795.2;-13.3;24.5
1493584.4;4916794.7;-13.0;24.5
1493584.4;4916794.0;-12.7;24.5
1493584.6;4916793.5;-12.8;24.5
1493584.9;4916793.1;-12.7;24.5
1493585.2;4916792.5;-12.4;24.5
1493585.2;4916792.1;-12.3;24.5
1493585.1;4916792.2;-12.5;24.5
1493585.1;4916792.3;-12.4;24.5
1493585.2;4916792.4;-12.5;24.5
1493585.3;4916792.5;-12.5;24.5
1493585.3;4916791.9;-12.3;24.5
1493585.2;4916791.6;-12.5;24.6
1493585.2;4916791.6;-12.4;24.6
1493585.2;4916791.7;-12.4;24.6
1493585.2;4916791.7;-12.4;24.6
1493585.1;4916791.5;-12.4;24.6
1493585.0;4916791.3;-12.4;24.6
1493584.7;4916790.7;-12.3;24.6
1493584.4;4916790.2;-12.4;24.6
1493584.0;4916789.5;-12.7;24.6
1493583.9;4916788.8;-12.9;24.6
1493584.1;4916788.0;-13.5;24.6
1493584.4;4916787.1;-13.7;24.6
1493585.0;4916786.2;-14.0;24.6
1493585.5;4916785.4;-14.0;24.6
1493585.5;4916784.7;-14.2;24.6
1493585.2;4916784.2;-14.4;24.6
1493584.9;4916783.7;-14.7;24.6
1493584.9;4916783.0;-14.8;24.6
1493584.9;4916783.0;-14.8;24.6
1493584.9;4916783.0;-14.7;24.6
1493584.9;4916783.0;-14.6;24.6
1493584.8;4916782.3;-14.7;24.6
1493584.4;4916781.6;-15.0;24.6
1493584.2;4916780.7;-15.1;24.6
1493584.3;4916780.0;-15.2;24.6
1493584.6;4916779.2;-14.8;24.6
1493584.6;4916778.5;-14.9;24.6
1493584.3;4916777.8;-14.7;24.6
1493584.2;4916777.0;-14.5;24.6
1493584.0;4916776.3;-14.3;24.6
1493584.0;4916775.7;-14.1;24.6
1493583.9;4916774.9;-14.0;24.6
1493583.8;4916774.1;-13.8;24.6
1493583.8;4916773.5;-13.8;24.6
1493583.8;4916772.7;-14.0;24.6
1493583.4;4916771.8;-14.0;24.6
1493583.2;4916771.0;-14.0;24.6
1493583.3;4916770.2;-14.0;24.6
1493583.2;4916769.7;-14.1;24.6
1493583.1;4916769.3;-13.6;24.6
1493583.2;4916768.7;-13.1;24.6
1493583.1;4916768.1;-12.6;24.6
1493582.8;4916767.4;-12.3;24.6
1493582.6;4916766.8;-12.2;24.6
1493582.6;4916765.9;-12.1;24.6
1493582.6;4916765.1;-12.1;24.6
1493582.4;4916764.4;-12.0;24.6
1493582.3;4916763.7;-12.0;24.7
1493582.3;4916762.8;-12.0;24.7
1493582.1;4916762.2;-12.1;24.7
1493581.9;4916761.7;-11.7;24.7
1493582.0;4916761.1;-11.1;24.7
1493582.5;4916760.6;-10.4;24.7
1493582.7;4916760.0;-9.8;24.7
1493582.5;4916759.2;-9.7;24.7
1493582.4;4916758.5;-10.2;24.7
1493582.5;4916757.6;-10.0;24.7
1493582.4;4916757.0;-10.0;24.8
1493582.4;4916756.4;-10.0;24.8
1493582.2;4916755.8;-10.2;24.8
1493582.2;4916755.1;-10.3;24.8
1493582.3;4916754.3;-10.4;24.8
1493582.3;4916753.5;-10.1;24.8
1493582.6;4916752.7;-10.0;24.8
1493582.8;4916751.9;-10.0;24.8
1493582.8;4916751.1;-10.1;24.8
1493582.5;4916750.4;-10.3;24.8
1493582.8;4916749.8;-9.8;24.8
1493583.1;4916749.2;-9.4;24.8
1493583.1;4916748.5;-9.9;24.8
1493583.2;4916747.9;-10.1;24.8
1493583.5;4916747.1;-10.3;24.8
1493583.6;4916746.2;-10.7;24.8
1493583.6;4916746.2;-10.7;24.7
1493583.6;4916746.2;-10.8;24.7
1493583.6;4916746.3;-10.8;24.7
1493583.5;4916745.6;-10.2;24.7
1493583.6;4916745.0;-10.0;24.7
1493583.5;4916744.4;-9.8;24.8
1493583.4;4916743.7;-9.6;24.8
1493583.2;4916743.2;-9.7;24.8
1493583.1;4916742.8;-9.6;24.8
1493583.0;4916742.4;-9.4;24.8
1493583.1;4916742.0;-8.9;24.8
1493583.1;4916742.0;-9.0;24.9
1493583.1;4916742.0;-8.9;24.9
1493583.1;4916742.0;-8.8;24.9
1493583.1;4916742.0;-8.9;24.9
1493583.1;4916742.0;-8.9;24.9
1493583.1;4916742.1;-9.0;24.9
1493582.9;4916741.4;-9.5;25.0
1493582.7;4916740.6;-10.1;25.0
1493582.7;4916739.7;-10.6;25.0
1493582.8;4916739.1;-11.2;25.0
1493582.8;4916738.7;-11.9;25.0
1493582.8;4916738.1;-12.4;25.0
1493582.9;4916737.5;-12.7;25.0
1493583.3;4916737.0;-13.5;25.0
1493583.7;4916736.3;-14.4;25.0
1493583.7;4916735.7;-15.2;25.0
1493583.7;4916735.3;-16.0;25.0
1493583.8;4916734.9;-16.7;25.1
1493583.9;4916734.4;-16.8;25.1
1493584.1;4916733.7;-17.0;25.1
1493584.1;4916732.9;-16.7;25.2
1493584.0;4916732.1;-16.7;25.3
1493583.9;4916731.0;-16.7;25.3
1493583.8;4916730.1;-16.7;25.3
1493583.9;4916729.5;-16.4;25.3
1493584.0;4916729.1;-16.3;25.3
1493584.0;4916728.6;-16.3;25.3
1493584.1;4916728.2;-16.3;25.3
1493584.2;4916728.1;-16.3;25.3
1493584.3;4916728.1;-16.3;25.3
1493584.4;4916728.0;-16.3;25.3
1493584.6;4916728.0;-16.4;25.3
1493584.9;4916727.9;-16.6;25.3
1493585.1;4916727.6;-16.8;25.3
1493585.0;4916727.1;-17.2;25.3
1493584.8;4916726.7;-17.2;25.3
1493584.8;4916726.7;-17.1;25.3
1493584.8;4916726.6;-17.1;25.3
1493584.8;4916726.6;-17.1;25.3
1493584.8;4916726.6;-17.0;25.3
1493585.1;4916726.0;-17.1;25.3
1493585.4;4916725.4;-17.2;25.3
1493585.4;4916724.9;-16.9;25.3
1493585.3;4916724.4;-16.8;25.3
1493585.2;4916723.8;-16.0;25.3
1493585.1;4916723.3;-15.8;25.3
1493585.1;4916722.8;-15.8;25.3
1493584.9;4916722.2;-15.8;25.3
1493585.1;4916721.3;-15.5;25.3
1493585.2;4916720.4;-15.1;25.3
1493585.4;4916719.7;-15.0;25.3
1493585.8;4916718.9;-14.9;25.3
1493586.5;4916718.2;-14.7;25.3
1493587.1;4916717.5;-14.5;25.3
1493587.6;4916716.8;-14.1;25.3
1493588.3;4916715.9;-13.2;25.3
1493588.7;4916715.0;-13.1;25.3
1493589.0;4916714.3;-12.7;25.3
1493589.3;4916713.5;-12.4;25.3
1493589.8;4916712.7;-12.1;25.3
1493590.3;4916711.8;-12.0;25.3
1493590.6;4916710.8;-11.9;25.3
1493590.8;4916709.7;-11.8;25.3
1493591.0;4916708.8;-11.7;25.3
1493591.3;4916708.0;-11.6;25.3
1493591.8;4916706.9;-11.3;25.3
1493592.5;4916705.9;-11.1;25.3
1493592.7;4916705.0;-11.0;25.3
1493593.2;4916704.4;-10.4;25.3
1493593.8;4916703.5;-9.8;25.3
1493594.3;4916702.4;-9.4;25.3
1493594.4;4916701.4;-9.3;25.3
1493594.7;4916700.5;-9.2;25.3
1493595.2;4916699.5;-8.8;25.3
1493595.7;4916698.6;-8.7;25.3
1493596.2;4916697.6;-8.6;25.3
1493596.5;4916696.5;-8.7;25.3
1493596.7;4916695.2;-8.8;25.3
1493596.9;4916694.2;-9.0;25.3
1493597.3;4916693.2;-9.2;25.3
1493597.6;4916692.4;-9.4;25.3
1493597.9;4916691.7;-9.4;25.3
1493598.1;4916690.8;-9.3;25.3
1493598.3;4916689.9;-9.1;25.3
1493598.4;4916688.6;-8.8;25.3
1493598.7;4916687.1;-8.3;25.3
1493599.0;4916685.6;-7.8;25.3
1493599.1;4916684.2;-7.5;25.3
1493599.2;4916682.8;-7.1;25.3
1493599.3;4916681.5;-6.5;25.3
1493599.5;4916680.5;-6.1;25.3
1493599.8;4916679.4;-6.6;25.3
1493600.0;4916678.2;-6.7;25.3
1493600.2;4916676.9;-6.6;25.3
1493600.3;4916675.5;-6.6;25.3
1493600.4;4916674.3;-6.6;25.3
1493600.5;4916673.1;-6.9;25.3
1493600.6;4916671.9;-7.1;25.3
1493600.8;4916670.8;-7.2;25.3
1493601.1;4916669.5;-7.4;25.3
1493601.6;4916668.1;-7.8;25.3
1493602.2;4916666.6;-8.3;25.3
1493602.5;4916665.3;-8.3;25.3
1493602.6;4916664.1;-8.0;25.3
1493602.5;4916662.7;-7.6;25.3
1493602.3;4916661.4;-7.2;25.3
1493602.4;4916660.1;-6.6;25.3
1493603.0;4916658.8;-5.5;25.3
1493603.6;4916657.3;-4.5;25.3
1493604.1;4916655.5;-3.3;25.3
1493604.6;4916653.9;-2.9;25.3
1493605.1;4916652.3;-2.5;25.3
1493605.4;4916650.6;-2.3;25.3
1493605.5;4916648.9;-2.2;25.3
1493605.8;4916647.2;-2.1;25.3
1493605.9;4916645.9;-2.6;25.3
1493605.7;4916644.6;-2.8;25.3
1493605.8;4916643.3;-3.1;25.3
1493605.8;4916641.8;-3.4;25.3
1493605.6;4916640.2;-3.6;25.3
1493605.6;4916638.7;-3.7;25.3
1493605.4;4916637.3;-3.8;25.3
1493605.2;4916636.0;-3.9;25.3
1493605.2;4916634.8;-4.0;25.3
1493605.2;4916633.5;-4.1;25.3
1493604.9;4916632.2;-4.0;25.3
1493604.7;4916631.0;-4.1;25.3
1493604.6;4916629.8;-4.1;25.3
1493604.3;4916628.6;-3.9;25.3
1493603.8;4916627.5;-3.8;25.3
1493603.1;4916626.2;-3.8;25.3
1493602.6;4916624.9;-3.7;25.3
1493602.0;4916624.0;-3.6;25.3
1493601.5;4916623.4;-3.6;25.3
1493601.1;4916622.8;-3.5;25.3
1493600.5;4916621.5;-3.5;25.3
1493599.9;4916619.8;-3.6;25.3
1493599.5;4916618.3;-3.7;25.3
1493598.9;4916616.7;-3.7;25.3
1493598.5;4916615.1;-3.9;25.3
1493598.3;4916613.7;-3.9;25.3
1493598.1;4916612.4;-4.5;25.3
1493597.7;4916611.1;-4.9;25.3
1493597.2;4916609.9;-5.3;25.3
1493596.8;4916608.5;-5.5;25.3
1493596.4;4916607.3;-5.6;25.3
1493595.9;4916605.9;-5.5;25.3
1493595.5;4916604.3;-5.0;25.3
1493595.1;4916602.8;-4.9;25.3
1493594.7;4916601.3;-4.9;25.3
1493594.5;4916599.5;-4.6;25.3
1493594.3;4916597.8;-4.1;25.3
1493593.8;4916596.3;-3.9;25.3
1493593.2;4916594.8;-3.9;25.3
1493592.6;4916593.3;-4.1;25.3
1493592.1;4916591.8;-4.3;25.3
1493591.8;4916591.1;-4.3;25.3
1493591.5;4916590.4;-4.4;25.3
1493590.9;4916588.8;-4.6;25.3
1493590.3;4916585.6;-4.2;25.3
1493590.2;4916584.9;-4.1;25.3
1493590.0;4916584.2;-4.0;25.3
1493589.3;4916581.3;-4.3;25.3
1493589.1;4916579.7;-4.2;25.3
1493588.8;4916578.3;-4.1;25.3
1493588.5;4916577.6;-4.1;25.3
1493588.3;4916576.9;-4.1;25.3
1493588.0;4916575.5;-4.1;25.3
1493587.5;4916572.7;-4.0;25.3
1493587.3;4916571.2;-3.8;25.3
1493587.3;4916569.6;-3.5;25.3
1493587.2;4916568.0;-3.2;25.3
1493587.0;4916567.3;-3.2;25.3
1493586.8;4916566.5;-3.3;25.3
1493586.1;4916563.5;-3.2;25.3
1493585.9;4916562.3;-3.2;25.3
