id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
528;1622567.195;4840859.1453;176;;formazioni_di_macchia_post_incendio;8;0
556;1622367.195;4840659.1453;176;;formazioni_di_macchia_post_incendio;8;0
557;1622567.195;4840659.1453;176;;formazioni_di_macchia_post_incendio;8;0
558;1622767.195;4840659.1453;176;;formazioni_di_macchia_post_incendio;8;0
586;1622567.195;4840459.1453;176;;formazioni_di_macchia_post_incendio;8;0
587;1622767.195;4840459.1453;176;;formazioni_di_macchia_post_incendio;8;0
531;1623167.195;4840859.1453;176;;formazioni_di_macchia_post_incendio;8;0
560;1623167.195;4840659.1453;176;;formazioni_di_macchia_post_incendio;8;0
240;1622967.195;4842859.1453;179;;formazioni_di_macchia_post_incendio;8;0
212;1623167.195;4843059.1453;179;;formazioni_di_macchia_post_incendio;8;0
213;1623367.195;4843059.1453;179;;formazioni_di_macchia_post_incendio;8;0
241;1623167.195;4842859.1453;179;;formazioni_di_macchia_post_incendio;8;0
242;1623367.195;4842859.1453;179;;formazioni_di_macchia_post_incendio;8;0
270;1623167.195;4842659.1453;179;;formazioni_di_macchia_post_incendio;8;0
271;1623367.195;4842659.1453;179;;formazioni_di_macchia_post_incendio;8;0
184;1623367.195;4843259.1453;179;;formazioni_di_macchia_post_incendio;8;0
214;1623567.195;4843059.1453;179;;formazioni_di_macchia_post_incendio;8;0
215;1623767.195;4843059.1453;179;;formazioni_di_macchia_post_incendio;8;0
96;1623167.195;4843859.1453;181;;formazioni_di_macchia_post_incendio;8;0
98;1623567.195;4843859.1453;181;;formazioni_di_macchia_post_incendio;8;0
124;1622967.195;4843659.1453;181;;formazioni_di_macchia_post_incendio;8;0
125;1623167.195;4843659.1453;181;;formazioni_di_macchia_post_incendio;8;0
571;1625367.195;4840659.1453;182;;formazioni_di_macchia_post_incendio;8;0
572;1625567.195;4840659.1453;182;;formazioni_di_macchia_post_incendio;8;0
594;1624167.195;4840459.1453;182;;formazioni_di_macchia_post_incendio;8;0
599;1625167.195;4840459.1453;182;;formazioni_di_macchia_post_incendio;8;0
600;1625367.195;4840459.1453;182;;formazioni_di_macchia_post_incendio;8;0
601;1625567.195;4840459.1453;182;;formazioni_di_macchia_post_incendio;8;0
512;1625167.195;4841059.1453;182;;formazioni_di_macchia_post_incendio;8;0
