id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
593;1623667.195;4843459.1453;1;;castanea;1;0
717;1624667.195;4843259.1453;2;;castanea;1;0
772;1624467.195;4843159.1453;2;;castanea;1;0
2188;1623567.195;4840659.1453;18;;castanea;1;0
2246;1623667.195;4840559.1453;18;;castanea;1;0
478;1623567.195;4843659.1453;20;;castanea;1;0
479;1623667.195;4843659.1453;20;;castanea;1;0
480;1623767.195;4843659.1453;20;;castanea;1;0
534;1623467.195;4843559.1453;20;;castanea;1;0
535;1623567.195;4843559.1453;20;;castanea;1;0
536;1623667.195;4843559.1453;20;;castanea;1;0
591;1623467.195;4843459.1453;20;;castanea;1;0
592;1623567.195;4843459.1453;20;;castanea;1;0
646;1623267.195;4843359.1453;20;;castanea;1;0
648;1623467.195;4843359.1453;20;;castanea;1;0
2242;1623267.195;4840559.1453;25;;castanea;1;0
1902;1623467.195;4841159.1453;26;;castanea;1;0
1959;1623467.195;4841059.1453;26;;castanea;1;0
1960;1623567.195;4841059.1453;26;;castanea;1;0
2016;1623467.195;4840959.1453;26;;castanea;1;0
2136;1624067.195;4840759.1453;27;;castanea;1;0
2137;1624167.195;4840759.1453;27;;castanea;1;0
2194;1624167.195;4840659.1453;27;;castanea;1;0
2195;1624267.195;4840659.1453;27;;castanea;1;0
2204;1625167.195;4840659.1453;27;;castanea;1;0
2251;1624167.195;4840559.1453;27;;castanea;1;0
305;1623367.195;4843959.1453;28;;castanea;1;0
306;1623467.195;4843959.1453;28;;castanea;1;0
362;1623367.195;4843859.1453;28;;castanea;1;0
776;1624867.195;4843159.1453;29;;castanea;1;0
777;1624967.195;4843159.1453;29;;castanea;1;0
780;1625267.195;4843159.1453;29;;castanea;1;0
832;1624767.195;4843059.1453;29;;castanea;1;0
833;1624867.195;4843059.1453;29;;castanea;1;0
836;1625167.195;4843059.1453;29;;castanea;1;0
837;1625267.195;4843059.1453;29;;castanea;1;0
888;1624667.195;4842959.1453;29;;castanea;1;0
889;1624767.195;4842959.1453;29;;castanea;1;0
890;1624867.195;4842959.1453;29;;castanea;1;0
892;1625067.195;4842959.1453;29;;castanea;1;0
893;1625167.195;4842959.1453;29;;castanea;1;0
894;1625267.195;4842959.1453;29;;castanea;1;0
945;1624667.195;4842859.1453;29;;castanea;1;0
947;1624867.195;4842859.1453;29;;castanea;1;0
948;1624967.195;4842859.1453;29;;castanea;1;0
951;1625267.195;4842859.1453;29;;castanea;1;0
1004;1624867.195;4842759.1453;29;;castanea;1;0
1008;1625267.195;4842759.1453;29;;castanea;1;0
1064;1625167.195;4842659.1453;29;;castanea;1;0
1065;1625267.195;4842659.1453;29;;castanea;1;0
1066;1625367.195;4842659.1453;29;;castanea;1;0
1122;1625267.195;4842559.1453;29;;castanea;1;0
1123;1625367.195;4842559.1453;29;;castanea;1;0
1177;1625067.195;4842459.1453;29;;castanea;1;0
1178;1625167.195;4842459.1453;29;;castanea;1;0
1179;1625267.195;4842459.1453;29;;castanea;1;0
1180;1625367.195;4842459.1453;29;;castanea;1;0
1232;1624867.195;4842359.1453;29;;castanea;1;0
1233;1624967.195;4842359.1453;29;;castanea;1;0
1236;1625267.195;4842359.1453;29;;castanea;1;0
1237;1625367.195;4842359.1453;29;;castanea;1;0
1238;1625467.195;4842359.1453;29;;castanea;1;0
1290;1624967.195;4842259.1453;29;;castanea;1;0
1291;1625067.195;4842259.1453;29;;castanea;1;0
1293;1625267.195;4842259.1453;29;;castanea;1;0
1294;1625367.195;4842259.1453;29;;castanea;1;0
1295;1625467.195;4842259.1453;29;;castanea;1;0
1296;1625567.195;4842259.1453;29;;castanea;1;0
1349;1625167.195;4842159.1453;29;;castanea;1;0
1350;1625267.195;4842159.1453;29;;castanea;1;0
1351;1625367.195;4842159.1453;29;;castanea;1;0
1352;1625467.195;4842159.1453;29;;castanea;1;0
1353;1625567.195;4842159.1453;29;;castanea;1;0
1407;1625267.195;4842059.1453;29;;castanea;1;0
1408;1625367.195;4842059.1453;29;;castanea;1;0
1409;1625467.195;4842059.1453;29;;castanea;1;0
1410;1625567.195;4842059.1453;29;;castanea;1;0
1464;1625267.195;4841959.1453;29;;castanea;1;0
1518;1624967.195;4841859.1453;29;;castanea;1;0
1520;1625167.195;4841859.1453;29;;castanea;1;0
1522;1625367.195;4841859.1453;29;;castanea;1;0
1574;1624867.195;4841759.1453;29;;castanea;1;0
1575;1624967.195;4841759.1453;29;;castanea;1;0
1576;1625067.195;4841759.1453;29;;castanea;1;0
1577;1625167.195;4841759.1453;29;;castanea;1;0
1580;1625467.195;4841759.1453;29;;castanea;1;0
1581;1625567.195;4841759.1453;29;;castanea;1;0
1634;1625167.195;4841659.1453;29;;castanea;1;0
1635;1625267.195;4841659.1453;29;;castanea;1;0
1636;1625367.195;4841659.1453;29;;castanea;1;0
1637;1625467.195;4841659.1453;29;;castanea;1;0
1638;1625567.195;4841659.1453;29;;castanea;1;0
1639;1625667.195;4841659.1453;29;;castanea;1;0
1640;1625767.195;4841659.1453;29;;castanea;1;0
1691;1625167.195;4841559.1453;29;;castanea;1;0
1692;1625267.195;4841559.1453;29;;castanea;1;0
1693;1625367.195;4841559.1453;29;;castanea;1;0
1694;1625467.195;4841559.1453;29;;castanea;1;0
1695;1625567.195;4841559.1453;29;;castanea;1;0
1696;1625667.195;4841559.1453;29;;castanea;1;0
1697;1625767.195;4841559.1453;29;;castanea;1;0
1698;1625867.195;4841559.1453;29;;castanea;1;0
1748;1625167.195;4841459.1453;29;;castanea;1;0
1749;1625267.195;4841459.1453;29;;castanea;1;0
1751;1625467.195;4841459.1453;29;;castanea;1;0
1753;1625667.195;4841459.1453;29;;castanea;1;0
1754;1625767.195;4841459.1453;29;;castanea;1;0
1802;1624867.195;4841359.1453;29;;castanea;1;0
1803;1624967.195;4841359.1453;29;;castanea;1;0
1804;1625067.195;4841359.1453;29;;castanea;1;0
1805;1625167.195;4841359.1453;29;;castanea;1;0
1806;1625267.195;4841359.1453;29;;castanea;1;0
