2023-04-14-12:02:16;10.47
2023-04-14-12:22:16;10.54
2023-04-14-12:42:15;10.56
2023-04-14-13:02:15;10.57
2023-04-14-13:22:16;10.62
2023-04-14-13:42:15;10.62
2023-04-14-14:02:14;10.65
2023-04-14-14:22:14;10.64
2023-04-14-14:42:14;10.54
2023-04-14-15:02:14;10.54
2023-04-14-15:22:13;10.6
2023-04-14-15:42:14;10.58
2023-04-14-16:02:13;10.62
2023-04-14-16:22:13;10.7
2023-04-14-16:42:13;10.76
2023-04-14-17:02:12;10.82
2023-04-14-17:22:12;10.75
2023-04-14-17:42:12;10.67
