Timestamp;Temp. Ambiente
2023-04-07 10:44:08;9.9
2023-04-07 11:04:08;9.58
2023-04-07 11:24:07;9.39
2023-04-07 11:44:07;9.33
2023-04-07 12:04:07;9.33
2023-04-07 12:24:07;9.33
2023-04-07 12:44:06;9.29
2023-04-07 13:04:06;9.38
2023-04-07 13:24:06;9.39
2023-04-07 13:44:06;9.41
2023-04-07 14:04:06;9.45
2023-04-07 14:24:05;9.45
2023-04-07 14:44:05;9.52
2023-04-07 15:04:05;9.57
2023-04-07 15:24:05;9.58
2023-04-07 15:44:05;9.54
2023-04-07 16:04:04;9.59
2023-04-07 16:24:04;9.62
2023-04-07 16:44:04;9.56
2023-04-07 17:04:04;9.61
2023-04-07 17:24:03;9.65
2023-04-07 17:44:03;9.58
2023-04-07 18:04:03;9.61
2023-04-07 18:24:03;9.63
2023-04-07 18:44:03;9.6
2023-04-07 19:04:02;9.61
2023-04-07 19:24:02;9.55
2023-04-07 19:44:02;9.62
2023-04-07 20:04:02;9.57
2023-04-07 20:24:01;9.58
2023-04-07 20:44:01;9.57
2023-04-07 21:04:01;9.53
2023-04-07 21:24:01;9.52
2023-04-07 21:44:00;9.51
2023-04-07 22:04:00;9.5
2023-04-07 22:24:00;9.42
2023-04-07 22:44:00;9.43
2023-04-07 23:04:00;9.42
2023-04-07 23:23:59;9.42
2023-04-07 23:43:59;9.43
2023-04-08 00:03:59;9.4
2023-04-08 00:23:59;9.42
2023-04-08 00:43:59;9.39
2023-04-08 01:03:58;9.4
2023-04-08 01:23:58;9.37
2023-04-08 01:43:58;9.35
2023-04-08 02:03:58;9.31
2023-04-08 02:23:57;9.29
2023-04-08 02:43:57;9.24
2023-04-08 03:03:57;9.2
2023-04-08 03:23:57;9.21
2023-04-08 03:43:57;9.21
2023-04-08 04:03:56;9.24
2023-04-08 04:23:56;9.25
2023-04-08 05:03:56;9.28
2023-04-08 05:23:55;9.23
2023-04-08 05:43:55;9.23
2023-04-08 06:03:55;9.16
2023-04-08 06:23:55;9.16
2023-04-08 06:43:55;9.17
2023-04-08 07:03:54;9.14
2023-04-08 07:23:54;9.15
2023-04-08 07:43:54;9.19
2023-04-08 08:03:54;9.22
2023-04-08 08:23:53;9.25
2023-04-08 08:43:53;9.34
2023-04-08 09:03:53;9.4
2023-04-08 09:23:53;9.43
2023-04-08 09:43:53;9.46
2023-04-08 10:03:52;9.51
2023-04-08 10:23:52;9.77
2023-04-08 10:43:52;9.85
2023-04-08 11:03:52;9.82
2023-04-08 11:23:51;9.73
2023-04-08 11:43:51;9.7
2023-04-08 12:03:51;9.7
2023-04-08 12:23:51;9.73
2023-04-08 12:43:51;9.81
2023-04-08 13:03:50;9.87
2023-04-08 13:23:50;9.88
2023-04-08 14:03:50;9.97
2023-04-08 14:23:51;9.97
2023-04-08 14:43:49;10.02
2023-04-08 15:03:49;9.85
2023-04-08 15:23:49;9.88
2023-04-08 15:43:49;9.77
2023-04-08 16:03:48;9.6
2023-04-08 16:23:48;9.58
2023-04-08 16:43:48;9.51
2023-04-08 17:03:48;9.54
2023-04-08 17:23:47;9.57
2023-04-08 17:43:47;9.58
2023-04-08 18:23:47;9.61
2023-04-08 18:43:47;9.6
2023-04-08 19:03:46;9.55
2023-04-08 20:03:46;9.58
2023-04-08 20:23:45;9.54
2023-04-08 20:43:45;9.52
2023-04-08 21:23:45;9.45
2023-04-08 21:43:45;9.38
2023-04-08 22:23:44;9.29
2023-04-08 22:43:44;9.26
2023-04-08 23:03:44;9.23
2023-04-08 23:23:43;9.22
2023-04-08 23:43:43;9.21
2023-04-09 00:03:43;9.24
2023-04-09 00:23:43;9.26
2023-04-09 00:43:43;9.26
2023-04-09 01:23:42;9.25
2023-04-09 01:43:42;9.28
2023-04-09 02:23:42;9.3
2023-04-09 02:43:41;9.34
2023-04-09 03:03:41;9.36
2023-04-09 03:23:41;9.36
2023-04-09 03:43:41;9.37
2023-04-09 04:03:40;9.4
2023-04-09 04:23:40;9.35
2023-04-09 05:03:40;9.41
2023-04-09 05:43:39;9.39
2023-04-09 06:03:39;9.41
2023-04-09 06:23:39;9.43
2023-04-09 06:43:39;9.43
2023-04-09 07:03:38;9.45
2023-04-09 07:23:38;9.43
2023-04-09 07:43:38;9.41
2023-04-09 08:03:38;9.42
2023-04-09 08:23:37;9.43
2023-04-09 08:43:37;9.43
2023-04-09 09:23:37;9.43
2023-04-09 09:43:37;9.45
2023-04-09 10:03:36;9.47
2023-04-09 10:23:36;9.5
2023-04-09 10:43:36;9.47
2023-04-09 11:03:36;9.47
2023-04-09 11:23:36;9.47
2023-04-09 11:43:35;9.58
2023-04-09 12:03:35;9.77
2023-04-09 12:23:35;9.85
2023-04-09 12:43:35;9.68
2023-04-09 13:03:34;9.64
2023-04-09 13:23:34;9.62
2023-04-09 13:43:34;9.62
2023-04-09 14:03:34;9.6
2023-04-09 14:23:34;9.63
2023-04-09 14:43:33;9.61
2023-04-09 15:03:33;9.61
2023-04-09 15:23:33;9.57
2023-04-09 15:43:33;9.64
2023-04-09 16:03:32;9.59
2023-04-09 16:23:32;9.66
2023-04-09 16:43:32;9.64
2023-04-09 17:03:32;9.64
2023-04-09 17:23:32;9.7
2023-04-09 17:43:31;9.7
2023-04-09 18:03:31;9.68
2023-04-09 18:23:31;9.7
2023-04-09 18:43:31;9.66
2023-04-09 19:23:30;9.62
2023-04-09 20:03:30;9.7
2023-04-09 20:23:30;9.67
2023-04-09 20:43:29;9.7
2023-04-09 21:23:29;9.69
2023-04-09 21:43:29;9.7
2023-04-09 22:03:29;9.58
2023-04-09 22:23:28;9.55
2023-04-09 22:43:28;9.65
2023-04-09 23:03:28;9.58
2023-04-09 23:23:28;9.56
2023-04-09 23:43:27;9.58
2023-04-10 00:03:27;9.66
2023-04-10 00:23:27;9.61
2023-04-10 00:43:27;9.69
2023-04-10 01:03:27;9.63
2023-04-10 01:23:26;9.69
2023-04-10 01:43:26;9.63
2023-04-10 02:03:26;9.57
2023-04-10 02:23:26;9.64
2023-04-10 02:43:25;9.61
2023-04-10 03:03:25;9.61
2023-04-10 03:23:25;9.61
2023-04-10 04:03:25;9.56
2023-04-10 04:23:24;9.49
2023-04-10 05:03:25;9.47
2023-04-10 05:23:24;9.47
2023-04-10 05:43:23;9.49
2023-04-10 06:03:23;9.45
2023-04-10 06:23:23;9.45
2023-04-10 07:03:22;9.44
2023-04-10 07:23:22;9.45
2023-04-10 07:43:22;9.43
2023-04-10 08:03:23;9.49
2023-04-10 08:23:22;9.48
2023-04-10 08:43:21;9.45
2023-04-10 09:03:21;9.49
2023-04-10 10:23:20;9.85
2023-04-10 10:43:20;10.54
2023-04-10 11:03:20;10.06
2023-04-10 11:23:20;9.85
2023-04-10 11:43:19;9.98
2023-04-10 12:03:19;10.17
2023-04-10 12:23:19;9.97
2023-04-10 12:43:19;9.88
2023-04-10 13:03:19;9.65
2023-04-10 13:23:18;9.61
2023-04-10 13:43:18;9.61
2023-04-10 14:03:18;9.53
2023-04-10 14:23:18;9.52
2023-04-10 14:43:17;9.51
2023-04-10 15:03:17;9.58
2023-04-10 15:23:17;9.54
2023-04-10 15:43:17;9.56
2023-04-10 16:03:17;9.62
2023-04-10 16:23:16;9.63
2023-04-10 16:43:16;9.63
2023-04-10 17:03:16;9.6
2023-04-10 17:23:16;9.64
2023-04-10 17:43:15;9.61
2023-04-10 18:03:15;9.61
2023-04-10 18:23:15;9.62
2023-04-10 18:43:15;9.66
2023-04-10 19:03:15;9.65
2023-04-10 19:23:14;9.62
2023-04-10 19:43:14;9.56
2023-04-10 20:03:14;9.58
2023-04-10 20:23:14;9.62
2023-04-10 20:43:13;9.62
2023-04-10 21:03:13;9.66
2023-04-10 21:23:13;9.62
2023-04-10 21:43:13;9.6
2023-04-10 22:03:13;9.54
2023-04-10 22:23:12;9.52
2023-04-10 22:43:12;9.53
2023-04-10 23:03:12;9.54
2023-04-10 23:23:12;9.5
2023-04-10 23:43:11;9.51
2023-04-11 00:03:11;9.53
2023-04-11 00:23:11;9.5
2023-04-11 00:43:11;9.49
2023-04-11 01:03:11;9.5
2023-04-11 01:23:10;9.48
2023-04-11 01:43:10;9.44
2023-04-11 02:03:10;9.46
2023-04-11 02:23:10;9.38
2023-04-11 02:43:10;9.41
2023-04-11 03:03:10;9.45
2023-04-11 03:23:09;9.45
2023-04-11 03:43:09;9.45
2023-04-11 04:03:10;9.49
2023-04-11 04:23:08;9.47
2023-04-11 04:43:08;9.52
2023-04-11 05:03:08;9.57
2023-04-11 05:23:08;9.52
2023-04-11 05:43:08;9.49
2023-04-11 06:03:07;9.53
2023-04-11 06:23:07;9.54
2023-04-11 06:43:07;9.55
2023-04-11 07:03:07;9.52
2023-04-11 07:23:06;9.46
2023-04-11 07:43:06;9.52
2023-04-11 08:03:06;9.51
2023-04-11 08:23:06;9.54
2023-04-11 08:43:06;9.54
2023-04-11 09:03:05;9.56
2023-04-11 09:23:05;9.63
2023-04-11 09:43:05;9.61
2023-04-11 10:03:05;9.64
