542584 5032164 -1747
481536 5043001 -6666.1
577378 5050285 -3323.9
543856 5037072 -6461
544210 5038919 -5820.5
403880 4959663 -3793.6
564208 4983518 -3808.2
540070 5032725 -2350.3
385456 4956442 -3081.8
616306 4974986 -5431
481812 5041223 -6596
477546 5014218 -5801
627094 4964123 -6506
532705 4991366 -4006.9
388993 4951258 -2509.15
438864 4979277 -2296
518692 4956784 -2026
572938 4922264 -5656
548512 4970426 -5317.85
446247 5017428 -3389.25
483455 5033252 -6549
479244 5036775 -6169
501645 5020644 -5325.2
504355 5022945 -4999.8
448325 5016578 -5791.6
412731 4995280 -1375.4
499139 4969065 -2654.5
501982 4970698 -1853.25
517630 5000560 -6004
585563 4982857 -5968
626449 4945775 -2251.5
630058 4947713 -1904.55
580858 4982073 -3406.5
534301 5069155 -3746.4
469919 5065633 -3278.2
574071 5042956 -6829.95
565144 5037890 -7164.2
553920 5018096 -2593
510262 5016708 -5098.1
405981 5010221 -2696.3
530001 5007294 -1541.2
453936 5010779 -3457.6
530835 5000400 -1171.35
562052 5025715 -2116.9
453670 5003393 -2321.35
473070 4994438 -5698
551410 5038385 -7091.4
515158 5008441 -6133.3
596291 4947144 -1849
591253 4950226 -1928.9
596033 4948506 -3084.9
606080 4939075 -1486
612040 4941953 -2280.55
593216 4943243 -2247
600803 4942513 -2734.8
589101 5015517 -3706.85
590432 5019491 -2805.7
582934 5019255 -2471.4
576210 5004148 -3050.6
487536 5040842 -3032.5
528557 5045094 -4801
505468 5012625 -5428.1
578288 4962076 -3320.75
571003 4979934 -2052.7
581785 4987907 -2674.65
426075 5027465 -1932
434462 5035328 -1787
459140 5044740 -1494.6
629382 4927931 -1505.5
631573 4937565 -1182.7
629244 5009697 -5306.5
597696 5035857 -2756.9
620605 4913550 -3223
601735 5025397 -6695.05
506541 5037256 -4491
511434 5044651 -1500.3
599343 4998101 -3415.95
508187 4984755 -2501
577907 5016313 -2101.3
536415 5029070 -3112.15
574383 5033137 -2999.7
559317 5028477 -1696.5
526651 5038120 -2951.7
537242 5015010 -2753.2
564756 5001699 -2555.15
485470 4956706 -1695.2
447930 5007637 -1196.65
544087 5038574 -6166
551209 5044783 -6493.05
540929 5013566 -2512.65
545880 5012289 -1686.3
