X;Y;Z;T
;;; 
R+;R+;D;R
;;; 
x_coordinate;y_coordinate;depth;temperature
;;; 
565144;5037890;-2973;85
565144;5037890;-4379;117
565144;5037890;-4568;126
565144;5037890;-5938;145
565144;5037890;-6947;174
565144;5037890;-7126;177
