X;Y;Z;cat;ID
m;m;m;; 
R;R;A;K;V
;;;; 
xcoord;ycoord;absolute_depth;category;id_survey
;;;; 
1493270.75;4922455.50;-40.05;5;3149
1493270.75;4922455.50;-50.05;5;3149
1493276.75;4922455.00;59.43;5;3150
1493276.75;4922455.00;49.43;5;3150
1493276.75;4922455.00;39.43;5;3150
1493276.75;4922455.00;29.43;5;3150
1493276.75;4922455.00;19.43;5;3150
1493276.75;4922455.00;9.43;5;3150
1493276.75;4922455.00;-0.57;5;3150
1493276.75;4922455.00;-10.57;5;3150
1493276.75;4922455.00;-20.57;5;3150
1493276.75;4922455.00;-30.57;5;3150
1493276.75;4922455.00;-40.57;5;3150
1493276.75;4922455.00;-50.57;5;3150
1493281.75;4922454.50;59.30;5;3151
1493281.75;4922454.50;49.30;5;3151
1493281.75;4922454.50;39.30;5;3151
1493281.75;4922454.50;29.30;5;3151
1493281.75;4922454.50;19.30;5;3151
1493281.75;4922454.50;9.30;5;3151
1493281.75;4922454.50;-0.70;5;3151
1493281.75;4922454.50;-10.70;5;3151
1493281.75;4922454.50;-20.70;5;3151
1493281.75;4922454.50;-30.70;5;3151
1493281.75;4922454.50;-40.70;5;3151
1493281.75;4922454.50;-50.70;5;3151
1493288.75;4922454.50;59.43;5;3152
1493288.75;4922454.50;49.43;5;3152
1493288.75;4922454.50;39.43;5;3152
1493288.75;4922454.50;29.43;5;3152
1493288.75;4922454.50;19.43;5;3152
1493288.75;4922454.50;9.43;5;3152
1493288.75;4922454.50;-0.57;5;3152
1493288.75;4922454.50;-10.57;5;3152
1493288.75;4922454.50;-20.57;5;3152
1493288.75;4922454.50;-30.57;5;3152
1493288.75;4922454.50;-40.57;5;3152
1493288.75;4922454.50;-50.57;5;3152
1493292.88;4922455.00;59.49;5;3153
1493292.88;4922455.00;49.49;5;3153
1493292.88;4922455.00;39.49;5;3153
1493292.88;4922455.00;29.49;5;3153
1493292.88;4922455.00;19.49;5;3153
1493292.88;4922455.00;9.49;5;3153
1493292.88;4922455.00;-0.51;5;3153
1493292.88;4922455.00;-10.51;5;3153
1493292.88;4922455.00;-20.51;5;3153
1493292.88;4922455.00;-30.51;5;3153
1493292.88;4922455.00;-40.51;5;3153
1493292.88;4922455.00;-50.51;5;3153
1493296.38;4922456.00;59.65;5;3154
1493296.38;4922456.00;49.65;5;3154
1493296.38;4922456.00;39.65;5;3154
1493296.38;4922456.00;29.65;5;3154
1493296.38;4922456.00;19.65;5;3154
1493296.38;4922456.00;9.65;5;3154
1493296.38;4922456.00;-0.35;5;3154
1493296.38;4922456.00;-10.35;5;3154
1493296.38;4922456.00;-20.35;5;3154
1493296.38;4922456.00;-30.35;5;3154
1493296.38;4922456.00;-40.35;5;3154
1493296.38;4922456.00;-50.35;5;3154
1493304.88;4922458.50;60.02;5;3155
1493304.88;4922458.50;50.02;5;3155
1493304.88;4922458.50;40.02;5;3155
1493304.88;4922458.50;30.02;5;3155
1493304.88;4922458.50;20.02;5;3155
1493304.88;4922458.50;10.02;5;3155
1493304.88;4922458.50;0.02;5;3155
1493304.88;4922458.50;-9.98;5;3155
1493304.88;4922458.50;-19.98;5;3155
1493304.88;4922458.50;-29.98;5;3155
1493304.88;4922458.50;-39.98;5;3155
1493304.88;4922458.50;-49.98;5;3155
1493302.50;4922455.50;59.19;5;3156
1493302.50;4922455.50;49.19;5;3156
1493302.50;4922455.50;39.19;5;3156
1493302.50;4922455.50;29.19;5;3156
1493302.50;4922455.50;19.19;5;3156
1493302.50;4922455.50;9.19;5;3156
1493302.50;4922455.50;-0.81;5;3156
1493302.50;4922455.50;-10.81;5;3156
1493302.50;4922455.50;-20.81;5;3156
1493302.50;4922455.50;-30.81;5;3156
1493302.50;4922455.50;-40.81;5;3156
1493302.50;4922455.50;-50.81;5;3156
1493300.62;4922452.50;58.69;5;3157
1493300.62;4922452.50;48.69;5;3157
1493300.62;4922452.50;38.69;5;3157
1493300.62;4922452.50;28.69;5;3157
1493300.62;4922452.50;18.69;5;3157
1493300.62;4922452.50;8.69;5;3157
1493300.62;4922452.50;-1.31;5;3157
1493300.62;4922452.50;-11.31;5;3157
1493300.62;4922452.50;-21.31;5;3157
1493300.62;4922452.50;-31.31;5;3157
1493300.62;4922452.50;-41.31;5;3157
1493300.62;4922452.50;-51.31;5;3157
