X;Y;Z;CO2;lCO2;T
m;m;m;[mol/m2];[mol/m2];Celsius
R+;R+;A;R+;R;R+
;;;;; 
relative_X;relative_Y;height;flux;Log_flux;temperature
;;arbitrary 0;;; 
200;400;0;12.3;1.09;26.4
200;375;0;66.9;1.83;38.4
200;350;0;187;2.27;65.4
200;325;0;44.1;1.64;45.2
200;300;0;95.9;1.98;46.8
200;275;0;151;2.18;66.4
200;250;0;1550;3.19;54.8
200;225;0;89.8;1.95;42.4
200;175;0;14.8;1.17;27.6
200;150;0;19.7;1.30;28.6
200;125;0;11.0;1.04;28.2
200;100;0;18.1;1.26;29.6
200;75;0;2.35;0.37;33.6
225;600;0;2.52;0.40;26.8
225;575;0;0.928;-0.03;27.8
225;550;0;1.05;0.02;28.8
225;525;0;2.78;0.44;27.5
225;500;0;0.663;-0.18;28.2
225;475;0;957;2.98;59.2
225;450;0;70.6;1.85;38.2
225;425;0;94.5;1.98;28.0
225;400;0;48.4;1.68;25.5
225;375;0;44.7;1.65;26.2
225;350;0;11.1;1.05;35.2
225;325;0;159;2.20;53.8
225;300;0;211;2.32;69.5
225;275;0;466;2.67;77.7
225;250;0;102;2.01;40.5
225;225;0;47.6;1.68;27.5
225;175;0;7.10;0.85;27.8
225;150;0;1.86;0.27;28.0
225;125;0;3.13;0.50;29.3
225;100;0;18.3;1.26;29.7
225;75;0;7.35;0.87;37.5
250;600;0;3.45;0.54;28.6
250;575;0;2.65;0.42;28.8
250;550;0;1.46;0.16;27.6
250;525;0;2.25;0.35;27.8
250;500;0;3.18;0.50;27.0
250;475;0;140;2.15;67.4
250;450;0;98.4;1.99;42.3
250;425;0;147;2.17;30.2
250;400;0;82.5;1.92;26.6
250;375;0;42.7;1.63;37.9
250;350;0;41.6;1.62;37.2
250;325;0;686;2.84;99.8
250;300;0;334;2.52;83.7
250;275;0;69.2;1.84;45.6
250;250;0;1.33;0.12;29.8
250;175;0;1.34;0.13;27.5
250;150;0;1.89;0.28;29.4
250;125;0;6.25;0.80;27.4
250;100;0;13.6;1.14;28.8
250;75;0;17.9;1.25;39.6
275;600;0;2.25;0.35;31.9
275;575;0;0.928;-0.03;27.6
275;550;0;3.18;0.50;28.1
275;525;0;0.265;-0.58;28.0
275;500;0;0.265;-0.58;27.1
275;450;0;276;2.44;61.1
275;425;0;80.7;1.91;43.2
275;400;0;95.4;1.98;43.3
275;375;0;70.8;1.85;45.3
275;350;0;207;2.32;97.3
275;325;0;6175;3.79;88.8
275;300;0;1550;3.19;68.5
275;275;0;242;2.38;40
275;200;0;2.41;0.38;28.9
275;175;0;0.787;-0.10;28.5
275;150;0;0.265;-0.58;28.3
275;125;0;2.17;0.34;26.8
275;100;0;36.0;1.56;30.2
275;75;0;30.6;1.49;35.3
300;600;0;2.92;0.46;31.2
300;575;0;6.36;0.80;29.8
300;550;0;3.71;0.57;30.1
300;525;0;2.12;0.33;30.0
300;500;0;4.24;0.63;28.5
300;450;0;84.1;1.92;45.2
300;425;0;164;2.22;47.6
300;400;0;148;2.17;51.6
300;375;0;121;2.08;70.6
300;350;0;92.6;1.97;48.8
300;325;0;8.08;0.91;32.1
300;300;0;110;2.04;38.2
300;200;0;4.33;0.64;29.6
300;175;0;2.69;0.43;29.6
300;150;0;2.25;0.35;28.4
300;125;0;22.4;1.35;26.5
300;100;0;20.7;1.32;28.1
300;75;0;82.7;1.92;40.5
325;600;0;23.1;1.36;32.0
325;575;0;2.39;0.38;29.3
325;550;0;1.21;0.08;31.3
325;525;0;0.530;-0.28;31.8
325;500;0;3.98;0.60;29.1
325;475;0;4.24;0.63;28.2
325;400;0;663;2.82;49.2
325;375;0;5.04;0.70;32.9
325;275;0;1.02;0.01;28.9
325;250;0;1.64;0.22;30.0
325;225;0;0.822;-0.09;29.8
325;200;0;13.3;1.12;28.7
325;175;0;1.35;0.13;31.0
325;150;0;3.55;0.55;29.9
325;125;0;31.8;1.50;27.6
325;100;0;23.7;1.38;27.1
325;75;0;4.92;0.69;39.8
