Team;point;x_utm;y_utm;CO2_flux
Carlo-Marco-Argent;A0;419071.51363707;5114978.77795917;126.5402
Carlo-Marco-Argent;A1;419071.930258858;5114975.54860197;74.21795999999999
Carlo-Marco-Argent;A2;419072.220057441;5114968.09356958;38.17533
Carlo-Marco-Argent;A3;419071.538339703;5114962.99841464;47.41703
Carlo-Marco-Argent;A4;419072.336701252;5114953.4307696;49.97627
Carlo-Marco-Argent;A5;419070.050136262;5114949.79037582;45.497600000000006
Carlo-Marco-Argent;A6;419069.248786516;5114947.91065417;88.93359
Carlo-Marco-Argent;A7;419069.816590356;5114938.01044434;125.68712
Carlo-Marco-Argent;A8;419070.755307354;5114933.10836689;680.3313
Carlo-Marco-Argent;A9;419066.635848156;5114924.93700155;219.17047
Carlo-Marco-Argent;A10;419070.350526675;5114920.11050007;81.39805
Carlo-Marco-Argent;A11;419074.415167004;5114918.2865318;89.99994
Carlo-Marco-Argent;A12;419072.497825633;5114907.30229699;439.62056
Carlo-Marco-Argent;A13;419078.133380983;5114901.45249297;146.23213
Carlo-Marco-Argent;A14;419075.745360653;5114896.03426046;108.0568
Carlo-Marco-Argent;A15;419110.464590302;5114941.70328826;230.61595999999997
Carlo-Marco-Argent;A16;419117.712250502;5114929.04114284;29.786710000000003
Carlo-Marco-Argent;A17;419108.334248664;5114926.39004481;56.30328
Carlo-Marco-Argent;A18;419114.703398675;5114917.7545866;31.492869999999996
Carlo-Marco-Argent;A19;419110.366087424;5114916.58275418;23.67297
Carlo-Marco-Argent;A20;419117.227890685;5114904.15907411;31.77723
Carlo-Marco-Argent;A21;419120.344650657;5114894.67307687;58.507070000000006
Carlo-Marco-Argent;A22;419115.923843585;5114887.17687693;49.905179999999994
Carlo-Marco-Argent;A23;419119.306335798;5114886.12651154;28.436
Carlo-Marco-Argent;A24;419119.743787269;5114878.56618513;71.44545000000001
Carlo-Marco-Argent;A25;419120.457552993;5114874.3371943;51.82461
Carlo-Marco-Argent;A26;419124.644611949;5114869.50338172;70.30801000000001
Carlo-Marco-Argent;A27;419125.064371849;5114860.60196211;40.87675
Carlo-Marco-Argent;A28;419129.876095215;5114856.54225749;49.26537
Carlo-Marco-Argent;A29;419123.913731417;5114849.39311601;131.16105
Carlo-Marco-Argent;A30;419124.140664497;5114837.16926097;64.47863
Carlo-Marco-Argent;A31;419116.743022546;5114820.81758217;58.36489
Carlo-Marco-Argent;A32;419129.289814164;5114823.87472589;74.07578
Carlo-Marco-Argent;A33;419141.602036654;5114826.8227499;32.91467
Carlo-Marco-Argent;A34;419145.205262957;5114824.77265986;42.93836
Carlo-Marco-Argent;A35;419152.640853067;5114821.01396314;17.84359
Carlo-Marco-Argent;A36;419161.516242339;5114820.89687115;35.473910000000004
Carlo-Marco-Argent;A37;419167.576378201;5114818.25540418;42.01419
Carlo-Marco-Argent;A38;419069.905515048;5114874.66903355;30.071070000000002
Carlo-Marco-Argent;A39;419066.698495567;5114883.16053352;20.33174
Carlo-Marco-Argent;A40;419062.579367048;5114886.76329111;41.872009999999996
Carlo-Marco-Argent;A41;419062.160776927;5114896.21367988;40.80566
Carlo-Marco-Argent;A42;419064.523752638;5114905.63732998;51.113710000000005
Carlo-Marco-Argent;A43;419055.063241716;5114913.86582727;123.90987
Carlo-Marco-Argent;A44;419050.490717465;5114918.37917392;97.89093
Carlo-Marco-Argent;A45;419048.153222347;5114922.62962555;40.80566
Carlo-Marco-Argent;A46;419043.831946217;5114928.57322348;57.29854
Carlo-Marco-Argent;A47;419043.301243078;5114940.81110246;31.279600000000002
Carlo-Marco-Argent;A48;419043.412721202;5114949.24877269;56.161100000000005
Carlo-Marco-Argent;A49;419042.624139826;5114953.71102284;33.62557
Carlo-Marco-Argent;A50;419040.156527629;5114959.85461455;37.53552
Carlo-Marco-Argent;A51;419038.985541635;5114964.75976653;38.81514
Carlo-Marco-Argent;A52;419036.738417692;5114970.00585743;46.99049
Carlo-Marco-Argent;A53;419033.97560061;5114976.82346117;55.236929999999994
Carlo-Marco-Argent;A54;419033.733795458;5114976.16543815;45.284330000000004
Mauro-RMeato-atias;D0;419092.346784989;5114990.05248548;93.212
Mauro-RMeato-atias;D1;419093.971481899;5114984.25565497;332.2342
Mauro-RMeato-atias;D10;419096.913368348;5114932.65070149;362.86100000000005
Mauro-RMeato-atias;D11;419099.560430185;5114928.28394166;51.266600000000004
Mauro-RMeato-atias;D12;419109.467177086;5114918.59716623;95.8752
Mauro-RMeato-atias;D13;419107.641301695;5114915.06291765;65.2484
Mauro-RMeato-atias;D14;419107.144942613;5114906.4069605;171.1106
Mauro-RMeato-atias;D15;419113.206694664;5114897.99003864;43.277
Mauro-RMeato-atias;D16;419115.309690308;5114893.63046842;50.6008
Mauro-RMeato-atias;D17;419114.63513058;5114889.07530267;77.2328
Mauro-RMeato-atias;D18;419115.79919446;5114877.73366473;44.6086
Mauro-RMeato-atias;D19;419119.099564047;5114870.46115703;62.58520000000001
Mauro-RMeato-atias;D2;419096.780401525;5114986.77120183;147.8076
Mauro-RMeato-atias;D20;419115.45693269;5114863.61701504;70.5748
Mauro-RMeato-atias;D21;419115.762737244;5114857.8376022;163.78680000000003
Mauro-RMeato-atias;D22;419115.619022952;5114846.9499646;251.67239999999998
Mauro-RMeato-atias;D23;419130.293902215;5114841.64323059;46.606
Mauro-RMeato-atias;D24;419131.095755382;5114849.41056922;33.55632
Mauro-RMeato-atias;D25;419132.806500361;5114856.50358426;32.6242
Mauro-RMeato-atias;D26;419133.853031232;5114859.82475555;29.961000000000002
Mauro-RMeato-atias;D27;419136.407809121;5114866.12539593;21.305600000000002
Mauro-RMeato-atias;D28;419135.961199662;5114873.46136066;44.6086
Mauro-RMeato-atias;D29;419133.601057549;5114881.3826684;29.961000000000002
Mauro-RMeato-atias;D3;419093.359421405;5114973.15194056;61.91940000000001
Mauro-RMeato-atias;D30;419131.484119586;5114884.74558836;35.9532
Mauro-RMeato-atias;D31;419132.267073722;5114897.51509501;52.598200000000006
Mauro-RMeato-atias;D32;419128.689353037;5114907.34277919;2203.7980000000002
Mauro-RMeato-atias;D33;419125.602869546;5114913.15778021;1014.0134000000002
Mauro-RMeato-atias;D34;419122.840636013;5114920.08757275;204.4006
Mauro-RMeato-atias;D35;419118.799318945;5114929.58577304;1904.188
Mauro-RMeato-atias;D4;419096.687626313;5114967.99383635;139.818
Mauro-RMeato-atias;D5;419098.216102235;5114960.75471128;87.2198
Mauro-RMeato-atias;D6;419102.45797727;5114954.69996005;74.5696
Mauro-RMeato-atias;D7;419106.463014807;5114948.30383859;42.611200000000004
Mauro-RMeato-atias;D8;419094.996817028;5114951.12898765;309.59700000000004
Mauro-RMeato-atias;D9;419096.348730673;5114942.32638509;31.9584
