rank;LName;X;Y;Z;facies;Porosity;P
;;m;m;m;;;
N;N;R+;R+;D;K;R;R+
;;;;;;;
;;;;;;;
;;;;;;;Normal score
622;7;315;865;-1024.25;4;0.01;-1.873804
623;7;315;865;-1024.75;4;0.01;-1.866033
624;7;315;865;-1025.25;4;0.01;-1.858373
625;7;315;865;-1025.75;4;0.01;-1.850821
626;7;315;865;-1026.25;4;0.01;-1.843373
627;7;315;865;-1026.75;3;0.19;-0.4584418
628;7;315;865;-1027.25;3;0.2;-0.2687501
629;7;315;865;-1027.75;3;0.2;-0.2673477
630;7;315;865;-1028.25;2;0.27;0.4569381
631;7;315;865;-1028.75;1;0.4;1.694861
632;7;315;865;-1029.25;1;0.41;1.889693
633;7;315;865;-1029.75;1;0.39;1.513896
634;7;315;865;-1030.25;2;0.28;0.522604
635;7;315;865;-1030.75;2;0.27;0.4584418
636;7;315;865;-1031.25;2;0.27;0.4599466
637;7;315;865;-1031.75;2;0.26;0.3990582
638;7;315;865;-1032.25;2;0.24;0.2926772
639;7;315;865;-1032.75;2;0.23;0.2282866
640;7;315;865;-1033.25;2;0.22;0.1129963
641;7;315;865;-1033.75;2;0.21;-0.0817742
642;7;315;865;-1034.25;2;0.21;-0.08041898
643;7;315;865;-1034.75;2;0.2;-0.2659458
644;7;315;865;-1035.25;3;0.21;-0.07906392
645;7;315;865;-1035.75;3;0.19;-0.4569381
646;7;315;865;-1036.25;3;0.19;-0.4554354
647;7;315;865;-1036.75;4;0.01;-1.836025
648;7;315;865;-1037.25;4;0.01;-1.828775
649;7;315;865;-1037.75;4;0.01;-1.82162
650;7;315;865;-1038.25;4;0.01;-1.814557
651;7;315;865;-1038.75;4;0.01;-1.807584
652;7;315;865;-1039.25;4;0.01;-1.800697
653;7;315;865;-1039.75;4;0.01;-1.793894
654;7;315;865;-1040.25;4;0.01;-1.787173
655;7;315;865;-1040.75;4;0.01;-1.780532
656;7;315;865;-1041.25;4;0.01;-1.773969
657;7;315;865;-1041.75;3;0.2;-0.2645444
658;7;315;865;-1042.25;3;0.21;-0.07770903
659;7;315;865;-1042.75;2;0.29;0.5809686
660;7;315;865;-1043.25;2;0.3;0.6397268
661;7;315;865;-1043.75;1;0.37;1.210226
662;7;315;865;-1044.25;1;0.37;1.213047
663;7;315;865;-1044.75;2;0.33;0.7976685
664;7;315;865;-1045.25;1;0.34;0.8865188
665;7;315;865;-1045.75;2;0.34;0.8885275
666;7;315;865;-1046.25;2;0.34;0.8905397
667;7;315;865;-1046.75;3;0.2;-0.2631436
668;7;315;865;-1047.25;3;0.21;-0.07635431
669;7;315;865;-1047.75;3;0.21;-0.07499974
670;7;315;865;-1048.25;3;0.21;-0.07364533
671;7;315;865;-1048.75;3;0.21;-0.07229108
672;8;315;985;-998.75;2;0.27;0.4614524
673;8;315;985;-999.25;3;0.2;-0.2617433
674;8;315;985;-999.75;4;0.01;-1.767481
675;8;315;985;-1000.25;3;0.18;-0.6380654
676;8;315;985;-1000.75;3;0.18;-0.6364057
677;8;315;985;-1001.25;3;0.19;-0.4539337
678;8;315;985;-1001.75;3;0.19;-0.4524331
679;8;315;985;-1002.25;3;0.19;-0.4509335
680;8;315;985;-1002.75;1;0.36;1.089575
681;8;315;985;-1003.25;1;0.34;0.8925556
682;8;315;985;-1003.75;1;0.35;0.9764149
683;8;315;985;-1004.25;1;0.37;1.215878
684;8;315;985;-1004.75;2;0.24;0.2940899
685;8;315;985;-1005.25;1;0.38;1.338246
686;8;315;985;-1005.75;1;0.38;1.341568
687;8;315;985;-1006.25;1;0.39;1.518167
688;8;315;985;-1006.75;1;0.39;1.522466
689;8;315;985;-1007.25;1;0.38;1.344905
690;8;315;985;-1007.75;1;0.37;1.218719
691;8;315;985;-1008.25;1;0.37;1.22157
692;8;315;985;-1008.75;1;0.37;1.22443
693;8;315;985;-1009.25;1;0.37;1.227301
694;8;315;985;-1009.75;1;0.36;1.092031
695;8;315;985;-1010.25;1;0.37;1.230182
696;8;315;985;-1010.75;1;0.36;1.094493
697;8;315;985;-1011.25;1;0.36;1.096962
698;8;315;985;-1011.75;1;0.36;1.099437
699;8;315;985;-1012.25;1;0.38;1.348257
700;8;315;985;-1012.75;1;0.39;1.526793
701;8;315;985;-1013.25;1;0.4;1.700578
702;8;315;985;-1013.75;3;0.2;-0.2603435
703;8;315;985;-1014.25;3;0.19;-0.4494349
704;8;315;985;-1014.75;4;0.01;-1.761066
705;8;315;985;-1015.25;3;0.2;-0.2589442
706;8;315;985;-1015.75;3;0.2;-0.2575455
707;8;315;985;-1016.25;2;0.26;0.4005248
708;8;315;985;-1016.75;2;0.26;0.4019922
709;8;315;985;-1017.25;2;0.26;0.4034605
710;8;315;985;-1017.75;2;0.26;0.4049297
711;8;315;985;-1018.25;2;0.25;0.3339005
712;8;315;985;-1018.75;3;0.19;-0.4479374
713;8;315;985;-1019.25;3;0.19;-0.4464408
714;8;315;985;-1019.75;3;0.19;-0.4449453
715;8;315;985;-1020.25;3;0.18;-0.6347477
716;8;315;985;-1020.75;3;0.18;-0.6330915
717;8;315;985;-1021.25;4;0.01;-1.754723
718;8;315;985;-1021.75;4;0.01;-1.74845
719;8;315;985;-1022.25;4;0.01;-1.742245
720;8;315;985;-1022.75;4;0.01;-1.736106
721;8;315;985;-1023.25;4;0.01;-1.730032
722;8;315;985;-1023.75;4;0.01;-1.724021
723;8;315;985;-1024.25;4;0.01;-1.718071
724;8;315;985;-1024.75;4;0.01;-1.712182
725;8;315;985;-1025.25;3;0.19;-0.4434507
726;8;315;985;-1025.75;3;0.19;-0.4419572
727;8;315;985;-1026.25;3;0.19;-0.4404646
728;8;315;985;-1026.75;3;0.19;-0.4389731
729;8;315;985;-1027.25;3;0.19;-0.4374825
730;8;315;985;-1027.75;3;0.19;-0.4359929
731;8;315;985;-1028.25;3;0.19;-0.4345043
732;8;315;985;-1028.75;3;0.19;-0.4330166
733;8;315;985;-1029.25;3;0.18;-0.6314371
734;8;315;985;-1029.75;3;0.19;-0.4315299
735;8;315;985;-1030.25;2;0.27;0.4629593
736;8;315;985;-1030.75;3;0.19;-0.4300442
737;8;315;985;-1031.25;2;0.25;0.3353319
738;8;315;985;-1031.75;2;0.24;0.2955032
739;8;315;985;-1032.25;3;0.18;-0.6297844
740;8;315;985;-1032.75;3;0.19;-0.4285594
741;8;315;985;-1033.25;3;0.18;-0.6281334
742;8;315;985;-1033.75;3;0.18;-0.6264841
743;8;315;985;-1034.25;2;0.18;-0.6248365
744;8;315;985;-1034.75;3;0.18;-0.6231906
745;8;315;985;-1035.25;3;0.17;-0.7902413
746;8;315;985;-1035.75;2;0.18;-0.6215464
747;8;315;985;-1036.25;1;0.36;1.101919
748;8;315;985;-1036.75;1;0.36;1.104408
749;8;315;985;-1037.25;1;0.33;0.7995322
750;8;315;985;-1037.75;1;0.35;0.9785992
751;8;315;985;-1038.25;1;0.35;0.9807882
752;8;315;985;-1038.75;1;0.38;1.351625
753;8;315;985;-1039.25;1;0.38;1.355008
754;8;315;985;-1039.75;1;0.39;1.531149
755;8;315;985;-1040.25;1;0.4;1.706352
756;8;315;985;-1040.75;2;0.24;0.296917
757;8;315;985;-1041.25;2;0.25;0.336764
758;8;315;985;-1041.75;1;0.39;1.535534
759;8;315;985;-1042.25;2;0.27;0.4644672
760;8;315;985;-1042.75;2;0.28;0.5241573
761;9;375;835;-983.75;2;0.29;0.5825729
762;9;375;835;-984.25;2;0.29;0.5841788
763;9;375;835;-984.75;1;0.28;0.5257118
764;9;375;835;-985.25;1;0.29;0.5857863
765;9;375;835;-985.75;1;0.29;0.5873952
766;9;375;835;-986.25;1;0.28;0.5272676
767;9;375;835;-986.75;1;0.28;0.5288247
768;9;375;835;-987.25;1;0.29;0.5890056
769;9;375;835;-987.75;1;0.3;0.64139
770;9;375;835;-988.25;1;0.3;0.643055
771;9;375;835;-988.75;1;0.3;0.6447218
772;9;375;835;-989.25;1;0.29;0.5906176
773;9;375;835;-989.75;1;0.29;0.5922312
774;9;375;835;-990.25;1;0.29;0.5938462
775;9;375;835;-990.75;1;0.29;0.5954629
776;9;375;835;-991.25;1;0.29;0.5970811
777;9;375;835;-991.75;1;0.28;0.5303831
778;9;375;835;-992.25;1;0.29;0.5987008
779;9;375;835;-992.75;1;0.29;0.6003222
780;9;375;835;-993.25;1;0.28;0.5319428
781;9;375;835;-993.75;1;0.29;0.6019451
782;9;375;835;-994.25;1;0.29;0.6035696
783;9;375;835;-994.75;1;0.28;0.5335038
784;9;375;835;-995.25;1;0.29;0.6051957
785;9;375;835;-995.75;1;0.28;0.535066
786;9;375;835;-996.25;1;0.3;0.6463904
787;9;375;835;-996.75;1;0.31;0.6835714
788;9;375;835;-997.25;1;0.33;0.8013987
789;9;375;835;-997.75;1;0.33;0.8032679
790;9;375;835;-998.25;1;0.34;0.8945751
791;9;375;835;-998.75;1;0.35;0.9829819
792;9;375;835;-999.25;1;0.33;0.80514
793;9;375;835;-999.75;1;0.34;0.8965983
794;9;375;835;-1000.25;1;0.35;0.9851804
795;9;375;835;-1000.75;1;0.38;1.358406
796;9;375;835;-1001.25;1;0.38;1.36182
797;9;375;835;-1001.75;1;0.42;2.049085
798;9;375;835;-1002.25;1;0.41;1.89782
799;9;375;835;-1002.75;2;0.27;0.4659762
800;9;375;835;-1003.25;2;0.28;0.5366297
801;9;375;835;-1003.75;1;0.43;2.443102
802;9;375;835;-1004.25;1;0.44;2.751475
803;9;375;835;-1004.75;3;0.17;-0.7883913
804;9;375;835;-1005.25;3;0.17;-0.7865441
805;9;375;835;-1005.75;3;0.18;-0.6199039
806;9;375;835;-1006.25;4;0.01;-1.706352
807;9;375;835;-1006.75;4;0.01;-1.700578
808;9;375;835;-1007.25;3;0.18;-0.6182631
809;9;375;835;-1007.75;3;0.19;-0.4270756
810;9;375;835;-1008.25;3;0.19;-0.4255927
811;9;375;835;-1008.75;3;0.19;-0.4241108
812;9;375;835;-1009.25;3;0.19;-0.4226298
813;9;375;835;-1009.75;3;0.19;-0.4211498
814;9;375;835;-1010.25;2;0.25;0.3381968
815;9;375;835;-1010.75;3;0.19;-0.4196707
816;9;375;835;-1011.25;3;0.19;-0.4181925
817;9;375;835;-1011.75;3;0.2;-0.2561472
818;9;375;835;-1012.25;3;0.2;-0.2547495
819;9;375;835;-1012.75;3;0.2;-0.2533523
820;9;375;835;-1013.25;3;0.18;-0.6166239
821;9;375;835;-1013.75;3;0.19;-0.4167152
822;9;375;835;-1014.25;3;0.18;-0.6149864
823;9;375;835;-1014.75;3;0.17;-0.7846994
824;9;375;835;-1015.25;4;0.01;-1.694861
825;9;375;835;-1015.75;3;0.18;-0.6133505
826;9;375;835;-1016.25;3;0.19;-0.4152388
827;9;375;835;-1016.75;3;0.19;-0.4137634
828;9;375;835;-1017.25;3;0.18;-0.6117163
829;9;375;835;-1017.75;3;0.17;-0.7828575
830;9;375;835;-1018.25;3;0.17;-0.7810182
831;9;375;835;-1018.75;1;0.36;1.106904
832;9;375;835;-1019.25;1;0.35;0.9873836
833;9;375;835;-1019.75;1;0.37;1.233073
834;9;375;835;-1020.25;1;0.35;0.9895916
835;9;375;835;-1020.75;1;0.34;0.8986251
836;9;375;835;-1021.25;1;0.36;1.109407
837;9;375;835;-1021.75;1;0.37;1.235974
838;9;375;835;-1022.25;1;0.37;1.238886
839;9;375;835;-1022.75;1;0.35;0.9918044
840;9;375;835;-1023.25;2;0.26;0.4063997
841;9;375;835;-1023.75;2;0.25;0.3396304
842;9;375;835;-1024.25;1;0.36;1.111916
843;9;375;835;-1024.75;1;0.36;1.114433
844;9;375;835;-1025.25;2;0.25;0.3410646
845;9;375;835;-1025.75;2;0.25;0.3424996
846;9;375;835;-1026.25;2;0.25;0.3439352
847;9;375;835;-1026.75;2;0.25;0.3453716
848;9;375;835;-1027.25;2;0.26;0.4078707
849;9;375;835;-1027.75;3;0.2;-0.2519556
850;9;375;835;-1028.25;3;0.2;-0.2505594
851;9;375;835;-1028.75;3;0.21;-0.07093698
852;9;375;835;-1029.25;3;0.21;-0.06958303
853;9;375;835;-1029.75;3;0.22;0.1143563
854;9;375;835;-1030.25;4;0.01;-1.689199
855;9;375;835;-1030.75;4;0.01;-1.68359
856;9;375;835;-1031.25;4;0.01;-1.678034
857;9;375;835;-1031.75;4;0.01;-1.672529
858;9;375;835;-1032.25;4;0.01;-1.667074
859;9;375;835;-1032.75;4;0.01;-1.661668
860;9;375;835;-1033.25;4;0.01;-1.65631
861;9;375;835;-1033.75;4;0.01;-1651
862;9;375;835;-1034.25;4;0.01;-1.645735
863;9;375;835;-1034.75;4;0.01;-1.640516
864;9;375;835;-1035.25;3;0.2;-0.2491638
865;9;375;835;-1035.75;3;0.2;-0.2477686
866;9;375;835;-1036.25;3;0.19;-0.4122888
867;9;375;835;-1036.75;3;0.19;-0.4108152
868;9;375;835;-1037.25;3;0.2;-0.2463739
869;9;375;835;-1037.75;3;0.2;-0.2449797
870;9;375;835;-1038.25;3;0.21;-0.06822923
871;9;375;835;-1038.75;3;0.21;-0.06687558
872;9;375;835;-1039.25;3;0.2;-0.243586
873;9;375;835;-1039.75;3;0.2;-0.2421927
874;9;375;835;-1040.25;3;0.2;-0.2408
875;9;375;835;-1040.75;3;0.2;-0.2394077
876;9;375;835;-1041.25;3;0.21;-0.06552207
877;9;375;835;-1041.75;3;0.2;-0.238016
878;9;375;835;-1042.25;3;0.21;-0.0641687
879;9;375;835;-1042.75;3;0.21;-0.06281547
880;9;375;835;-1043.25;3;0.21;-0.06146237
881;9;375;835;-1043.75;3;0.21;-0.06010941
882;9;375;835;-1044.25;3;0.22;0.1157166
883;10;435;935;-990.25;3;0.2;-0.2366247
884;10;435;935;-990.75;3;0.2;-0.2352338
885;10;435;935;-991.25;2;0.31;0.6852838
886;10;435;935;-991.75;2;0.3;0.6480608
887;10;435;935;-992.25;4;0.01;-1.635341
888;10;435;935;-992.75;4;0.01;-1.630209
889;10;435;935;-993.25;3;0.18;-0.6100837
890;10;435;935;-993.75;3;0.18;-0.6084528
891;10;435;935;-994.25;3;0.17;-0.7791815
892;10;435;935;-994.75;3;0.18;-0.6068234
893;10;435;935;-995.25;3;0.17;-0.7773475
894;10;435;935;-995.75;3;0.18;-0.6051957
895;10;435;935;-996.25;3;0.17;-0.7755161
896;10;435;935;-996.75;3;0.17;-0.7736872
897;10;435;935;-997.25;1;0.37;1.241809
898;10;435;935;-997.75;2;0.32;0.7429819
899;10;435;935;-998.25;2;0.31;0.6869981
900;10;435;935;-998.75;1;0.38;1.36525
901;10;435;935;-999.25;1;0.37;1.244742
902;10;435;935;-999.75;1;0.37;1.247685
903;10;435;935;-1000.25;1;0.37;1.25064
904;10;435;935;-1000.75;1;0.38;1.368696
905;10;435;935;-1001.25;1;0.38;1.372158
906;10;435;935;-1001.75;1;0.38;1.375637
907;10;435;935;-1002.25;1;0.38;1.379133
908;10;435;935;-1002.75;1;0.39;1.539948
909;10;435;935;-1003.25;1;0.38;1.382646
910;10;435;935;-1003.75;1;0.39;1.544393
911;10;435;935;-1004.25;1;0.41;1.906075
912;10;435;935;-1004.75;1;0.43;2.470751
913;10;435;935;-1005.25;1;0.42;2.060249
914;10;435;935;-1005.75;1;0.43;2.500428
915;10;435;935;-1006.25;1;0.44;2.816554
916;10;435;935;-1006.75;1;0.43;2.532485
917;10;435;935;-1007.25;1;0.42;2.071675
918;10;435;935;-1007.75;1;0.4;1.712182
919;10;435;935;-1008.25;1;0.4;1.718071
920;10;435;935;-1008.75;1;0.37;1.253605
921;10;435;935;-1009.25;1;0.36;1.116957
922;10;435;935;-1009.75;2;0.24;0.2983315
923;10;435;935;-1010.25;3;0.21;-0.05875658
924;10;435;935;-1010.75;3;0.2;-0.2338435
925;10;435;935;-1011.25;3;0.21;-0.05740388
926;10;435;935;-1011.75;3;0.2;-0.2324536
927;10;435;935;-1012.25;3;0.2;-0.2310641
928;10;435;935;-1012.75;3;0.2;-0.2296751
929;10;435;935;-1013.25;3;0.2;-0.2282866
930;10;435;935;-1013.75;3;0.2;-0.2268986
931;10;435;935;-1014.25;3;0.19;-0.4093425
932;10;435;935;-1014.75;3;0.19;-0.4078707
933;10;435;935;-1015.25;3;0.19;-0.4063997
934;10;435;935;-1015.75;3;0.18;-0.6035696
935;10;435;935;-1016.25;3;0.18;-0.6019451
936;10;435;935;-1016.75;3;0.19;-0.4049297
937;10;435;935;-1017.25;3;0.18;-0.6003222
938;10;435;935;-1017.75;3;0.18;-0.5987008
939;10;435;935;-1018.25;3;0.18;-0.5970811
940;10;435;935;-1018.75;3;0.16;-0.9149747
941;10;435;935;-1019.25;3;0.17;-0.771861
942;10;435;935;-1019.75;4;0.01;-1.62512
943;10;435;935;-1020.25;4;0.01;-1.620073
944;10;435;935;-1020.75;4;0.01;-1.615066
945;10;435;935;-1021.25;4;0.01;-1.6101
946;10;435;935;-1021.75;3;0.17;-0.7700373
947;10;435;935;-1022.25;3;0.19;-0.4034605
948;10;435;935;-1022.75;3;0.19;-0.4019922
949;10;435;935;-1023.25;3;0.2;-0.2255109
950;10;435;935;-1023.75;3;0.19;-0.4005248
951;10;435;935;-1024.25;2;0.24;0.2997466
952;10;435;935;-1024.75;2;0.24;0.3011623
953;10;435;935;-1025.25;2;0.24;0.3025787
954;10;435;935;-1025.75;2;0.25;0.3468087
955;10;435;935;-1026.25;1;0.4;1.724021
956;10;435;935;-1026.75;1;0.4;1.730032
957;10;435;935;-1027.25;1;0.4;1.736106
958;10;435;935;-1027.75;1;0.42;2.083378
959;10;435;935;-1028.25;1;0.39;1.548869
960;10;435;935;-1028.75;2;0.27;0.4674863
961;10;435;935;-1029.25;2;0.27;0.4689975
962;10;435;935;-1029.75;2;0.27;0.4705097
963;10;435;935;-1030.25;2;0.26;0.4093425
964;10;435;935;-1030.75;2;0.26;0.4108152
965;10;435;935;-1031.25;2;0.25;0.3482466
966;10;435;935;-1031.75;2;0.25;0.3496851
967;10;435;935;-1032.25;2;0.24;0.3039956
968;10;435;935;-1032.75;3;0.17;-0.7682162
969;10;435;935;-1033.25;3;0.18;-0.5954629
970;10;435;935;-1033.75;3;0.18;-0.5938462
971;10;435;935;-1034.25;3;0.19;-0.3990582
972;10;435;935;-1034.75;4;0.01;-1.605173
973;10;435;935;-1035.25;4;0.01;-1.600284
974;10;435;935;-1035.75;4;0.01;-1.595434
975;10;435;935;-1036.25;3;0.2;-0.2241238
976;10;435;935;-1036.75;4;0.01;-1.59062
977;10;435;935;-1037.25;4;0.01;-1.585844
978;10;435;935;-1037.75;4;0.01;-1.581103
979;10;435;935;-1038.25;4;0.01;-1.576397
980;10;435;935;-1038.75;3;0.21;-0.0560513
981;10;435;935;-1039.25;3;0.22;0.117077
982;10;435;935;-1039.75;3;0.21;-0.05469885
983;10;435;935;-1040.25;3;0.21;-0.05334652
984;10;435;935;-1040.75;3;0.21;-0.05199431
985;10;435;935;-1041.25;3;0.21;-0.05064221
986;10;435;935;-1041.75;3;0.21;-0.04929023
987;10;435;935;-1042.25;3;0.21;-0.04793836
988;10;435;935;-1042.75;3;0.21;-0.0465866
989;10;435;935;-1043.25;3;0.21;-0.04523495
990;10;435;935;-1043.75;2;0.3;0.649733
991;10;435;935;-1044.25;2;0.31;0.6887145
992;10;435;935;-1044.75;2;0.32;0.7447686
993;10;435;935;-1045.25;2;0.32;0.7465576
994;10;435;935;-1045.75;3;0.2;-0.2227371
995;10;435;935;-1046.25;3;0.21;-0.0438834
996;10;435;935;-1046.75;3;0.21;-0.04253195
997;10;435;935;-1047.25;3;0.21;-0.04118061
998;11;455;1015;-995.75;3;0.19;-0.3975925
999;11;455;1015;-996.25;3;0.19;-0.3961277
1000;11;455;1015;-996.75;3;0.18;-0.5922312
1001;11;455;1015;-997.25;4;0.01;-1.571726
1002;11;455;1015;-997.75;4;0.01;-1.567089
1003;11;455;1015;-998.25;2;0.33;0.8070149
1004;11;455;1015;-998.75;4;0.01;-1.562485
1005;11;455;1015;-999.25;3;0.19;-0.3946638
1006;11;455;1015;-999.75;3;0.19;-0.3932007
1007;11;455;1015;-1000.25;3;0.2;-0.2213508
1008;11;455;1015;-1000.75;3;0.2;-0.2199649
1009;11;455;1015;-1001.25;2;0.33;0.8088926
1010;11;455;1015;-1001.75;3;0.19;-0.3917384
1011;11;455;1015;-1002.25;3;0.19;-0.390277
1012;11;455;1015;-1002.75;2;0.33;0.8107732
1013;11;455;1015;-1003.25;1;0.41;1.914461
1014;11;455;1015;-1003.75;1;0.42;2.095373
1015;11;455;1015;-1004.25;1;0.42;2.107678
1016;11;455;1015;-1004.75;3;0.18;-0.5906176
1017;11;455;1015;-1005.25;3;0.18;-0.5890056
1018;11;455;1015;-1005.75;1;0.39;1.553376
1019;11;455;1015;-1006.25;3;0.18;-0.5873952
1020;11;455;1015;-1006.75;3;0.18;-0.5857863
1021;11;455;1015;-1007.25;3;0.18;-0.5841788
1022;11;455;1015;-1007.75;2;0.25;0.3511244
1023;11;455;1015;-1008.25;1;0.38;1.386175
1024;11;455;1015;-1008.75;1;0.38;1.389722
1025;11;455;1015;-1009.25;1;0.36;1.119488
1026;11;455;1015;-1009.75;1;0.38;1.393287
1027;11;455;1015;-1010.25;1;0.36;1.122026
1028;11;455;1015;-1010.75;1;0.36;1.124571
1029;11;455;1015;-1011.25;1;0.36;1.127124
1030;11;455;1015;-1011.75;1;0.35;0.9940221
1031;11;455;1015;-1012.25;1;0.34;0.9006557
1032;11;455;1015;-1012.75;3;0.2;-0.2185795
1033;11;455;1015;-1013.25;3;0.2;-0.2171946
1034;11;455;1015;-1013.75;3;0.2;-0.21581
1035;11;455;1015;-1014.25;3;0.18;-0.5825729
1036;11;455;1015;-1014.75;3;0.18;-0.5809686
1037;11;455;1015;-1015.25;3;0.19;-0.3888164
1038;11;455;1015;-1015.75;3;0.19;-0.3873567
1039;11;455;1015;-1016.25;3;0.19;-0.3858978
1040;11;455;1015;-1016.75;3;0.18;-0.5793657
1041;11;455;1015;-1017.25;3;0.18;-0.5777643
1042;11;455;1015;-1017.75;3;0.18;-0.5761643
1043;11;455;1015;-1018.25;3;0.17;-0.7663976
1044;11;455;1015;-1018.75;3;0.18;-0.5745659
1045;11;455;1015;-1019.25;3;0.18;-0.5729689
1046;11;455;1015;-1019.75;3;0.18;-0.5713734
1047;11;455;1015;-1020.25;4;0.01;-1.557914
1048;11;455;1015;-1020.75;4;0.01;-1.553376
1049;11;455;1015;-1021.25;4;0.01;-1.548869
1050;11;455;1015;-1021.75;4;0.01;-1.544393
1051;11;455;1015;-1022.25;4;0.01;-1.539948
1052;11;455;1015;-1022.75;3;0.18;-0.5697794
1053;11;455;1015;-1023.25;1;0.37;1.256582
1054;11;455;1015;-1023.75;1;0.35;0.9962447
1055;11;455;1015;-1024.25;1;0.34;0.9026899
1056;11;455;1015;-1024.75;1;0.34;0.9047279
1057;11;455;1015;-1025.25;1;0.34;0.9067696
1058;11;455;1015;-1025.75;1;0.36;1.129684
1059;11;455;1015;-1026.25;1;0.36;1.132251
1060;11;455;1015;-1026.75;2;0.27;0.472023
1061;11;455;1015;-1027.25;2;0.28;0.5381946
1062;11;455;1015;-1027.75;2;0.28;0.5397608
1063;11;455;1015;-1028.25;2;0.28;0.5413284
1064;11;455;1015;-1028.75;2;0.27;0.4735374
1065;11;455;1015;-1029.25;2;0.27;0.4750529
1066;11;455;1015;-1029.75;2;0.26;0.4122888
1067;11;455;1015;-1030.25;2;0.25;0.3525645
1068;11;455;1015;-1030.75;2;0.25;0.3540053
1069;11;455;1015;-1031.25;3;0.17;-0.7645816
1070;11;455;1015;-1031.75;2;0.23;0.2296751
1071;11;455;1015;-1032.25;4;0.01;-1.535534
1072;11;455;1015;-1032.75;3;0.18;-0.5681868
1073;11;455;1015;-1033.25;2;0.19;-0.3844398
1074;11;455;1015;-1033.75;3;0.18;-0.5665956
1075;11;455;1015;-1034.25;3;0.19;-0.3829825
1076;11;455;1015;-1034.75;3;0.19;-0.3815261
1077;11;455;1015;-1035.25;3;0.19;-0.3800705
1078;11;455;1015;-1035.75;4;0.01;-1.531149
1079;11;455;1015;-1036.25;4;0.01;-1.526793
1080;11;455;1015;-1036.75;4;0.01;-1.522466
1081;11;455;1015;-1037.25;4;0.01;-1.518167
1082;11;455;1015;-1037.75;3;0.2;-0.2144259
1083;11;455;1015;-1038.25;3;0.2;-0.2130422
1084;11;455;1015;-1038.75;3;0.21;-0.03982936
1085;11;455;1015;-1039.25;3;0.21;-0.0384782
1086;11;455;1015;-1039.75;3;0.2;-0.211659
1087;11;455;1015;-1040.25;3;0.21;-0.03712714
1088;11;455;1015;-1040.75;3;0.21;-0.03577617
1089;11;455;1015;-1041.25;3;0.19;-0.3786157
1090;11;455;1015;-1041.75;2;0.25;0.3554468
1091;11;455;1015;-1042.25;2;0.26;0.4137634
1092;11;455;1015;-1042.75;2;0.27;0.4765695
1093;11;455;1015;-1043.25;3;0.21;-0.03442528
1094;11;455;1015;-1043.75;3;0.21;-0.03307448
1095;11;455;1015;-1044.25;2;0.29;0.6068234
1096;11;455;1015;-1044.75;3;0.21;-0.03172377
1097;12;465;875;-989.25;2;0.32;0.748349
1098;12;465;875;-989.75;1;0.28;0.5428973
1099;12;465;875;-990.25;1;0.27;0.4780872
1100;12;465;875;-990.75;1;0.27;0.479606
1101;12;465;875;-991.25;1;0.26;0.4152388
1102;12;465;875;-991.75;1;0.25;0.3568891
1103;12;465;875;-992.25;1;0.25;0.3583321
1104;12;465;875;-992.75;1;0.26;0.4167152
1105;12;465;875;-993.25;1;0.27;0.4811259
1106;12;465;875;-993.75;1;0.29;0.6084528
1107;12;465;875;-994.25;1;0.28;0.5444676
1108;12;465;875;-994.75;1;0.29;0.6100837
1109;12;465;875;-995.25;1;0.28;0.5460392
1110;12;465;875;-995.75;1;0.3;0.651407
1111;12;465;875;-996.25;1;0.3;0.6530829
1112;12;465;875;-996.75;1;0.31;0.6904329
1113;12;465;875;-997.25;1;0.32;0.7501429
1114;12;465;875;-997.75;1;0.33;0.8126566
1115;12;465;875;-998.25;1;0.33;0.814543
1116;12;465;875;-998.75;1;0.33;0.8164322
1117;12;465;875;-999.25;1;0.34;0.9088152
1118;12;465;875;-999.75;1;0.37;1.25957
1119;12;465;875;-1000.25;1;0.39;1.557914
1120;12;465;875;-1000.75;1;0.4;1.742245
1121;12;465;875;-1001.25;1;0.4;1.74845
1122;12;465;875;-1001.75;1;0.4;1.754723
1123;12;465;875;-1002.25;1;0.39;1.562485
1124;12;465;875;-1002.75;1;0.39;1.567089
1125;12;465;875;-1003.25;1;0.41;1.922983
1126;12;465;875;-1003.75;1;0.42;2.12031
1127;12;465;875;-1004.25;1;0.42;2.133289
1128;12;465;875;-1004.75;1;0.43;2.567377
1129;12;465;875;-1005.25;1;0.42;2.146638
1130;12;465;875;-1005.75;1;0.41;1.931648
1131;12;465;875;-1006.25;1;0.42;2.16038
1132;12;465;875;-1006.75;1;0.41;1.94046
1133;12;465;875;-1007.25;1;0.41;1.949426
1134;12;465;875;-1007.75;1;0.41;1.95855
1135;12;465;875;-1008.25;2;0.26;0.4181925
1136;12;465;875;-1008.75;2;0.25;0.3597759
1137;12;465;875;-1009.25;3;0.2;-0.2102761
1138;12;465;875;-1009.75;3;0.2;-0.2088937
1139;12;465;875;-1010.25;4;0.01;-1.513896
1140;12;465;875;-1010.75;4;0.01;-1.509653
1141;12;465;875;-1011.25;4;0.01;-1.505436
1142;12;465;875;-1011.75;4;0.01;-1.501246
1143;12;465;875;-1012.25;3;0.2;-0.2075117
1144;12;465;875;-1012.75;3;0.21;-0.03037313
1145;12;465;875;-1013.25;3;0.2;-0.2061301
1146;12;465;875;-1013.75;3;0.2;-0.2047489
1147;12;465;875;-1014.25;3;0.19;-0.3771618
