570597;5056738;-1176.7
542584;5032164;-1650.2
481536;5043001;-3909.85
577378;5050285;-1711.53
543856;5037072;-2227.7
544210;5038919;-2375.5
403880;4959663;-1287.5
564208;4983518;-1476.1
540070;5032725;-911.15
385456;4956442;-1746.7
616306;4974986;-2015.8
481812;5041223;-2946.6
477546;5014218;-3142.6
627094;4964123;-2971
532705;4991366;-1219.6
388993;4951258;-1211.15
438864;4979277;-1108.6
518692;4956784;-334
572938;4922264;-169.8
548512;4970426;-1599.1
446247;5017428;-2286.15
483455;5033252;-3629
479244;5036775;-3292
501645;5020644;-3071
504355;5022945;-2822
412731;4995280;-876.7
499139;4969065;-1534.2
501982;4970698;-1506.55
517630;5000560;-2330
585563;4982857;-2234.9
626449;4945775;-901.7
630058;4947713;-1843.55
580858;4982073;-994.8
534301;5069155;-1297.4
469919;5065633;-2026.2
574071;5042956;-2832.95
565144;5037890;-2973
553920;5018096;-918
510262;5016708;-2884.1
405981;5010221;-861.4
530001;5007294;-1457.6
453936;5010779;-1580.6
530835;5000400;-1108.35
562052;5025715;-994.65
453670;5003393;-988.35
473070;4994438;-1465.6
551410;5038385;-3168.6
515158;5008441;-3324.4
596291;4947144;-1611
591253;4950226;-1101.52
596033;4948506;-2346.6
606080;4939075;-1050.65
612040;4941953;-1985.25
593216;4943243;-1240
600803;4942513;-1511.5
589101;5015517;-2514.85
590432;5019491;-2021.7
582934;5019255;-1682.55
576210;5004148;-1094.6
487536;5040842;-1206.5
528557;5045094;-2150
505468;5012625;-3244.6
578288;4962076;-1967.75
571003;4979934;-1874.7
581785;4987907;-1276.65
426075;5027465;-1627.5
434462;5035328;-1559
459140;5044740;-1295
629382;4927931;-672
631573;4937565;-1049.7
629244;5009697;-1469.5
597696;5035857;-1055.4
620605;4913550;-228
601735;5025397;-3194.15
506541;5037256;-2253.5
511434;5044651;-809.3
599343;4998101;-1942.45
508187;4984755;-1063.4
577907;5016313;-1422.25
536415;5029070;-1470.65
574383;5033137;-1499.75
559317;5028477;-1090
526651;5038120;-1270.6
537242;5015010;-1413.7
564756;5001699;-1105.15
485470;4956706;-1583.2
447930;5007637;-1056.65
544087;5038574;-2881
551209;5044783;-2558.8
540929;5013566;-1067.65
545880;5012289;-1107.3
570597;5056738;-2125.7
481536;5043001;-5101.65
577378;5050285;-3075.03
543856;5037072;-2815
403880;4959663;-2593.45
564208;4983518;-1782.8
540070;5032725;-1329.15
385456;4956442;-2827.7
616306;4974986;-3350.5
481812;5041223;-4261.77
477546;5014218;-4408.25
627094;4964123;-4930
532705;4991366;-1244.15
388993;4951258;-1243.6
438864;4979277;-1251.3
518692;4956784;-1374
572938;4922264;-2018.4
548512;4970426;-2264.6
446247;5017428;-2682.4
483455;5033252;-5291
479244;5036775;-4514
501645;5020644;-3108
504355;5022945;-4258
499139;4969065;-2079.2
517630;5000560;-3607
585563;4982857;-3154.5
626449;4945775;-1193.7
580858;4982073;-1144.8
534301;5069155;-2944.4
469919;5065633;-2857.2
574071;5042956;-3856.95
565144;5037890;-4379
553920;5018096;-1264
510262;5016708;-3276.1
405981;5010221;-1876.4
453936;5010779;-3240.6
562052;5025715;-1049.65
453670;5003393;-2196.35
473070;4994438;-3125.9
551410;5038385;-5932.6
515158;5008441;-4873
591253;4950226;-1677.47
596033;4948506;-2871.4
593216;4943243;-1942
589101;5015517;-2759.85
590432;5019491;-2255.7
582934;5019255;-1952.05
576210;5004148;-1303.6
487536;5040842;-2173.5
528557;5045094;-3240
505468;5012625;-4404.6
578288;4962076;-3036.75
571003;4979934;-1951.7
581785;4987907;-2634.65
629382;4927931;-1166.7
629244;5009697;-2959.5
597696;5035857;-2138.8
620605;4913550;-656
601735;5025397;-5142.15
506541;5037256;-2535
511434;5044651;-1341.3
599343;4998101;-3276.95
508187;4984755;-1502.9
577907;5016313;-1851.25
536415;5029070;-1824.65
574383;5033137;-2092.25
559317;5028477;-1614
526651;5038120;-2824.6
537242;5015010;-1936.7
564756;5001699;-1314.15
544087;5038574;-4971
551209;5044783;-4134.05
540929;5013566;-1817.15
545880;5012289;-1547.8
570597;5056738;-3498.95
481536;5043001;-5450.1
543856;5037072;-4189.7
403880;4959663;-3493.9
564208;4983518;-2830.45
540070;5032725;-1355.15
616306;4974986;-5390.4
481812;5041223;-5371.35
477546;5014218;-5110.93
627094;4964123;-5936
532705;4991366;-2597.25
388993;4951258;-2210.15
438864;4979277;-2162.5
572938;4922264;-3125
548512;4970426;-3155.1
446247;5017428;-3054.4
483455;5033252;-5871
479244;5036775;-5336
501645;5020644;-4605
517630;5000560;-3984.5
585563;4982857;-3731
626449;4945775;-1750.7
580858;4982073;-1244.8
534301;5069155;-3297.4
574071;5042956;-4997.95
565144;5037890;-4568
553920;5018096;-1464
510262;5016708;-4572.1
405981;5010221;-2459.4
562052;5025715;-1679.65
473070;4994438;-3547.9
551410;5038385;-6893.1
515158;5008441;-5492
590432;5019491;-2515.4
582934;5019255;-2233.05
576210;5004148;-1793.1
487536;5040842;-2861.5
528557;5045094;-3616
