385456;4956442;-1746,7;55;;3050960,89;;;5390,20
385456;4956442;-2827,7;94;;7995887,29;2223,72;;
388993;4951258;-1211,15;47;;1466884,323;;;
388993;4951258;-1243,6;48;;1546540,96;;;
388993;4951258;-2210,15;72;;4884763,023;1848,75;;
403880;4959663;-1287,5;54;;1657656,25;;;
403880;4959663;-2593,45;87;;6725982,903;;;
403880;4959663;-3493,9;111;;12207337,21;3248,03;;
405981;5010221;-861,4;40;;742009,96;;;
405981;5010221;-1876,4;60;;3520876,96;;;
405981;5010221;-2459,4;74;;6048648,36;2303,61;;
412731;4995280;-876,7;44;;768602,89;;;
426075;5027465;-1627,5;84;;2648756,25;;;
434462;5035328;-1559;71;;2430481;;;
438864;4979277;-1108,6;48;;1228993,96;;;
438864;4979277;-1251,3;51;;1565751,69;;;
438864;4979277;-2162,5;66;;4676406,25;1856,72;;
446247;5017428;-2286,15;77;;5226481,823;;;
446247;5017428;-2682,4;79;;7195269,76;;;
446247;5017428;-3054,4;93;;9329359,36;2025,56;;
447930;5007637;-1056,65;39;;1116509,223;;;
448325;5016578;-3470,1;104;;12041594,01;;;
448325;5016578;-4314,8;124;;18617499,04;;;
448325;5016578;-5086,8;147;;25875534,24;;;
448325;5016578;-5416,8;149;;29341722,24;;;
448325;5016578;-5661,8;151;;32055979,24;4473,74;;
453670;5003393;-988,35;46;;976835,7225;;;
453670;5003393;-2196,35;68;;4823953,323;1961,41;;
453936;5010779;-1580,6;51;;2498296,36;;;
453936;5010779;-3240,6;82;;10501488,36;2828,99;;
459140;5044740;-1295;56;;1677025;;;
469919;5065633;-2026,2;58;;4105486,44;;;
469919;5065633;-2857,2;80;;8163591,84;2014,47;;
473070;4994438;-1465,6;74;;2147983,36;;;
473070;4994438;-3125,9;95;;9771250,81;;;
473070;4994438;-3547,9;95;;12587594,41;;;
473070;4994438;-4646,9;114;;21593679,61;;;
473070;4994438;-5240,9;128;;27467032,81;;;
473070;4994438;-5585,9;136;;31202278,81;5390,20;;
477546;5014218;-3142,6;85;;9875934,76;;;
477546;5014218;-4408,25;105;;19432668,06;;;
477546;5014218;-5110,93;136;;26121605,46;;;
477546;5014218;-5298,81;144;;28077387,42;;;
477546;5014218;-5700,37;158;;32494218,14;4755,87;;
479244;5036775;-3292;101;;10837264;;;
479244;5036775;-4514;140;;20376196;;;
479244;5036775;-5336;157;;28472896;;;
479244;5036775;-6050;176;;36602500;5075,95;;
481536;5043001;-3909,85;111;;15286927,02;;;
481536;5043001;-5101,65;153;;26026832,72;;;
481536;5043001;-5450,1;160;;29703590,01;;;
481536;5043001;-6289,8;178;;39561584,04;;;
481536;5043001;-6338,6;178;;40177849,96;;;
481536;5043001;-6465,6;182;;41803983,36;;;
481536;5043001;-6487,6;186;;42088953,76;5177,07;;
481812;5041223;-2946,6;92;;8682451,56;;;
481812;5041223;-4261,77;120;;18162683,53;;;
481812;5041223;-5371,35;157;;28851400,82;;;
481812;5041223;-5868,65;167;;34441052,82;;;
481812;5041223;-6144,8;175;;37758567,04;;;
481812;5041223;-6387,93;181;;40805649,68;;;
481812;5041223;-6458,43;186;;41711318,06;;;
483455;5033252;-3629;96;;13169641;;;
483455;5033252;-5291;151;;27994681;;;
483455;5033252;-5871;182;;34468641;;;
483455;5033252;-6429;194;;41332041;;;
485470;4956706;-1583,2;50;;2506522,24;;;
487536;5040842;-1206,5;40;;1455642,25;;;
487536;5040842;-2173,5;69;;4724102,25;;;
487536;5040842;-2861,5;84;;8188182,25;;;
499139;4969065;-1534,2;56;;2353769,64;;;
499139;4969065;-2079,2;61;;4323072,64;;;
501645;5020644;-3071;88;;9431041;;;
501645;5020644;-3108;91;;9659664;;;
501645;5020644;-4605;133;;21206025;;;
501645;5020644;-5230,5;143;;27358130,25;4234,04;;
501982;4970698;-1506,55;59;;2269692,903;;;
504355;5022945;-2822;77;;7963684;;;
504355;5022945;-4258;116;;18130564;;;
505468;5012625;-3244,6;85;;10527429,16;;;
505468;5012625;-4404,6;111;;19400501,16;;;
505468;5012625;-5342,1;135;;28538032,41;;;
506541;5037256;-2253,5;78;;5078262,25;;;
506541;5037256;-2535;79;;6426225;;;
506541;5037256;-3278;97;;10745284;;;
506541;5037256;-4354;128;;18957316;;;
508187;4984755;-1063,4;47;;1130819,56;;;
508187;4984755;-1502,9;55;;2258708,41;;;
508187;4984755;-2415,9;68;;5836572,81;;;
510262;5016708;-2884,1;82;;8318032,81;;;
510262;5016708;-3276,1;99;;10732831,21;;;
510262;5016708;-4572,1;140;;20904098,41;;;
510262;5016708;-4997,1;142;;24971008,41;;;
511434;5044651;-809,3;38;;654966,49;;;
511434;5044651;-1341,3;41;;1799085,69;;;
515158;5008441;-3324,4;91;;11051635,36;;;
515158;5008441;-4873;123;;23746129;;;
515158;5008441;-5492;145;;30162064;;;
515158;5008441;-6049,8;153;;36600080,04;5054,55;;
517630;5000560;-2330;79;;5428900;;;
517630;5000560;-3607;98;;13010449;;;
517630;5000560;-3984,5;102;;15876240,25;;;
517630;5000560;-4048;103;;16386304;;;
517630;5000560;-4463,5;113;;19922832,25;;;
517630;5000560;-5183;127;;26863489;;;
517630;5000560;-5926;142;;35117476;;;
518692;4956784;-334;57;;111556;;;
518692;4956784;-1374;78;;1887876;;;
526651;5038120;-1270,6;59;;1614424,36;;;
526651;5038120;-2824,6;83;;7978365,16;;;
528557;5045094;-2150;84;;4622500;;;
528557;5045094;-3240;101;;10497600;;;
528557;5045094;-3616;104;;13075456;;;
528557;5045094;-4067;108;;16540489;;;
528557;5045094;-4444;120;;19749136;;;
528557;5045094;-4644;135;;21566736;;;
530001;5007294;-1457,6;51;;2124597,76;;;
530835;5000400;-1108,35;48;;1228439,723;;;
532705;4991366;-1219,6;52;;1487424,16;;;
532705;4991366;-1244,15;55;;1547909,223;;;
532705;4991366;-2597,25;82;;6745707,563;;;
532705;4991366;-3345,93;95;;11195247,56;;;
532705;4991366;-3922,05;108;;15382476,2;;;
534301;5069155;-1297,4;69;;1683246,76;;;
534301;5069155;-2944,4;82;;8669491,36;;;
534301;5069155;-3297,4;89;;10872846,76;;;
536415;5029070;-1470,65;53;;2162811,423;;;
536415;5029070;-1824,65;56;;3329347,623;;;
536415;5029070;-2632,65;77;;6930846,023;;;
537242;5015010;-1413,7;48;;1998547,69;;;
537242;5015010;-1936,7;67;;3750806,89;;;
537242;5015010;-2442,7;75;;5966783,29;;;
540070;5032725;-911,15;44;;830194,3225;;;
540070;5032725;-1329,15;47;;1766639,723;;;
540070;5032725;-1355,15;48;;1836431,523;;;
540070;5032725;-1525,15;53;;2326082,523;;;
540070;5032725;-2069,15;64;;4281381,723;;;
540070;5032725;-2251,15;69;;5067676,323;;;
540929;5013566;-1067,65;48;;1139876,523;;;
540929;5013566;-1817,15;69;;3302034,123;;;
540929;5013566;-2405,65;82;;5787151,923;;;
542584;5032164;-1650,2;57;;2723160,04;;;
543856;5037072;-2227,7;89;;4962647,29;;;
543856;5037072;-2815;91;;7924225;;;
543856;5037072;-4189,7;109;;17553586,09;;;
543856;5037072;-4629;116;;21427641;;;
