cat;easting;northing;symbol;na;mg;k;ca;al;fe;ti;p;mn;ba;sr;s;li;be;b;bi;sc;v;cr;co;ni;cu;zn;ga;ge;arsenico;rb;y;zr;nb;mo;ag;indium;sn;sb;te;cs;cd;se;w;au;tl;pb;u;hg;hf;ta;th;la;ce;pr;nd;sm;eu;gd;tb;dy;ho;er;tm;yb;lu
-;m;m;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
V;m;m;V;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
26;533651.89;4205161.01;S28;240;9300;1400;6900;18800;45600;90;880;499;87.1;46.4;5000;58.8;0.8;6;0.29;3.4;25;29;19.4;42.4;32.8;103;6.12;0.05;10.5;9.2;6.45;1;0.4;0.55;0.027;0.02;0.77;0.98;0.05;1.39;0.2;0.2;0.1;3.1;0.08;28.3;0.6;50;0.05;0.025;10.1;26.7;57.6;6.7;26.2;5.2;1;4;0.4;1.8;0.3;0.7;0.05;0.4;0.05
27;463221.14;4211634.86;S29;250;16700;3200;83400;12800;18800;140;510;545;112;70.6;5000;14;0.7;20;0.16;3.3;31;25;7.7;23.1;24.7;90.4;4.21;0.05;3.5;17.8;5.72;1.3;0.8;1.02;0.052;0.01;1.06;0.39;0.06;1;0.25;0.4;0.2;3.7;0.18;26.1;0.4;90;0.05;0.025;2.4;7.4;17.3;2.1;9.04;2.1;0.4;1.9;0.3;1.4;0.2;0.6;0.05;0.4;0.05
28;341968.3;4211807.22;S30;230;6600;6300;27800;35500;41100;30;520;645;90.2;221;5000;27.2;1.8;25;0.24;8.4;46;50;17.1;36.1;28.9;68.8;12;0.05;4.1;37.7;15.2;2.5;0.4;0.4;0.043;0.05;1.62;0.15;0.1;1.77;0.28;0.1;0.2;2.5;0.34;17.2;0.4;80;0.1;0.025;5.8;14.7;37.1;5;22.8;4.4;1.1;4.6;0.7;3.5;0.6;1.5;0.2;1.1;0.1
29;462274.89;4178349.41;S31;2100;6900;5000;14000;25600;37000;670;880;469;137;167;5000;18;1.2;38;0.16;5.8;64;36;14.4;22.5;63.3;82.1;7.79;0.05;4.3;24;8.65;4.6;1.1;1.04;0.114;0.04;1.49;0.18;0.06;1.29;0.21;0.4;0.1;1.9;0.57;15.7;0.8;70;0.1;0.025;5.9;23.2;54.3;5.9;23.5;4.2;0.9;3.5;0.4;2.1;0.4;0.9;0.1;0.7;0.05
30;414612.89;4209430.24;S32;250;10400;3300;23900;19400;25900;480;370;642;166;37.4;5000;17.8;1.1;15;0.22;5.6;50;40;11.4;35.6;26.4;66;6.4;0.05;4.2;25;9.74;3;0.9;0.66;0.064;0.04;1.39;0.52;0.05;1.48;0.25;0.3;0.2;2.7;0.3;38.6;0.7;70;0.05;0.025;4;14.2;31.8;3.8;15.2;2.9;0.7;2.8;0.4;2.3;0.4;1;0.1;0.8;0.1
31;402848.15;4206127.18;S33;230;5800;4000;29200;20800;33600;20;450;756;186;119;5000;21.3;1.2;19;0.2;5.8;43;41;14.7;31.4;26.6;76.5;6.41;0.05;4.5;20.9;7.7;1.1;0.1;0.97;0.079;0.04;1.47;0.23;0.02;1.11;0.18;0.2;0.2;4.2;0.19;14.6;0.3;60;0.05;0.025;3.2;5.9;15.9;2.1;9.98;2.9;0.7;3;0.4;2.1;0.3;0.7;0.05;0.5;0.05
32;494737.74;4098386.94;S34;3050;7400;2400;15200;21200;39500;2670;2080;844;113;189;5000;11.3;2.2;10;0.18;3.4;86;8;15;8.1;76.8;97.2;6.49;0.05;3.4;15.2;14.1;21.3;14.3;1.26;0.277;0.05;1.47;0.44;0.07;1.34;0.23;0.5;0.3;1.1;0.24;19.8;2.4;70;0.3;0.025;7.2;51.9;105;10.4;38.2;6.6;1.3;4.9;0.6;3.2;0.5;1.5;0.2;1.2;0.2
33;500351.95;4140275.16;S35;320;7000;3200;107000;15600;23900;210;690;497;116;377;5000;14.2;0.8;26;0.12;4.3;39;33;9.5;25.6;21.7;56.5;4.96;0.05;4.9;17.6;7.93;2.1;0.8;1.17;0.066;0.03;0.85;0.25;0.04;1.04;0.15;0.4;0.1;1;0.13;9.4;0.9;40;0.05;0.025;3.4;12.3;28.2;3.3;13.9;3;0.6;2.6;0.3;1.8;0.3;0.7;0.05;0.5;0.05
34;498349.87;4133034.68;S36;1630;12800;2500;39300;23000;49100;1780;1200;518;68.8;151;5000;7.5;0.5;17;0.09;10.2;69;94;26.4;111;75.4;83.6;6.93;0.05;2.1;7;13.6;7.9;0.6;0.8;0.154;0.04;2.17;0.17;0.02;0.4;0.25;0.05;0.1;2.2;0.08;10.1;0.8;50;0.1;0.025;1.9;13;28.6;3.3;13.9;2.9;0.8;3.4;0.5;2.9;0.5;1.5;0.2;1.1;0.2
35;503943.99;4221489.37;S37;470;10800;5200;11600;27200;47000;1780;1290;806;124;71.4;5000;21.9;1.1;12;0.35;9.4;89;75;19.9;46.9;55.5;251;11.5;0.05;4.6;27.9;19.7;7.1;3.7;2.52;0.117;0.06;3.02;0.56;0.13;1.5;0.21;0.1;0.2;5.4;0.55;21.5;2.3;120;0.2;0.025;10.2;30.2;61;7.2;28.9;5.1;1.1;4.9;0.7;4.2;0.7;2.1;0.3;1.8;0.3
