cat;easting;northing;symbol;na;mg;k;ca;al;fe;ti;p;mn;ba;sr;s;li;be;b;bi;sc;v;cr;co;ni;cu;zn;ga;ge;arsenico;rb;y;zr;nb;mo;ag;indium;sn;sb;te;cs;cd;se;w;au;tl;pb;u;hg;hf;ta;th;la;ce;pr;nd;sm;eu;gd;tb;dy;ho;er;tm;yb;lu
-;m;m;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
V;m;m;V;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
56;529100.98;4211187.99;PE1;9497;16320;29789;4200;91006;49700;5850;568;620;576;140;210;;3;;0.67;14.8;133;92;20;51;45;124;;;15;180;31;233;;0.67;0.167;;;1;;8.1;0.167;1;1;25;;30;2;0.33;5.3;0.33;16;51.6;104;;51;7;1.7;;0.167;;;;;2.8;0.33
57;413503.04;4193178.95;MA1;2745;840;3900;960;12918;23240;2136;87;232;95;30;170;;0.33;;0.67;1.8;22;28;3;10;15;15;;;6;6.67;9;373;;0.67;0.167;;;0.3;;0.167;0.167;1;1;1.67;;9;1.2;0.33;8.9;0.33;3.1;11.1;23;;14;1.3;0.3;;0.167;;;;;1.1;0.16
58;497420.04;4176588.97;ET3;24632;21060;13526;32440;86029;70630;8940;2489;1239;720;1086;580;;2;;2;16.1;238;33;34;20;99;94;;;6;6.67;23;156;;0.67;3.3;;;0.7;;0.167;0.167;1;1;1.67;;13;2.7;0.33;3.9;0.33;9.1;59.9;111;;58;6.5;1.9;;0.167;;;;;1.9;0.17
59;309649.03;4210070.97;MT2;4600;1440;6306;2240;25624;24990;2142;349;775;112;40;310;;0.33;;0.67;3.3;32;34;7;15;16;36;;;3;40;12;280;;0.67;0.167;;;0.4;;0.167;0.167;1;1;1.67;;18;1.8;0.33;6.5;0.33;4.3;13.1;26;;20;1.7;0.6;;0.167;;;;;1.3;0.17
60;442090.01;4140728.01;ME1;4748;720;11617;640;22765;17990;540;87;155;322;50;100;;0.33;;0.67;1.3;15;17;2;8;10;17;;;6;6.67;4;54;;0.67;0.167;;;0.2;;1.7;0.167;1;1;9;;12;0.167;0.33;2;0.33;1.7;6.3;11;;1.67;0.8;0.033;;0.167;;;;;0.4;0.06
61;450946.01;4207945.97;CA2;3116;3900;10289;3160;64429;37380;5304;786;1007;161;116;460;;2;;0.67;8.9;94;75;8;21;21;74;;;13;120;20;301;;0.67;0.167;;;1.6;;2.5;0.167;1;1;23;;47;2.8;0.33;7.8;0.33;9;31.9;64;;30;3.7;1.1;;0.167;;;;;2.5;0.35
62;349716.61;4230391.08;N1;100;132000;330;182000;210.41;400;801.02;20;17;4.18;54.69;1800;11.7;1.62;;;0.05;8;5.08;1.43;4;11.25;0.5;;;0.167;5.66;0.5;;;12.48;;;0.0025;1.14;;;1.15;;;;1.1;2.49;1.71;;;;0.0667;0.167;1;;1.67;0.033;0.0667;;0.167;;;;;0.0667;0.0167
63;349036.97;4229132.02;N2;200;122000;330;185000;125.94;50;920.28;40;15;4.19;68.43;1000;8.4;1.46;;;0.05;1;3.64;1.01;4;9.17;0.5;;;0.167;4.32;0.5;;;7.37;;;0.0025;0.53;;;0.89;;;;0.68;1.83;1.06;;;;0.0667;0.167;1;;1.67;0.033;0.0667;;0.167;;;;;0.0667;0.0167
64;340616.01;4221777;N4;100;2400;330;319000;68;300;309.5;200;22;5.06;75.56;1000;5.3;1.86;;;0.05;1;3.65;0.61;15.46;7.4;0.5;;;0.5;2.67;3;;;3.96;;;0.0025;0.76;;;1.25;;;;0.51;1.99;0.18;;;;0.0667;2.4;1;;1.67;0.2;0.0667;;0.167;;;;;0.0667;0.0167
65;300485.7;4228392.41;N5;600;4000;800;293000;3301.18;3800;1663.78;360;512;49.76;575;800;8;2.01;;;1.7;12;10.73;4.3;23.05;44.94;0.5;;;0.8;4.12;11;;;3.15;;;0.0025;0.51;;;1.12;;;;0.52;5.07;0.93;;;;0.8;10.8;11;;8;1.6;0.4;;0.167;;;;;1.1;0.17
66;337114.75;4217717.27;N8;200;52300;1700;239000;5503.95;4200;1567.19;220;79;38.93;51.13;700;5.9;1.59;;;1.3;8;10.26;1.65;14.54;13.47;0.5;;;1.9;8.84;3;;;3.56;;;0.0025;1.05;;;1.13;;;;0.54;7.61;0.5;;;;1.2;4.7;8;;7;0.7;0.0667;;0.167;;;;;0.3;0.06
67;338294.99;4216249.04;N9;100;1900;800;3300;3448;63500;789;410;812;77.26;11.13;100;9.8;1.92;;;2.8;16;13.1;6.37;18.92;11.05;34;;;5.3;4.44;9;;;2.64;;;0.0025;0.64;;;0.75;;;;0.33;7.08;0.32;;;;3.2;11.3;28;;16;2.5;0.5;;0.167;;;;;1.2;0.17
68;338428.21;4211325.96;N10;200;119000;100;182000;182.3;300;928.25;50;26;5.54;77.48;1000;2.8;1.79;;;0.4;8;5.02;0.46;6.64;3.91;0.5;;;1;1.99;4;;;1.69;;;0.0025;0.68;;;0.75;;;;0.39;3.81;2.24;;;;0.0667;1.3;1;;1.67;0.2;0.0667;;0.167;;;;;0.3;0.0167
69;339113.31;4210866.72;N11;100;13800;1800;282000;5016.06;4700;1573.09;100;81;28.37;33.78;700;5.3;1.9;;;1.6;9;8.22;1.82;11.47;8.95;0.5;;;1.5;8.39;5;;;1.69;;;0.0025;0.7;;;0.77;;;;0.45;2.88;0.22;;;;1;4.7;8;;1.67;0.8;0.0667;;0.167;;;;;0.4;0.08
70;339762.66;4199595.94;N12;500;2900;1600;249000;4273.58;5900;1423.58;160;495;237.36;231.32;700;6.1;1.7;;;1.7;8;8;1.52;11.02;13.12;0.5;;;1;5.94;16;;;1.16;;;0.0025;0.39;;;0.47;;;;0.34;3.55;0.21;;;;1;14.8;11;;14;2;0.4;;0.167;;;;;1.5;0.21
71;361021.97;4201749.86;N16;200;600;3300;2600;6299.61;6200;557.59;100;12;123.6;14.15;100;7.9;1.11;;;1.1;14;8.85;0.92;11.07;6.37;8;;;1.7;8.76;3;;;1.14;;;0.0025;0.47;;;4.3;;;;0.32;42.33;0.16;;;;1.9;9.8;20;;11;1.1;0.0667;;0.167;;;;;0.7;0.1
72;359547.44;4202049.75;N17;100;3500;100;312000;189.04;500;1507.8;130;68;10.18;154.36;1100;2.2;1.18;;;0.2;1;3.91;0.63;8.17;4.84;0.5;;;0.167;1.93;3;;;1.29;;;0.0025;0.69;;;1.09;;;;0.47;2.52;0.09;;;;0.0667;1.3;1;;1.67;0.1;0.0667;;0.167;;;;;0.0667;0.0167
73;344384.89;4184703.61;N20;100;700;4600;3400;11033.86;5500;972.31;80;7;45.58;18.38;0.0033;16.4;1.41;;;1.2;10;10.17;0.89;18.37;8.05;12;;;113;11.82;4;;;1.42;;;0.0025;0.72;;;0.34;;;;0.51;4.01;0.37;;;;2.9;11;24;;11;1.4;0.4;;0.167;;;;;0.8;0.1
74;365303.8;4191724.44;N24;7000;11300;16600;155000;22342.52;28900;2464.57;460;1720;130.75;163.13;300;18.8;2.51;;;10.4;38;26.08;10.39;47.8;54.47;48;;;3.9;60.16;29;;;1.55;;;0.0025;0.63;;;0.54;;;;0.61;16.51;0.31;;;;7.1;37;59;;41;6.1;1.5;;0.167;;;;;2.5;0.41
75;409921.04;4202588.89;N34;50;1900;600;302000;352.36;2800;1206.89;110;337;4.65;284.25;800;4.2;1.31;;;1;4;4.85;0.81;8.03;4.35;0.5;;;1.4;3.45;11;;;1.86;;;0.0025;0.64;;;2.5;;;;0.6;2.07;0.61;;;;0.4;12.2;5;;6;1.3;0.4;;0.167;;;;;1.1;0.12
76;412554.16;4199773.02;N35;3400;5900;24900;39800;44188.38;18500;2226.45;270;651;800.6;555.71;0.167;17;3.16;;;7.9;7;4.61;1.57;18.15;7.03;56;;;0.167;85.55;47;;;1.18;;;0.0025;0.85;;;0.86;;;;0.72;16.25;2.8;;;;16.4;45.3;86;;46;6.8;1.4;;1;;;;;5.7;0.8
77;418797.7;4196881.43;N42;50;200;200;189000;142.76;300;607.5;20;22;4.05;442.01;152000;1.4;0.88;;;0.05;1;4.38;0.57;5.35;4.65;0.5;;;0.167;1.5;0.5;;;0.98;;;0.0025;0.48;;;0.57;;;;0.34;1.55;0.04;;;;0.0667;0.167;1;;1.67;0.033;0.0667;;0.167;;;;;0.0667;0.0167
78;404929.04;4191620.04;N45;2300;3200;11400;1500;20500;79500;3652.78;560;355;220.24;80.02;2000;26.3;2.44;;;15;118;48.29;19.39;23.92;15.64;121;;;11.9;51.77;15;;;2.14;;;0.0025;0.75;;;0.5;;;;0.57;17.78;1.27;;;;14.2;51.4;102;;56;9.8;2.3;;0.8;;;;;4.9;0.7
79;531475.86;4222558.5;PE3;350;9600;6700;5000;21200;30000;1020;970;378;131;25.1;830;30.6;0.9;7;0.2;5.9;53;40;10.7;27.7;33.5;97.7;8.82;0.033;2.8;46.3;11.7;1.6;1.9;0.52;0.082;0.03;1.34;0.19;0.0066;1.94;0.09;0.4;3.8;0.0038;0.4;14.6;20;0.02;0.033;0.0167;8.6;29.4;60.7;6.1;23.1;4.8;0.7;4;0.6;2.8;0.4;1.2;0.1;0.9;0.1
80;531280.32;4221388.48;PE4;820;6900;3200;19400;12400;18400;650;780;447;91.1;74.1;830;14.1;0.6;13;0.24;3.1;35;23;7;16.6;26.9;103;4.78;0.033;2.8;24.5;6.32;1.8;2.5;0.77;0.116;0.0066;1.58;0.39;0.0066;1.06;0.3;0.6;2;0.002;0.21;15.2;40;0.04;0.033;0.0167;2.9;14.5;29;2.9;11.1;1.9;0.4;1.9;0.3;1.4;0.2;0.6;0.033;0.5;0.033
81;530005.71;4217422.53;PE5;320;5300;3000;5800;18300;21500;350;730;351;77.3;56.6;830;18.4;1;9;0.19;3.6;35;26;7.9;16;26.7;60.6;6.35;0.033;3.6;22.9;12.3;0.8;1.2;0.82;0.1;0.02;1.18;0.11;0.0066;1.1;0.09;0.5;3.7;0.0037;0.26;13.8;10;0.01;0.033;0.0167;5.1;24.3;49.5;5.2;20.1;4.5;0.9;3.6;0.5;2.6;0.4;1.1;0.1;0.9;0.1
82;529824.63;4218745.68;PE6;520;8900;5400;6200;31300;40800;1380;930;839;193;54.5;830;32.6;1.2;7;0.62;6.3;85;54;18.3;38.5;70.2;92.2;11.1;0.033;7.9;48.4;14.2;5.2;4.6;1.27;0.183;0.07;2.76;0.13;0.11;3.15;0.28;0.6;1.6;0.0016;0.9;22;40;0.04;0.1;0.0167;7.5;36.5;71.9;6.7;23.9;5.5;0.9;3.8;0.6;3;0.5;1.4;0.2;1.2;0.2
83;530198.3;4217336.37;PE8;540;13700;6100;9000;21900;37400;1280;1320;591;112;69.8;830;37.2;0.8;5;0.24;6.3;64;54;17.6;43.8;38.6;74.2;9.14;0.033;4.8;45.3;13.5;1;2.5;0.59;0.109;0.03;1.84;0.07;0.05;3.37;0.17;0.7;1.4;0.0014;0.42;11.3;30;0.03;0.033;0.0167;9.2;26;52.3;5.2;19.3;5.1;0.7;3.7;0.5;2.8;0.4;1.4;0.2;1.2;0.2
