  1490833.00  4920303.00   0.40   6     43
  1490833.00  4920303.00   0.20   6     43
  1490833.00  4920303.00   0.00   6     43
  1490833.00  4920303.00  -0.20   6     43
  1490833.00  4920303.00  -0.40   6     43
  1490833.00  4920303.00  -0.60   6     43
  1490833.00  4920303.00  -0.80   6     43
  1490833.00  4920303.00   1.80   6     43
  1490833.00  4920303.00   1.60   6     43
  1490833.00  4920303.00   1.40   6     43
  1490833.00  4920303.00   1.20   6     43
  1490833.00  4920303.00   1.00   6     43
  1490833.00  4920303.00   0.80   6     43
  1490833.00  4920303.00   0.60   6     43
  1490833.00  4920303.00   3.20   6     43
  1490833.00  4920303.00   3.00   6     43
  1490833.00  4920303.00   2.80   6     43
  1490833.00  4920303.00   2.60   6     43
  1490833.00  4920303.00  -0.20   6     43
  1490833.00  4920303.00  -0.40   6     43
  1490833.00  4920303.00  -0.60   6     43
  1492825.00  4918118.00   5.50   5     46
  1492825.00  4918118.00   5.30   5     46
  1492825.00  4918118.00   5.10   5     46
  1492825.00  4918118.00   4.90   5     46
  1492825.00  4918118.00   4.70   5     46
  1492825.00  4918118.00   4.50   5     46
  1492825.00  4918118.00   4.30   5     46
  1492825.00  4918118.00   4.10   5     46
  1492825.00  4918118.00   3.90   5     46
  1492825.00  4918118.00   3.70   5     46
  1492825.00  4918118.00   3.50   5     46
  1492825.00  4918118.00   3.30   5     46
  1492825.00  4918118.00   3.10   5     46
  1492825.00  4918118.00   2.90   5     46
  1492825.00  4918118.00   2.70   5     46
  1492825.00  4918118.00   2.50   5     46
  1492825.00  4918118.00   2.30   5     46
  1492825.00  4918118.00   2.10   5     46
  1492825.00  4918118.00   1.90   5     46
  1492825.00  4918118.00   1.70   5     46
  1492825.00  4918118.00   1.50   5     46
  1492825.00  4918118.00   1.30   5     46
  1492825.00  4918118.00   1.10   5     46
  1492825.00  4918118.00   0.90   5     46
  1492825.00  4918118.00   0.70   5     46
  1492825.00  4918118.00   0.50   5     46
  1492825.00  4918118.00   0.30   5     46
  1492825.00  4918118.00  -0.20   4     46
  1492825.00  4918118.00  -0.40   4     46
  1492825.00  4918118.00  -0.60   4     46
  1492825.00  4918118.00  -0.80   4     46
  1492825.00  4918118.00  -1.00   4     46
  1492825.00  4918118.00  -1.20   4     46
  1492825.00  4918118.00  -1.40   4     46
  1492825.00  4918118.00  -1.60   4     46
  1492825.00  4918118.00  -1.80   4     46
  1492825.00  4918118.00  -2.00   4     46
  1492825.00  4918118.00  -2.20   4     46
  1492825.00  4918118.00  -2.40   4     46
  1492825.00  4918118.00  -2.60   4     46
  1492825.00  4918118.00  -2.80   4     46
  1492825.00  4918118.00  -3.00   4     46
  1492825.00  4918118.00  -3.20   4     46
  1492825.00  4918118.00  -3.40   4     46
  1492825.00  4918118.00  -3.60   4     46
  1492825.00  4918118.00  -3.80   4     46
  1492825.00  4918118.00  -4.00   4     46
  1492825.00  4918118.00  -4.20   4     46
  1492825.00  4918118.00  -4.40   4     46
  1492825.00  4918118.00  -4.60   4     46
  1492825.00  4918118.00  -4.80   4     46
  1492825.00  4918118.00  -5.00   4     46
  1492825.00  4918118.00  -5.20   4     46
  1492825.00  4918118.00  -5.40   4     46
  1492825.00  4918118.00  -5.60   4     46
  1491597.00  4924349.00   4.80   6     49
  1491597.00  4924349.00   4.60   6     49
  1491597.00  4924349.00   4.40   6     49
  1491597.00  4924349.00   4.20   6     49
  1491597.00  4924349.00   4.00   6     49
  1491597.00  4924349.00   3.80   6     49
