1497449.47;4920924.93;46.59;141;5
1497448.94;4920923.73;46.59;142;5
1497443.12;4920920.43;44.76;143;5
1497436.16;4920916.49;45.19;144;5
1497429.21;4920912.55;43.25;145;5
1497428.22;4920911.99;43.25;146;5
1497425.84;4920905.55;44.02;147;5
1497424.77;4920902.66;42.98;148;5
1497423.15;4920898.02;41.26;149;5
1497420.51;4920890.47;43.59;150;5
1497419.94;4920888.85;41.28;151;5
1497417.37;4920883.12;42.37;152;5
1497414.09;4920875.82;41.12;153;5
1497412.8;4920872.95;43.38;154;5
1497409.37;4920869.52;43.44;155;5
1497403.72;4920863.86;42.88;156;5
1497399.68;4920859.82;42.46;157;5
1497398.12;4920858.16;42.46;158;5
1497392.64;4920852.33;41.76;159;5
1497388.98;4920848.43;41.06;160;5
1497387.32;4920846.36;41.06;161;5
1497382.33;4920840.11;40.76;162;5
1497377.93;4920834.61;40.76;163;5
1497377.56;4920833.73;40.76;164;5
1497374.45;4920826.36;40.72;165;5
1497371.33;4920819;40.7;166;5
1497368.22;4920811.63;40.71;167;5
1497367.57;4920810.09;40.71;168;5
1497365.04;4920804.29;41.5;169;5
1497361.84;4920796.96;40.64;170;5
1497358.64;4920789.63;40.6;171;5
1497355.44;4920782.3;40.62;172;5
1497354.45;4920780.04;40.65;173;5
1497352.31;4920774.94;40.58;174;5
1497349.22;4920767.56;40.59;175;5
1497346.14;4920760.19;40.56;176;5
1497343.05;4920752.81;40.49;177;5
1497339.96;4920745.43;40.5;178;5
1497339.26;4920743.77;40.44;179;5
1497336.65;4920738.15;40.44;180;5
1497334.77;4920734.1;40.4;181;5
1497336.85;4920732.72;40.49;182;5
1497336.46;4920731.76;40.49;183;5
1497333.49;4920724.33;40.51;184;5
1497330.52;4920716.9;40.67;185;5
1497329.94;4920715.45;40.59;186;5
1497330.63;4920713.73;40.69;187;5
1497328.9;4920709.49;40.53;188;5
1497325.87;4920702.09;40.44;189;5
1497322.84;4920694.69;40.42;190;5
1497320.48;4920688.9;40.5;191;5
1497319.82;4920687.28;40.47;192;5
1497318.2;4920683.33;40.45;193;5
1497317.04;4920683.79;40.45;194;5
1497314.74;4920684.71;40.37;195;5
1497313.02;4920685.4;40.49;196;5
1497310.19;4920679.94;41.76;197;5
1497308.19;4920676.08;40.73;198;5
1497304.58;4920675.57;40.53;199;5
1497296.66;4920674.45;41.56;200;5
1497288.74;4920673.33;40.9;201;5
1497288.21;4920673.26;40.9;202;5
1497287.31;4920665.85;41.42;203;5
1497286.83;4920661.86;41.69;204;5
1497284.92;4920658.37;41.82;205;5
1497281.09;4920651.35;42.23;206;5
1497277.25;4920644.33;43.26;207;5
1497274.75;4920639.76;43.8;208;5
1497273.09;4920637.52;43.8;209;5
1497268.33;4920631.1;40.27;210;5
1497266.81;4920629.05;40.56;211;5
1497263.13;4920625.03;40.26;212;5
1497257.74;4920619.12;40.23;213;5
1497255.76;4920616.96;40.23;214;5
1497254.02;4920612.2;39.68;215;5
1497251.96;4920606.6;40.3;216;5
1497251.63;4920604.6;40.3;217;5
1497250.33;4920596.7;40.43;218;5
1497249.04;4920588.81;40.43;219;5
1497247.74;4920580.92;40.38;220;5
1497246.44;4920573.03;40.47;221;5
1497245.15;4920565.13;40.96;222;5
1497243.85;4920557.24;36.83;223;5
1497242.55;4920549.35;41.34;224;5
1497241.26;4920541.46;42.75;225;5
1497239.96;4920533.57;37.11;226;5
1497239.53;4920530.96;37.11;227;5
1497238.62;4920525.68;37.25;228;5
1497237.25;4920517.8;43.28;229;5
1497235.88;4920509.92;43.66;230;5
1497234.52;4920502.04;40.33;231;5
1497233.15;4920494.16;41.93;232;5
1497231.78;4920486.28;43.18;233;5
1497230.42;4920478.4;43.41;234;5
1497229.17;4920471.21;38.98;235;5
1497229.05;4920470.52;38.98;236;5
1497227.63;4920462.65;42.55;237;5
1497226.22;4920454.77;43.5;238;5
1497224.81;4920446.9;37.1;239;5
1497223.4;4920439.03;37.33;240;5
1497221.98;4920431.16;37.26;241;5
1497221.92;4920430.8;37.26;242;5
1497220.52;4920423.29;36.78;243;5
1497219.05;4920415.43;36.57;244;5
1497217.58;4920407.57;36.82;245;5
1497216.11;4920399.71;37.32;246;5
1497214.64;4920391.85;36.61;247;5
1497213.17;4920383.99;36.66;248;5
1497211.82;4920376.76;37.8;249;5
1497211.7;4920376.12;37.8;250;5
1497210.22;4920368.26;37.84;251;5
1497210.2;4920368.14;37.84;252;5
1497215.72;4920364.69;40.56;253;5
1497215.72;4920364.69;40.56;254;5
1497215.84;4920363.33;40.56;255;5
1497216.41;4920356.75;41.42;256;5
1497215.92;4920355.45;41.42;257;5
1497214.31;4920351.13;34.44;258;5
1497213.12;4920347.96;37.05;259;5
1497210.31;4920340.47;38.27;260;5
1497208.13;4920334.64;37.17;261;5
