depth;T
-113;12.56
66;15.25
244;18.85
323;20.72
459;24.29
619;28.64
779;33.14
978;38.74
1176;44.25
1375;49.60
1495;52.74
1614;55.82
1698;58.37
1857;62.38
2017;66.28
2177;70.10
2337;73.83
2520;78.02
2702;82.14
2885;86.20
3067;90.22
3149;92.42
3279;95.41
3378;98.41
3482;101.47
3586;104.51
3702;107.12
3817;109.70
3980;113.30
4142;116.86
4288;120.31
4433;123.72
4455;124.34
4533;126.01
4641;129.02
4834;133.55
5028;138.08
5221;142.63
5414;147.20
5608;151.77
5801;156.37
