631224.3 4493880 128.8686
631224.3 4493880 128.7686
631224.3 4493880 128.6686
631224.3 4493880 128.5686
631224.3 4493880 128.4686
631224.3 4493880 128.3686
631272.7 4493945 131.1597
631272.7 4493945 131.0597
631272.7 4493945 130.9597
631272.7 4493945 130.8597
631272.7 4493945 130.7597
631272.7 4493945 130.6597
631354.7 4494001 134.2693
631354.7 4494001 134.1693
631354.7 4494001 134.0693
631354.7 4494001 133.9693
631354.7 4494001 133.8693
631354.7 4494001 133.7693
631292.8 4493790 123.1588
631292.8 4493790 123.0588
631292.8 4493790 122.9588
631292.8 4493790 122.8588
631292.8 4493790 122.7588
631292.8 4493790 122.6588
631345 4493857 123.0241
631345 4493857 122.9241
631345 4493857 122.8241
631345 4493857 122.7241
631345 4493857 122.6241
631345 4493857 122.5241
631398.2 4493920 123.678
631398.2 4493920 123.578
631398.2 4493920 123.478
631398.2 4493920 123.378
631398.2 4493920 123.278
631398.2 4493920 123.178
631364.3 4493731 121.4938
631364.3 4493731 121.3938
631364.3 4493731 121.2938
631364.3 4493731 121.1938
631364.3 4493731 121.0938
631364.3 4493731 120.9938
631425 4493831 120.6449
631425 4493831 120.5449
631425 4493831 120.4449
631425 4493831 120.3449
631425 4493831 120.2449
631425 4493831 120.1449
631441.5 4493687 119.9658
631441.5 4493687 119.8658
631441.5 4493687 119.7658
631441.5 4493687 119.6658
631441.5 4493687 119.5658
631441.5 4493687 119.4658
631507.3 4493756 117.3928
631507.3 4493756 117.2928
631507.3 4493756 117.1928
631507.3 4493756 117.0928
631507.3 4493756 116.9928
631507.3 4493756 116.8928
