"id";"date";"lat";"lon";"forecast"
"4378780076121";"080320180200";"388411.71";"4849436.97";"0.14"
"4379330076189";"080320180200";"388969.04";"4850038.69";"0.182"
"4382270077862";"080320180200";"402476.81";"4853093.05";"0.197"
"4382760076985";"080320180200";"395433.07";"4853744.48";"0.245"
"4383100075432";"080320180200";"382952.42";"4854330.3";"0.242"
"4384600076210";"080320180200";"389235.56";"4855889.08";"0.122"
"4385260079286";"080320180200";"413970.76";"4856255.79";"0.214"
"4387180102403";"080320180200";"599737.63";"4858578.04";"0.257"
"4387320075448";"080320180200";"383163.55";"4859015.08";"0.215"
"4387960080165";"080320180200";"421071.27";"4859166.82";"0.305"
"4387970077739";"080320180200";"401581.59";"4859438.45";"0.07"
"4388860076018";"080320180200";"387772.24";"4860646.47";"0.183"
"4389590102419";"080320180200";"599825.96";"4861256.7";"0.288"
"4390460077333";"080320180200";"398362.29";"4862253.23";"0.138"
"4390590079515";"080320180200";"415886.42";"4862152.08";"0.306"
"4391860076945";"080320180200";"395271.07";"4863856.69";"0.242"
"4391990080677";"080320180200";"425235.05";"4863595.16";"0.262"
"4393070078420";"080320180200";"407131.97";"4865024";"0.193"
"4393330080007";"080320180200";"419874.09";"4865146.37";"0.157"
"4393960076081";"080320180200";"388373.75";"4866302.42";"0.093"
"4396140076850";"080320180200";"394584.09";"4868622.53";"0.145"
"4397240101848";"080320180200";"595118.02";"4869686.08";"0.33"
"4397710079532";"080320180200";"416123.2";"4870058.41";"0.305"
"4397920081036";"080320180200";"428188.73";"4870149.6";"0.117"
"4398130078667";"080320180200";"409191.77";"4870616.57";"0.221"
"4398150076998";"080320180200";"395806.64";"4870836.21";"0.33"
"4399180102519";"080320180200";"600467.59";"4871920.31";"0.31"
"4399290102094";"080320180200";"597057.87";"4871991.63";"0.304"
"4399450077624";"080320180200";"400848.85";"4872202.89";"0.038"
"4400620081693";"080320180200";"433488.28";"4873093.31";"0.083"
"4400650080352";"080320180200";"422738.3";"4873243.67";"0.297"
"4402370102285";"080320180200";"598538.43";"4875435.22";"0.31"
"4403010101718";"080320180200";"593984.19";"4876079.91";"0.312"
"4403910102463";"080320180200";"599939.12";"4877167.12";"0.409"
"4404200077934";"080320180200";"403411.74";"4877441.88";"0.306"
"4404420077211";"080320180200";"397622.93";"4877773.6";"0.052"
"4404520100601";"080320180200";"585011.56";"4877635.88";"0.627"
"4404630101118";"080320180200";"589151.82";"4877812.64";"0.542"
"4404780101100";"080320180200";"589005.38";"4877977.3";"0.049"
"4404880082108";"080320180200";"436860.49";"4877792.21";"0.235"
"4404950079147";"080320180200";"413141.12";"4878139.76";"0.455"
"4405020100141";"080320180200";"581319.46";"4878144.85";"0.368"
"4405200098359";"080320180200";"567042.27";"4878184.52";"0.378"
"4405690101742";"080320180200";"594134.1";"4879059.33";"0.007"
"4405720080413";"080320180200";"423292.81";"4878869.21";"0.305"
"4405760102075";"080320180200";"596800.24";"4879175.64";"0.351"
"4405830101682";"080320180200";"593651.3";"4879208";"0.437"
"4406390078664";"080320180200";"409293.88";"4879791.28";"0.376"
"4406390099723";"080320180200";"577953.01";"4879626.15";"0.014"
"4406390100817";"080320180200";"586714.76";"4879735.39";"0.06"
"4406510100767";"080320180200";"586312.57";"4879863.43";"0.063"
"4406540080043";"080320180200";"420340.19";"4879815.14";"0.305"
"4406880081796";"080320180200";"434383.2";"4880038.02";"0.072"
"4406940077306";"080320180200";"398427.16";"4880560.81";"0.226"
