1492454;4924230
1491648;4924444
1493192;4922722
1491936;4922718
1492491;4923695
1491910;4923508
1493919;4922765
1492687;4918087
1492325;4927894
1491480;4924340
1492111;4927766
1492572;4927080
1492726;4924807
1491912;4926098
1493770;4922670
1491855;4926189
1490522;4920697
1491801;4925995
1491912;4922017
1492011;4922458
1490235;4920888
1492081;4917441
1492296;4917206
1492129;4924261
1492562;4923594
1491911;4923618
1492769;4924981
1491788;4917776
1492241;4927419
1492084;4917453
1492459;4921169
1491765;4921486
1491323;4925501
1492289;4918738
1492222;4922831
1491504;4924413
1492729;4926967
1492319;4917790
1497177;4916061
1492272;4925017
1492261;4927360
1493612;4919182
1491853;4919852
1494818;4918244
1491026;4919921
1492267;4921312
1492677;4927031
1490989;4921855
1492254;4923437
1491597;4924085
1491113;4921579
1491852;4920712
1493618;4924204
1491882;4926476
1491970;4924614
1493751;4919092
1491637;4919271
1491961;4926223
1492512;4924237
1492370;4923569
1490284;4918315
1490390;4918470
1492565;4924304
1492512;4924148
1495938;4917175
1495923;4920244
1498803;4922913
1497523;4920602
1492504;4922194
1495919;4917174
1495923;4920244
1495807;4920236
1497515;4920602
1497909;4917263
1492504;4922194
1495905;4917172
1495923;4920244
1492500;4922300
1492504;4922194
1495913;4917157
1495923;4920244
1492500;4922300
1492504;4922194
1495927;4917153
1495923;4920244
1492500;4922300
1492500;4922300
1495946;4917146
1495923;4920244
1492500;4922300
1492500;4922300
1492504;4922194
1495957;4917132
1492500;4922300
1492504;4922194
1492500;4922300
1492504;4922194
1495975;4917139
1492500;4922300
1492290;4917486
1495046;4918658
1492177;4925863
1491876;4924767
1492504;4922194
1493048;4921647
1492825;4918118
1491285;4922902
1492570;4920879
1492596;4924529
1493128;4921678
1495308;4918041
1490371;4918394
1491231;4923171
1493126;4918175
1496372;4915913
1494370;4918278
1495110;4918966
1494352;4918106
1495118;4918422
1486875;4920095
1494625;4916195
1481628;4920423
1480799;4919852
1480666;4920170
1493472;4918759
1489303;4918002
1482326;4919593
1481599;4919763
1481304;4920200
1486219;4919397
1495155;4918239
1481299;4920135
1486155;4919391
1487861;4919727
1480799;4919852
1487724;4919938
1482846;4919464
1492156;4917002
1479832;4920812
1489767;4918195
1488209;4926035
1495540;4916240
1494152;4918575
1486184;4919543
1483981;4919423
1481052;4919525
1485874;4922175
1479050;4920332
1485690;4923099
1488844;4918655
1478268;4921537
1484509;4919396
1484660;4919054
1482795;4920193
1484288;4919622
1482890;4919619
1495532;4917158
1485939;4919706
1486238;4919508
1479555;4920771
1490320;4920733
1484869;4919635
1487277;4925062
1489504;4918827
1494903;4916188
1481672;4919388
1482489;4919846
1476800;4923079
1478243;4918581
1485570;4920061
1476805;4923089
1489538;4919966
1489040;4918699
1481781;4920064
1479963;4919870
1481762;4919198
1485840;4922072
1490212;4918237
1493497;4919178
1482327;4919412
1484472;4919058
1487885;4919646
1484387;4919458
1484932;4919284
1485083;4919578
1489350;4917887
1493326;4918587
1494868;4919164
1494498;4916713
1494688;4917902
1495296;4917967
1493765;4919086
1486844;4920022
1486836;4925113
1492513;4918106
1480298;4921334
1483101;4919550
1482903;4919475
1492546;4917414
1489136;4919952
1485502;4919544
1495341;4917843
1492306;4918559
1484927;4921248
1496858;4917651
1481052;4919895
1482366;4920193
1477947;4919312
1479698;4921119
1481087;4920009
1489483;4919912
1487147;4920437
1485203;4919135
1495051;4918967
1480642;4919674
1486800;4925077
1479742;4919713
1493366;4916016
1481929;4922328
1479481;4919612
1484828;4919200
1478610;4919124
1495178;4916456
1489159;4918119
1484356;4919500
1483263;4919212
1478854;4918906
1478500;4919045
1489526;4918534
1494595;4918107
1480622;4919669
1494605;4916760
1481777;4920631
1488725;4918824
1490828;4918322
1492025;4927333
1492212;4920854
1491288;4923367
1491166;4922999
1492243;4924633
1491320;4925979
1496361;4915575
1495020;4916622
1492445;4924168
1494938;4916656
1492158;4928145
1493615;4919356
1492393;4927537
1491818;4925603
1491810;4928091
1490095;4920675
1493989;4918692
1493001;4921688
1493187;4924934
1492842;4924486
1491837;4920761
1495883;4917840
1491637;4922805
1491690;4921836
1495466;4917892
1491068;4918243
1493585;4924766
1497594;4916283
1494578;4916129
1497720;4917747
1493432;4918186
1497320;4916505
1495870;4917744
1495518;4916337
1495411;4917402
1492834;4917908
1494218;4917824
1494800;4918069
1494498;4918023
1492713;4918397
1500997;4921528
1498275;4922713
1499171;4923517
1496152;4917513
1498821;4921142
1495558;4919190
1500177;4921516
1495043;4919214
1497650;4921922
1495536;4917384
1498408;4919049
1497714;4921695
1496172;4917444
1501089;4921394
1502056;4921198
1497478;4920363
1501699;4922309
1501297;4922209
1495678;4919229
1499480;4922049
1495317;4918555
1495681;4918587
1494407;4919421
1492242;4918650
1500471;4915923
1500091;4916145
1500135;4916098
1498629;4915689
1498781;4916811
1503125;4914573
1502966;4915281
1499155;4917422
1502943;4914922
1501311;4918815
1501457;4919981
1500677;4918162
1504570;4914163
1499239;4916871
1498508;4915626
1501164;4914856
1503042;4915237
1502590;4914611
1496271;4915998
1497997;4915827
1503009;4914649
1498113;4915746
1498786;4916099
1498460;4917137
1499504;4915296
1497285;4915605
1499102;4917059
1499839;4916105
1503734;4914291
1500897;4919407
1500744;4915336
1503114;4915188
1500711;4915388
1497990;4915316
1492815;4917832
1502427;4914595
1502956;4914669
1499810;4915474
1492409;4917639
1491747;4917712
1493618;4918147
1494570;4916822
1493455;4919236
1499628;4921014
1501542;4921977
1498043;4922727
1497939;4920642
1498396;4923687
1497842;4922922
1496248;4919994
1497039;4918681
1497138;4918191
1495848;4920295
1495563;4916498
1501143;4920225
1499248;4921169
1497727;4920322
1497205;4918480
1497560;4923082
1495817;4920263
1497336;4919199
1497646;4918990
1494817;4917998
1497118;4918783
1499154;4921216
1496876;4919824
1497619;4921400
1495908;4920067
1498688;4922540
1498554;4920866
1496935;4918707
1496870;4918661
1502108;4923028
1499165;4922525
1496481;4919779
1498467;4919101
1498098;4923302
1497352;4920548
1498121;4918718
1497954;4920766
1496840;4918416
1496288;4918703
1500588;4920766
1499404;4921637
1499126;4923490
1498897;4923096
1497631;4920894
1496582;4917322
1500609;4921947
1496920;4919081
1498042;4917792
1492758;4919067
1498906;4922656
1497059;4922064
1495920;4919832
1501414;4921971
1498060;4919000
1499449;4923147
1499495;4922154
1498625;4922458
1498093;4922474
1497838;4920334
1496946;4922148
1498729;4918255
1498147;4922268
1498479;4919466
1498248;4918873
1497102;4918490
1501677;4922431
1498156;4918807
1492714;4919384
1497458;4917615
1501865;4921983
1496081;4918639
1496557;4917415
1500755;4922403
1500311;4921669
1500413;4922133
1497648;4917813
1501326;4921673
1495470;4917442
1497233;4917449
1501705;4920151
1496968;4923812
1497844;4923040
