1492454;4924230;53.45
1491648;4924444;66.95
1493192;4922722;155.34
1491936;4922718;28.70
1492491;4923695;35.11
1491910;4923508;29.26
1493919;4922765;317.25
1492687;4918087;34.82
1492325;4927894;189.10
1491480;4924340;52.68
1492111;4927766;119.42
1492572;4927080;107.67
1492726;4924807;121.34
1491912;4926098;73.27
1493770;4922670;237.94
1491855;4926189;80.46
1490522;4920697;39.30
1491801;4925995;113.90
1491912;4922017;80.50
1492011;4922458;33.45
1490235;4920888;101.23
1492081;4917441;0.86
1492296;4917206;11.91
1492129;4924261;55.06
1492562;4923594;53.94
1491911;4923618;43.92
1492769;4924981;143.69
1491788;4917776;36.86
1492241;4927419;110.30
1492084;4917453;1.07
1492459;4921169;32.04
1491765;4921486;33.58
1491323;4925501;198.11
1492289;4918738;129.57
1492222;4922831;34.65
1491504;4924413;55.15
1492729;4926967;120.55
1492319;4917790;88.04
1497177;4916061;40.26
1492272;4925017;57.04
1492261;4927360;98.42
1493612;4919182;133.46
1491853;4919852;93.52
1494818;4918244;121.86
1491026;4919921;4.75
1492267;4921312;69.40
1492677;4927031;108.60
1490989;4921855;72.54
1492254;4923437;61.68
1491597;4924085;92.53
1491113;4921579;21.01
1491852;4920712;48.58
1493618;4924204;160.15
1491882;4926476;115.40
1491970;4924614;43.05
1493751;4919092;88.72
1491637;4919271;17.05
1491961;4926223;74.50
1492512;4924237;44.56
1492370;4923569;24.63
1490284;4918315;18.10
1490390;4918470;-15.34
1492565;4924304;45.26
1492512;4924148;37.66
1495938;4917175;0.32
1495923;4920244;93.08
1498803;4922913;129.21
1497523;4920602;103.36
1492504;4922194;99.82
1495919;4917174;5.16
1495923;4920244;72.08
1495807;4920236;37.33
1497515;4920602;102.43
1497909;4917263;72.47
1492504;4922194;104.32
1495905;4917172;15.48
1495923;4920244;73.08
1492500;4922300;149.28
1492504;4922194;94.32
1495913;4917157;1.30
1495923;4920244;97.58
1492500;4922300;142.68
1492504;4922194;104.82
1495927;4917153;-0.03
1495923;4920244;92.38
1492500;4922300;149.68
1492500;4922300;143.68
1495946;4917146;-7.63
1495923;4920244;79.98
1492500;4922300;147.48
1492500;4922300;147.48
1492504;4922194;104.32
1495957;4917132;-23.34
1492500;4922300;143.68
1492504;4922194;103.32
1492500;4922300;149.68
1492504;4922194;104.32
1495975;4917139;-17.12
1492500;4922300;149.68
1492290;4917486;21.73
1495046;4918658;178.91
1492177;4925863;83.05
1491876;4924767;65.06
1492504;4922194;99.82
1493048;4921647;173.86
1492825;4918118;27.12
1491285;4922902;162.02
1492570;4920879;84.55
1492596;4924529;85.13
1493128;4921678;208.31
1495308;4918041;113.00
1490371;4918394;6.76
1491231;4923171;181.34
1493126;4918175;26.28
1496372;4915913;25.83
1494370;4918278;49.05
1495110;4918966;278.86
1494352;4918106;21.08
1495118;4918422;142.21
1486875;4920095;138.69
1494625;4916195;-12.83
1481628;4920423;179.62
1480799;4919852;66.52
1480666;4920170;89.73
1493472;4918759;32.34
1489303;4918002;-4.18
1482326;4919593;5.21
1481599;4919763;20.42
1481304;4920200;118.73
1486219;4919397;8.84
1495155;4918239;143.87
1481299;4920135;98.37
1486155;4919391;10.78
1487861;4919727;20.39
1480799;4919852;66.52
1487724;4919938;67.96
1482846;4919464;9.95
1492156;4917002;-2.94
1479832;4920812;12.86
1489767;4918195;0.26
1488209;4926035;638.10
1495540;4916240;22.49
1494152;4918575;107.44
1486184;4919543;29.94
1483981;4919423;36.69
1481052;4919525;6.15
1485874;4922175;180.75
1479050;4920332;3.12
1485690;4923099;133.72
1488844;4918655;7.12
1478268;4921537;52.87
1484509;4919396;108.72
1484660;4919054;43.73
1482795;4920193;40.80
1484288;4919622;93.09
1482890;4919619;45.69
1495532;4917158;-5.04
1485939;4919706;4.96
1486238;4919508;32.95
1479555;4920771;86.09
1490320;4920733;32.13
1484869;4919635;30.86
1487277;4925062;469.61
1489504;4918827;52.30
1494903;4916188;27.57
1481672;4919388;-1.24
1482489;4919846;35.52
1476800;4923079;243.99
1478243;4918581;83.43
1485570;4920061;17.16
1476805;4923089;248.33
1489538;4919966;66.08
1489040;4918699;75.27
1481781;4920064;72.60
1479963;4919870;56.78
1481762;4919198;-7.29
1485840;4922072;121.98
1490212;4918237;10.95
1493497;4919178;80.25
1482327;4919412;4.15
1484472;4919058;1.11
1487885;4919646;36.28
1484387;4919458;77.99
1484932;4919284;12.39
1485083;4919578;42.77
1489350;4917887;-5.88
1493326;4918587;100.49
1494868;4919164;301.26
1494498;4916713;-0.70
1494688;4917902;71.56
1495296;4917967;93.54
1493765;4919086;86.91
1486844;4920022;136.36
1486836;4925113;296.28
1492513;4918106;100.31
1480298;4921334;45.15
1483101;4919550;-0.54
1482903;4919475;17.13
1492546;4917414;10.66
1489136;4919952;18.70
1485502;4919544;16.28
1495341;4917843;63.01
1492306;4918559;98.61
1484927;4921248;200.51
1496858;4917651;42.15
1481052;4919895;62.05
1482366;4920193;30.96
1477947;4919312;261.64
1479698;4921119;78.43
1481087;4920009;61.30
1489483;4919912;80.50
1487147;4920437;147.36
1485203;4919135;4.12
1495051;4918967;281.52
