X;Y;Z;T
574383;5033137;-2901.25;71
537242;5015010;-2442.70;75
564756;5001699;-1803.65;58
544087;5038574;-5600.00;145
551209;5044783;-4961.20;107
540929;5013566;-2405.65;82
481536;5043001;-6289.80;178
543856;5037072;-4629.00;116
544210;5038919;-5646.50;160
564208;4983518;-3416.70;90
540070;5032725;-1525.15;53
481812;5041223;-5868.65;167
477546;5014218;-5298.81;144
627094;4964123;-6420.00;114
532705;4991366;-3345.93;95
572938;4922264;-4036.90;119
548512;4970426;-4373.70;106
483455;5033252;-6429.00;194
479244;5036775;-6050.00;176
501645;5020644;-5230.50;143
448325;5016578;-3470.10;104
517630;5000560;-4048.00;103
585563;4982857;-4566.50;97
626449;4945775;-2158.70;55
580858;4982073;-1294.80;46
574071;5042956;-5492.95;146
565144;5037890;-5938.00;145
553920;5018096;-1725.00;58
510262;5016708;-4997.10;142
562052;5025715;-1781.65;62
473070;4994438;-4646.90;114
551410;5038385;-6997.40;174
515158;5008441;-6049.80;153
582934;5019255;-2404.05;69
576210;5004148;-2431.10;72
528557;5045094;-4067.00;108
629244;5009697;-4729.50;65
620605;4913550;-2315.00;110
506541;5037256;-4354.00;128
599343;4998101;-3376.45;82
564756;5001699;-2441.65;72
544087;5038574;-5778.00;152
551209;5044783;-6364.00;157
481536;5043001;-6338.60;178
543856;5037072;-4880.00;118
544210;5038919;-5692.00;154
564208;4983518;-3483.10;92
540070;5032725;-2069.15;64
481812;5041223;-6144.80;175
477546;5014218;-5700.37;158
532705;4991366;-3922.05;108
572938;4922264;-4132.40;128
548512;4970426;-5016.40;118
448325;5016578;-4314.80;124
517630;5000560;-4463.50;113
585563;4982857;-4880.00;103
580858;4982073;-1524.80;47
574071;5042956;-6682.95;175
565144;5037890;-6947.00;174
553920;5018096;-2520.00;79
473070;4994438;-5240.90;128
576210;5004148;-2501.10;72
528557;5045094;-4444.00;120
620605;4913550;-2452.00;112
564756;5001699;-2511.65;72
544087;5038574;-5944.00;154
481536;5043001;-6465.60;182
543856;5037072;-4909.00;120
564208;4983518;-3749.70;95
540070;5032725;-2251.15;69
481812;5041223;-6387.93;181
517630;5000560;-5183.00;127
585563;4982857;-5604.30;112
580858;4982073;-1894.80;66
565144;5037890;-7126.00;177
473070;4994438;-5585.90;136
528557;5045094;-4644.00;135
544087;5038574;-6056.00;153
481536;5043001;-6487.60;186
543856;5037072;-5639.00;140
481812;5041223;-6458.43;186
448325;5016578;-5086.80;147
517630;5000560;-5926.00;142
585563;4982857;-5864.30;115
580858;4982073;-1986.80;67
543856;5037072;-5836.00;141
448325;5016578;-5416.80;149
585563;4982857;-5937.30;117
543856;5037072;-6225.00;160
448325;5016578;-5661.80;151
543856;5037072;-6355.00;156
542583.91426365;5032163.75705704;95.00000000;11.93000000
481536.19849357;5043000.93147857;175.00000000;11.45000000
577377.52191657;5050285.01010031;244.00000000;11.04000000
543855.76949398;5037072.08402409;106.00000000;11.86000000
544210.06657017;5038918.86855734;113.00000000;11.82000000
403880.07220331;4959662.86283188;300.00000000;10.70000000
564208.36807085;4983517.60695089;58.00000000;12.15000000
540069.77704964;5032724.95711101;96.00000000;11.92000000
385455.71810512;4956442.06913609;260.00000000;10.94000000
616306.20485205;4974986.37528030;25.00000000;12.35000000
481812.09769729;5041222.54643197;167.00000000;11.50000000
477545.78828933;5014217.68232634;113.00000000;11.82000000
627093.53719138;4964122.99884147;25.00000000;12.35000000
532705.00438653;4991365.96775925;71.00000000;12.07000000
388992.83705355;4951257.71369486;279.00000000;10.83000000
438864.44777308;4979276.86404208;136.00000000;11.68000000
518692.37191030;4956783.68420553;665.00000000;8.51000000
572937.90661841;4922263.94868978;942.00000000;6.85000000
548512.49055089;4970425.66764587;300.00000000;10.70000000
446246.97337843;5017428.21816352;146.00000000;11.62000000
483454.50398283;5033252.29792465;140.00000000;11.66000000
479243.71999200;5036775.47729611;152.00000000;11.59000000
501645.32351521;5020643.66843176;104.00000000;11.88000000
504354.60230180;5022944.60635060;107.00000000;11.86000000
448325.37183209;5016577.62169129;137.00000000;11.68000000
412730.95031628;4995279.83570780;308.00000000;10.65000000
499139.04738723;4969064.69503034;257.00000000;10.96000000
501982.05580865;4970697.89353573;345.00000000;10.43000000
517629.52445059;5000560.23656799;67.00000000;12.10000000
585562.94225280;4982856.97419825;28.00000000;12.33000000
626448.61215107;4945774.57899554;95.00000000;11.93000000
630058.30024040;4947713.14466427;61.00000000;12.13000000
580858.43400258;4982073.49983652;52.00000000;12.19000000
534301.27591965;5069154.69450787;199.00000000;11.31000000
469918.92512529;5065633.04110525;338.00000000;10.47000000
574071.32644516;5042955.91296622;142.00000000;11.65000000
565144.07762551;5037890.18719024;116.00000000;11.80000000
553919.79799556;5018096.24785601;74.00000000;12.06000000
510262.25666247;5016707.96403304;94.00000000;11.94000000
405980.86353008;5010220.96843936;212.00000000;11.23000000
530000.64280808;5007294.45267080;79.00000000;12.03000000
453936.25050294;5010779.32750021;125.00000000;11.75000000
530835.00734236;5000399.54476308;63.00000000;12.12000000
562052.27528244;5025714.91979951;76.00000000;12.04000000
453670.40447205;5003393.28761655;115.00000000;11.81000000
473069.85724248;4994438.37416682;101.00000000;11.89000000
551410.05589652;5038384.87104027;110.00000000;11.84000000
515158.40758478;5008441.37160803;83.00000000;12.00000000
596290.92679182;4947143.65346609;236.00000000;11.08000000
591252.63025739;4950225.85086409;231.00000000;11.12000000
596032.81080534;4948506.41325248;212.00000000;11.23000000
606080.15408593;4939074.83712443;433.00000000;9.90000000
612040.07252038;4941953.05407856;161.00000000;11.53000000
593215.53761564;4943243.22873235;305.00000000;10.67000000
600803.01950329;4942512.63379492;250.00000000;11.00000000
589100.92082707;5015516.67823732;54.00000000;12.18000000
590432.32742927;5019491.30776337;63.00000000;12.12000000
582933.97985970;5019255.02966412;64.00000000;12.11000000
576209.98668506;5004148.45602824;51.00000000;12.19000000
487535.59901587;5040841.93423269;167.00000000;11.50000000
528556.82253996;5045094.15039663;152.00000000;11.59000000
505467.84303860;5012624.88411686;86.00000000;11.98000000
578287.59836642;4962076.45027339;284.00000000;10.80000000
571003.18718538;4979934.33227852;57.00000000;12.16000000
