566652.8 4878167.4 90375
494773.7 4946669.6 66894
494395.7 4946440.5 66911
495120.3 4946559.1 66925
496321.6 4946389.5 66936
496774.3 4946115.7 66937
495522.9 4946092.9 66946
494084.3 4946338.9 66996
494710.8 4945983.3 67082
501218.7 4944959.4 67123
494213.9 4945615 67130
494583.9 4945125.8 67197
496185.1 4945418.5 67208
497031.8 4945494.5 67241
498761.8 4945066.5 67247
498335.2 4945153.8 67260
495338 4945294.8 67264
493228.9 4944992.5 67275
499950.6 4945620 67276
499116.8 4945352.3 67282
499178.6 4945069.3 67283
500833 4944220.1 67317
495963.6 4944653.2 67337
496898.5 4944944.3 67338
493953.6 4944840.3 67361
497368.3 4944518.6 67379
495733.4 4944131.3 67402
493735.1 4944307 67409
499879.2 4943831.8 67434
494703.4 4944087.4 67440
497659.1 4944341 67459
494440.5 4943818 67470
498191.8 4944148.3 67496
496762.1 4944482.4 67511
492724.6 4943746.1 67524
496945.1 4943846.8 67636
498431.3 4943821.8 67662
494228.3 4943450.5 67671
493970.1 4943135.1 67678
497303 4943527.6 67685
498471.8 4943303.7 67701
496646 4943222.5 67799
501148 4943045.5 67806
499265.7 4943290 67831
493468.3 4943062.8 67839
501924.8 4943300.5 67840
492230.2 4942809.7 67850
495683.8 4942815.8 67851
495244.1 4941274.9 68194
497607.2 4942463.6 67863
492886.4 4942439.2 67898
499865.8 4943134.1 67899
497228.3 4942328.2 67912
496176.5 4942271.8 67913
500428.3 4942746.8 67914
502232.6 4942246 67915
500069.7 4942899.9 67929
502770.9 4942409.5 67937
493490.8 4942047.3 67943
501646.8 4943046.4 67954
501596 4942309.8 67955
499060 4942790.5 67989
499055 4942347.4 68014
501046.6 4942059.4 68015
499944.8 4942317.7 68026
492451.6 4942423.7 68099
500056.4 4942019.6 68139
502932.8 4941994 68158
498417.2 4941957.8 68182
493397 4941390.2 68193
500126.2 4941508 68195
496856.6 4942305.4 68203
498889.1 4941167.3 68210
499512.3 4941417.9 68211
500901.9 4941627.1 68218
502957.3 4941687.6 68219
496812.7 4941457.8 68223
495932.5 4941512.6 68252
503032.6 4941105 68286
501349.6 4941427.9 68296
501844.5 4942000.2 68297
503427 4940795.9 68298
498360.4 4941378.6 68335
500338.2 4941388.2 68336
502255 4941202.2 68371
497064.4 4941087.3 68380
497520.8 4940666.5 68388
501185.9 4940995.7 68392
500742.1 4941082.5 68412
496073.4 4940711.7 68426
